jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,fichier_pcs,score,statut
21,8,2024,stage_5,vuelta-a-espana,2.UWT,2024 La Vuelta Ciclista a Espana Stage 5.gpx,21_August_2024__stage_5__vuelta-a-espana_2024__2.UWT.csv,100,match
22,8,2024,stage_6,vuelta-a-espana,2.UWT,2024 La Vuelta Ciclista a Espana Stage 6.gpx,22_August_2024__stage_6__vuelta-a-espana_2024__2.UWT.csv,100,match
23,8,2024,stage_7,vuelta-a-espana,2.UWT,2024 La Vuelta Ciclista a Espana Stage 7.gpx,23_August_2024__stage_7__vuelta-a-espana_2024__2.UWT.csv,100,match
24,8,2024,stage_8,vuelta-a-espana,2.UWT,2024 La Vuelta Ciclista a Espana Stage 8.gpx,24_August_2024__stage_8__vuelta-a-espana_2024__2.UWT.csv,100,match
25,8,2024,stage_9,vuelta-a-espana,2.UWT,2024 La Vuelta Ciclista a Espana Stage 9.gpx,25_August_2024__stage_9__vuelta-a-espana_2024__2.UWT.csv,100,match
27,8,2024,stage_10,vuelta-a-espana,2.UWT,2024 La Vuelta Ciclista a Espana Stage 10.gpx,27_August_2024__stage_10__vuelta-a-espana_2024__2.UWT.csv,100,match
28,8,2024,stage_11,vuelta-a-espana,2.UWT,2024 La Vuelta Ciclista a Espana Stage 11.gpx,28_August_2024__stage_11__vuelta-a-espana_2024__2.UWT.csv,100,match
28,8,2024,stage_1,renewi-tour,2.UWT,2024 Renewi Tour Stage 1.gpx,28_August_2024__stage_1__renewi-tour_2024__2.UWT.csv,100,match
29,8,2024,stage_12,vuelta-a-espana,2.UWT,2024 La Vuelta Ciclista a Espana Stage 12.gpx,29_August_2024__stage_12__vuelta-a-espana_2024__2.UWT.csv,100,match
29,8,2024,stage_2,renewi-tour,2.UWT,2024 Renewi Tour Stage 2.gpx,29_August_2024__stage_2__renewi-tour_2024__2.UWT.csv,100,match
30,8,2024,stage_13,vuelta-a-espana,2.UWT,2024 La Vuelta Ciclista a Espana Stage 13.gpx,30_August_2024__stage_13__vuelta-a-espana_2024__2.UWT.csv,100,match
30,8,2024,stage_3,renewi-tour,2.UWT,2024 Renewi Tour Stage 3.gpx,30_August_2024__stage_3__renewi-tour_2024__2.UWT.csv,100,match
31,8,2024,stage_14,vuelta-a-espana,2.UWT,2024 La Vuelta Ciclista a Espana Stage 14.gpx,31_August_2024__stage_14__vuelta-a-espana_2024__2.UWT.csv,100,match
31,8,2024,stage_4,renewi-tour,2.UWT,2024 Renewi Tour Stage 4.gpx,31_August_2024__stage_4__renewi-tour_2024__2.UWT.csv,100,match
1,9,2024,stage_15,vuelta-a-espana,2.UWT,2024 La Vuelta Ciclista a Espana Stage 15.gpx,01_September_2024__stage_15__vuelta-a-espana_2024__2.UWT.csv,100,match
1,9,2024,stage_5,renewi-tour,2.UWT,2024 Renewi Tour Stage 5.gpx,01_September_2024__stage_5__renewi-tour_2024__2.UWT.csv,100,match
3,9,2024,stage_16,vuelta-a-espana,2.UWT,2024 La Vuelta Ciclista a Espana Stage 16.gpx,03_September_2024__stage_16__vuelta-a-espana_2024__2.UWT.csv,100,match
4,9,2024,stage_17,vuelta-a-espana,2.UWT,2024 La Vuelta Ciclista a Espana Stage 17.gpx,04_September_2024__stage_17__vuelta-a-espana_2024__2.UWT.csv,100,match
5,9,2024,stage_18,vuelta-a-espana,2.UWT,2024 La Vuelta Ciclista a Espana Stage 18.gpx,05_September_2024__stage_18__vuelta-a-espana_2024__2.UWT.csv,100,match
6,9,2024,stage_19,vuelta-a-espana,2.UWT,2024 La Vuelta Ciclista a Espana Stage 19.gpx,06_September_2024__stage_19__vuelta-a-espana_2024__2.UWT.csv,100,match
7,9,2024,stage_20,vuelta-a-espana,2.UWT,2024 La Vuelta Ciclista a Espana Stage 20.gpx,07_September_2024__stage_20__vuelta-a-espana_2024__2.UWT.csv,100,match
8,9,2024,stage_21,vuelta-a-espana,2.UWT,2024 La Vuelta Ciclista a Espana Stage 21.gpx,08_September_2024__stage_21__vuelta-a-espana_2024__2.UWT.csv,100,match
15,10,2024,stage_1,tour-of-guangxi,2.UWT,2024 Gree - Tour of Guangxi Stage 1.gpx,15_October_2024__stage_1__tour-of-guangxi_2024__2.UWT.csv,100,match
16,10,2024,stage_2,tour-of-guangxi,2.UWT,2024 Gree - Tour of Guangxi Stage 2.gpx,16_October_2024__stage_2__tour-of-guangxi_2024__2.UWT.csv,100,match
17,10,2024,stage_3,tour-of-guangxi,2.UWT,2024 Gree - Tour of Guangxi Stage 3.gpx,17_October_2024__stage_3__tour-of-guangxi_2024__2.UWT.csv,100,match
18,10,2024,stage_4,tour-of-guangxi,2.UWT,2024 Gree - Tour of Guangxi Stage 4.gpx,18_October_2024__stage_4__tour-of-guangxi_2024__2.UWT.csv,100,match
19,10,2024,stage_5,tour-of-guangxi,2.UWT,2024 Gree - Tour of Guangxi Stage 5.gpx,19_October_2024__stage_5__tour-of-guangxi_2024__2.UWT.csv,100,match
20,10,2024,stage_6,tour-of-guangxi,2.UWT,2024 Gree - Tour of Guangxi Stage 6.gpx,20_October_2024__stage_6__tour-of-guangxi_2024__2.UWT.csv,100,match
