jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,route_url,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,_km,alpine_km,ferry_km,alpine_path_km,distance_gpx_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km
22,1,2023,result,gp-de-valence,1.1,2023 Classica Comunitat Valenciana 1969 - Gran Premi Valencia.gpx,https://www.komoot.com/tour/2984848082,141.0,0.805,45.9,0.461,,,187.0,1.28,,,0.0,0.102,,,,,,,189.09,2111.0,1873.0,777.0,0.0,6.0,3.0,2.0,1.0,0.0,0.9999,0.7897,0.7897,0.7897,0.0,1.4,2.0,1.36,128.0,0.05,57.0
22,1,2023,stage_8,vuelta-al-tachira,2.2,2023 Vuelta al Tachira en Bicicleta Stage 8.gpx,https://www.komoot.com/tour/2986029955,98.7,20.3,,,0.301,,105.0,12.6,,1.8,,,,,,,,,118.61,1780.0,1789.0,1051.0,951.0,12.0,0.0,0.0,0.0,0.0,0.9887,0.0,0.0,0.0,0.0,-1.8,1.9,1.36,151.0,-0.02,751.0
23,1,2023,stage_1,la-tropicale-amissa-bongo,2.1,2023 La Tropicale Amissa Bongo Stage 1.gpx,https://www.komoot.com/tour/2985212956,14.9,0.471,107.0,,,,121.0,0.471,,,,,,,,,,,121.62,1305.0,1225.0,713.0,570.0,2.0,0.0,0.0,0.0,0.0,0.9772,0.0,0.0,0.0,0.0,0.6,0.1,-0.12,135.0,0.04,503.0
23,1,2023,stage_2,vuelta-ciclista-a-la-provincia-de-san-juan,2.Pro,2023 Vuelta a San Juan Internacional Stage 2.gpx,https://www.komoot.com/tour/2986015540,65.1,6.0,130.0,,1.11,,189.0,9.73,,0.659,,2.47,,,,,,,201.78,1461.0,1155.0,1511.0,773.0,3.0,2.0,2.0,1.0,0.0,0.9785,0.9785,0.9785,0.3764,0.0,-0.5,0.13,0.3,128.0,0.77,395.0
24,1,2023,stage_2,la-tropicale-amissa-bongo,2.1,2023 La Tropicale Amissa Bongo Stage 2.gpx,https://www.komoot.com/tour/2985213970,0.0,,111.0,,,,111.0,,,,0.0,0.125,,,,,,,111.38,1280.0,1345.0,688.0,480.0,1.0,0.0,0.0,0.0,0.0,0.9992,0.0,0.0,0.0,0.0,1.3,1.13,0.44,357.0,-0.1,485.0
24,1,2023,stage_3,vuelta-ciclista-a-la-provincia-de-san-juan,2.Pro,2023 Vuelta a San Juan Internacional Stage 3.gpx,https://www.komoot.com/tour/2986016459,75.0,0.757,81.2,,16.9,,137.0,19.5,0.0,17.7,0.136,,,,,,,,173.4,381.0,373.0,763.0,554.0,1.0,1.0,0.0,0.0,0.0,0.9952,0.9952,0.0,0.0,0.0,0.8,1.0,0.26,236.0,-0.31,54.0
25,1,2023,stage_3,la-tropicale-amissa-bongo,2.1,2023 La Tropicale Amissa Bongo Stage 3.gpx,https://www.komoot.com/tour/2985215349,2.61,2.74,102.0,,6.9,,91.4,5.22,,3.82,0.0,10.1,,,,,,,113.37,492.0,540.0,254.0,86.0,1.0,0.0,0.0,0.0,0.0,0.1587,0.0,0.0,0.0,0.0,0.2,0.0,-0.02,56.0,-0.04,351.0
25,1,2023,result,trofeo-calvia,1.1,2023 Trofeo Calvia (Palmanova-Palmanova).gpx,https://www.komoot.com/tour/2985871409,138.0,0.652,5.06,5.09,0.173,,149.0,0.271,,,,0.0,0.0,,,,,,149.56,3129.0,3137.0,503.0,8.0,9.0,5.0,3.0,0.0,0.0,0.9211,0.8405,0.601,0.0,0.0,0.6,-2.23,-1.64,66.0,0.17,996.0
25,1,2023,stage_4,vuelta-ciclista-a-la-provincia-de-san-juan,2.Pro,2023 Vuelta a San Juan Internacional Stage 4.gpx,https://www.komoot.com/tour/2986017496,158.0,,37.8,0.0,,,161.0,35.2,,,,0.176,,,,,,,196.03,2646.0,1771.0,2221.0,763.0,5.0,3.0,2.0,1.0,1.0,0.9997,0.9997,0.9997,0.344,0.344,0.9,0.33,0.46,139.0,0.9,656.0
26,1,2023,stage_4,la-tropicale-amissa-bongo,2.1,2023 La Tropicale Amissa Bongo Stage 4.gpx,https://www.komoot.com/tour/2985216394,1.14,1.44,191.0,,,,155.0,38.8,,,,0.217,,,,,,,193.38,1076.0,1153.0,139.0,19.0,1.0,0.0,0.0,0.0,0.0,0.6185,0.0,0.0,0.0,0.0,-3.2,-0.13,-0.12,136.0,0.05,153.0
