fichier_gpx,route_url,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,_km,alpine_km
2017 Sibiu Cycling Tour Stage 1.gpx,https://www.komoot.com/tour/2969579058,123.0,0.537,81.8,3.07,0.19,0.0,208.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0
2017 Sibiu Cycling Tour Stage 2.gpx,https://www.komoot.com/tour/2969579501,103.0,0.0,55.8,0.0,0.0,0.0,158.0,0.295,0.166,0.133,0.428,0.0,0.0,0.0,0.0,0.0
2017 Sibiu Cycling Tour Stage 3.gpx,https://www.komoot.com/tour/2969580088,138.0,7.17,64.1,1.11,0.0,0.0,207.0,1.35,0.0,0.0,0.0,1.49,0.0,0.0,0.0,0.0
2017 Sibiu Cycling Tour Stage 4.gpx,https://www.komoot.com/tour/2969580744,80.0,0.288,68.1,0.779,0.168,0.0,149.0,0.121,0.267,0.324,0.0,0.0,0.0,0.0,0.0,0.0
2017 Slovakian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2969581310,35.9,0.0,5.2,0.0,0.0,0.0,41.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Slovakian Road National Championships.gpx,https://www.komoot.com/tour/2969581776,13.5,0.394,12.9,0.0,0.0,0.11,26.7,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Sluitingsprijs Putte-Kapellen.gpx,https://www.komoot.com/tour/2969582470,67.3,8.98,1.65,103.0,0.0,0.0,90.4,73.3,18.6,1.58,0.0,0.0,0.0,0.0,0.0,0.0
2017 South African Road National Championships - ITT.gpx,https://www.komoot.com/tour/2969582953,25.7,0.0,13.8,0.0,0.0,0.0,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 South African Road National Championships.gpx,https://www.komoot.com/tour/2969583617,120.0,0.0,59.0,0.0,0.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Spanish Road National Championships - ITT.gpx,https://www.komoot.com/tour/2969584051,36.4,0.448,7.97,0.0,0.0,0.0,44.6,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Spanish Road National Championships.gpx,https://www.komoot.com/tour/2969584813,158.0,6.94,49.6,0.739,1.4,0.0,214.0,0.767,0.428,1.6,0.465,0.255,0.0,0.0,0.0,0.0
2017 Sparkassen Muensterland Giro.gpx,https://www.komoot.com/tour/2969585935,139.0,8.09,1.72,28.4,2.79,0.0,157.0,25.0,14.0,2.9,1.18,0.189,0.114,0.201,0.0,0.0
2017 Strade Bianche.gpx,https://www.komoot.com/tour/2969587388,112.0,42.8,19.2,0.636,0.376,0.0,114.0,2.89,1.04,0.406,0.366,10.7,0.0,47.0,0.0,0.0
2017 Szlakiem Walk Majora Hubala Stage 1.gpx,https://www.komoot.com/tour/2969588462,134.0,10.3,0.0,34.8,0.226,0.0,157.0,14.3,10.9,0.782,6.35,3.03,0.174,0.0,0.0,0.0
2017 Szlakiem Walk Majora Hubala Stage 2-1.gpx,https://www.komoot.com/tour/2969589566,10.2,4.42,0.0,0.0,0.0,0.0,8.89,5.63,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tacx Pro Classic.gpx,https://www.komoot.com/tour/2969590382,97.2,6.2,0.267,30.7,16.3,0.201,140.0,36.9,7.13,17.5,0.758,0.197,0.576,0.0,0.0,0.0
2017 The Larry H.Miller Tour of Utah Stage 1.gpx,https://www.komoot.com/tour/2969591157,25.6,0.615,166.0,20.9,0.331,0.0,213.0,1.0,0.0,0.359,0.699,0.0,0.0,0.0,0.0,0.0
2017 The Larry H.Miller Tour of Utah Stage 2.gpx,https://www.komoot.com/tour/2969591692,55.4,0.0,94.3,1.47,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 The Larry H.Miller Tour of Utah Stage 3.gpx,https://www.komoot.com/tour/2969592042,7.81,0.0,0.0,1.11,0.0,0.0,8.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 The Larry H.Miller Tour of Utah Stage 4.gpx,https://www.komoot.com/tour/2969592556,24.5,0.0,121.0,53.2,0.0,0.0,186.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 The Larry H.Miller Tour of Utah Stage 5.gpx,https://www.komoot.com/tour/2969593382,141.0,10.7,8.05,13.8,15.1,0.0,159.0,13.9,0.0,15.3,0.106,0.0,0.0,0.0,0.0,0.0
2017 The Larry H.Miller Tour of Utah Stage 6.gpx,https://www.komoot.com/tour/2969594000,53.8,0.25,28.1,16.2,1.7,0.0,90.3,8.1,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0
2017 The Larry H.Miller Tour of Utah Stage 7.gpx,https://www.komoot.com/tour/2969595312,6.69,3.75,2.66,106.0,0.0,0.0,86.9,31.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tirreno-Adriatico Stage 1.gpx,https://www.komoot.com/tour/2969595830,19.5,2.38,0.0,0.532,0.0,0.0,21.8,0.643,0.0,0.153,0.153,0.0,0.0,0.0,0.0,0.0
2017 Tirreno-Adriatico Stage 2.gpx,https://www.komoot.com/tour/2969596463,102.0,0.735,119.0,3.27,1.19,0.196,223.0,4.73,0.708,1.07,2.27,0.0,0.0,0.0,0.0,0.0
2017 Tirreno-Adriatico Stage 3.gpx,https://www.komoot.com/tour/2969596985,143.0,0.257,61.1,0.0,0.0,0.0,204.0,0.291,0.0,0.0,0.427,0.427,0.0,0.0,0.0,0.0
2017 Tirreno-Adriatico Stage 4.gpx,https://www.komoot.com/tour/2969597552,111.0,0.739,74.2,0.0,1.02,0.0,185.0,0.498,0.0,1.01,1.3,1.33,0.0,0.0,0.0,0.0
2017 Tirreno-Adriatico Stage 5.gpx,https://www.komoot.com/tour/2969598242,106.0,8.09,92.8,0.0,2.9,0.0,200.0,7.26,0.304,2.91,0.934,0.0,0.0,0.0,0.0,0.0
2017 Tirreno-Adriatico Stage 6.gpx,https://www.komoot.com/tour/2969598879,44.9,0.327,109.0,6.27,4.74,0.0,161.0,0.483,0.0,4.12,1.86,1.85,0.979,0.0,0.0,0.0
2017 Tirreno-Adriatico Stage 7.gpx,https://www.komoot.com/tour/2969599704,2.95,0.24,0.0,4.47,1.91,0.0,3.34,4.84,0.0,2.24,0.842,0.0,0.0,0.0,0.0,0.0
2017 Tour Cycliste International La Provence Stage 1.gpx,https://www.komoot.com/tour/2969600617,191.0,2.39,7.28,7.15,0.56,0.0,204.0,4.24,0.184,0.588,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour Cycliste International La Provence Stage 2.gpx,https://www.komoot.com/tour/2969601419,115.0,0.408,41.6,4.99,0.0,0.0,161.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour Cycliste International La Provence Stage 3.gpx,https://www.komoot.com/tour/2969602481,138.0,0.408,34.2,0.35,0.0,0.0,173.0,0.216,0.0,0.451,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour Poitou-Charentes Stage 1.gpx,https://www.komoot.com/tour/2969603058,151.0,1.66,44.8,3.13,0.0,0.0,196.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour Poitou-Charentes Stage 2.gpx,https://www.komoot.com/tour/2969603594,186.0,0.346,0.297,0.0,0.241,0.0,186.0,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour Poitou-Charentes Stage 3-1.gpx,https://www.komoot.com/tour/2969604003,90.1,3.03,0.0,0.756,0.0,0.0,89.2,4.71,0.0,0.0,1.57,1.57,0.0,0.0,0.0,0.0
2017 Tour Poitou-Charentes Stage 4.gpx,https://www.komoot.com/tour/2969604386,141.0,8.85,0.655,7.82,0.0,0.0,150.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour d'Azerbaidjan Stage 1.gpx,https://www.komoot.com/tour/2969604875,47.0,3.0,79.3,0.0,20.3,0.0,127.0,0.0,0.0,23.3,0.263,0.0,0.0,0.0,0.0,0.0
2017 Tour d'Azerbaidjan Stage 2.gpx,https://www.komoot.com/tour/2969605400,16.1,3.45,146.0,0.0,21.9,0.0,162.0,1.41,0.0,18.7,0.667,0.422,0.0,0.0,0.0,0.0
2017 Tour d'Azerbaidjan Stage 3.gpx,https://www.komoot.com/tour/2969605841,23.8,3.46,132.0,0.0,18.9,0.0,153.0,5.78,0.0,19.2,1.23,1.18,0.0,0.0,0.0,0.0
2017 Tour d'Azerbaidjan Stage 4.gpx,https://www.komoot.com/tour/2969606328,26.3,1.94,111.0,0.0,22.9,0.0,136.0,3.3,0.0,23.0,3.65,3.65,0.0,0.0,0.0,0.0
2017 Tour d'Azerbaidjan Stage 5.gpx,https://www.komoot.com/tour/2969607452,16.0,8.35,63.0,16.2,45.0,0.0,83.8,9.9,11.3,54.8,11.1,0.0,0.192,0.0,0.0,0.0
2017 Tour de France Stage 1.gpx,https://www.komoot.com/tour/2969607980,5.94,1.32,1.69,3.65,0.0,0.0,12.2,0.551,0.924,0.236,0.863,0.0,0.0,0.105,0.0,0.0
2017 Tour de France Stage 10.gpx,https://www.komoot.com/tour/2969608812,63.7,0.901,109.0,2.51,0.0,0.118,172.0,3.92,0.0,0.335,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de France Stage 11.gpx,https://www.komoot.com/tour/2969609424,92.6,0.413,99.0,11.6,0.366,0.0,204.0,0.0,0.0,0.366,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de France Stage 12.gpx,https://www.komoot.com/tour/2969610062,168.0,0.465,44.4,1.69,0.77,0.0,214.0,0.62,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de France Stage 13.gpx,https://www.komoot.com/tour/2969610575,100.0,0.0,0.73,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de France Stage 14.gpx,https://www.komoot.com/tour/2969611011,141.0,0.773,37.4,0.922,0.608,0.0,179.0,0.13,0.0,0.501,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de France Stage 15.gpx,https://www.komoot.com/tour/2969611593,183.0,0.461,3.52,3.01,0.524,0.0,190.0,0.535,0.0,0.575,0.0,0.358,0.358,0.19,0.0,0.0
2017 Tour de France Stage 16.gpx,https://www.komoot.com/tour/2969612215,124.0,0.0,28.6,12.0,0.0,0.0,165.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de France Stage 17.gpx,https://www.komoot.com/tour/2969612846,148.0,0.116,16.4,18.8,0.268,0.0,183.0,0.204,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de France Stage 18.gpx,https://www.komoot.com/tour/2969613526,80.3,0.513,92.7,3.76,1.55,0.0,177.0,0.0,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de France Stage 19.gpx,https://www.komoot.com/tour/2969614175,172.0,0.0,44.7,5.99,0.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de France Stage 2.gpx,https://www.komoot.com/tour/2969615241,77.2,6.72,47.4,41.3,6.24,0.0,182.0,14.2,3.75,6.43,1.73,0.153,0.557,0.0,0.0,0.0
2017 Tour de France Stage 20.gpx,https://www.komoot.com/tour/2969615859,13.3,2.87,0.0,4.41,1.27,0.0,19.4,0.0,1.1,1.99,0.16,0.0,0.0,0.0,0.0,0.0
2017 Tour de France Stage 21.gpx,https://www.komoot.com/tour/2969617035,24.3,1.21,44.5,30.0,0.0,0.215,58.8,3.12,41.0,0.0,2.71,0.0,0.14,0.0,0.0,0.0
2017 Tour de France Stage 3.gpx,https://www.komoot.com/tour/2969617978,96.2,5.78,106.0,2.08,2.12,0.227,205.0,1.58,0.74,5.22,0.17,0.0,0.0,0.0,0.0,0.0
2017 Tour de France Stage 4.gpx,https://www.komoot.com/tour/2969619165,139.0,1.59,53.7,7.84,0.119,0.0,195.0,6.87,0.0,0.119,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de France Stage 5.gpx,https://www.komoot.com/tour/2969619819,135.0,2.13,22.9,0.131,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de France Stage 6.gpx,https://www.komoot.com/tour/2969620392,103.0,0.161,104.0,10.1,0.191,0.0,216.0,2.23,0.0,0.246,1.22,0.684,0.0,0.0,0.0,0.0
2017 Tour de France Stage 7.gpx,https://www.komoot.com/tour/2969620798,99.1,0.135,114.0,0.266,0.0,0.0,210.0,3.24,0.0,0.0,0.49,0.49,0.0,0.0,0.0,0.0
2017 Tour de France Stage 8.gpx,https://www.komoot.com/tour/2969621504,153.0,0.98,35.4,0.391,0.0,0.0,183.0,6.9,0.0,0.0,2.42,2.34,0.0,0.0,0.0,0.0
2017 Tour de France Stage 9.gpx,https://www.komoot.com/tour/2969622572,175.0,0.129,1.26,5.08,0.196,0.0,177.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de Luxembourg Prologue.gpx,https://www.komoot.com/tour/2969623701,0.731,0.352,0.0,0.281,0.253,0.0,1.04,0.0,0.602,0.287,0.302,0.0,0.0,0.0,0.0,0.0
2017 Tour de Luxembourg Stage 1.gpx,https://www.komoot.com/tour/2969624632,118.0,3.24,41.8,8.99,0.0,0.0,171.0,0.25,0.478,0.0,0.408,0.0,0.105,0.0,0.0,0.0
2017 Tour de Luxembourg Stage 2.gpx,https://www.komoot.com/tour/2969626199,116.0,2.38,55.4,1.61,0.523,0.0,176.0,0.294,0.223,0.523,0.515,0.0,0.0,0.221,0.0,0.0
2017 Tour de Luxembourg Stage 3.gpx,https://www.komoot.com/tour/2969627601,106.0,3.41,71.8,1.85,5.47,0.0,186.0,0.752,0.138,5.57,3.38,0.171,0.242,0.0,0.0,0.0
2017 Tour de Luxembourg Stage 4.gpx,https://www.komoot.com/tour/2969628599,131.0,4.25,37.2,1.69,2.15,0.0,173.0,1.36,1.04,2.27,2.03,0.448,0.513,0.0,0.0,0.0
2017 Tour de Normandie Stage 1.gpx,https://www.komoot.com/tour/2969629104,113.0,6.01,23.5,2.21,0.0,0.0,142.0,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de Normandie Stage 2.gpx,https://www.komoot.com/tour/2969629864,156.0,1.04,2.46,1.99,0.0,0.0,159.0,1.99,0.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de Normandie Stage 3.gpx,https://www.komoot.com/tour/2969630617,106.0,1.3,63.9,6.5,0.0,0.0,173.0,5.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de Normandie Stage 4.gpx,https://www.komoot.com/tour/2969631466,106.0,1.51,44.2,4.51,0.842,0.0,152.0,4.41,0.0,0.842,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de Normandie Stage 5.gpx,https://www.komoot.com/tour/2969632083,120.0,3.4,39.9,0.152,0.347,0.0,158.0,4.97,0.0,0.499,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de Normandie Stage 6.gpx,https://www.komoot.com/tour/2969632627,141.0,2.02,5.73,2.89,0.0,0.0,147.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de Normandie Stage 7.gpx,https://www.komoot.com/tour/2969633123,115.0,0.0,12.6,0.0,0.0,0.0,127.0,0.0,0.131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de Pologne Stage 1.gpx,https://www.komoot.com/tour/2969633770,96.3,1.5,30.5,3.48,0.0,0.0,130.0,0.603,0.728,0.148,0.255,0.138,0.111,0.0,0.0,0.0
2017 Tour de Pologne Stage 2.gpx,https://www.komoot.com/tour/2969634822,91.4,11.1,9.83,10.8,0.932,0.0,120.0,2.64,6.39,1.45,5.05,0.0,0.112,0.0,0.0,0.0
2017 Tour de Pologne Stage 3.gpx,https://www.komoot.com/tour/2969635571,147.0,2.05,5.12,1.9,4.2,0.0,156.0,0.822,0.515,4.28,0.655,0.0,0.0,0.0,0.0,0.0
2017 Tour de Pologne Stage 4.gpx,https://www.komoot.com/tour/2969636579,208.0,5.2,6.64,3.85,6.16,0.0,221.0,1.04,1.45,6.95,2.61,2.46,1.03,1.59,0.0,0.0
2017 Tour de Pologne Stage 5.gpx,https://www.komoot.com/tour/2969638887,107.0,12.8,7.55,2.81,0.244,0.0,129.0,3.16,0.792,1.26,3.83,0.845,0.0,0.0,0.0,0.0
2017 Tour de Pologne Stage 6.gpx,https://www.komoot.com/tour/2969639720,145.0,20.1,19.2,0.629,1.32,0.0,182.0,2.15,0.471,1.65,1.49,1.15,0.0,0.0,0.0,0.0
2017 Tour de Pologne Stage 7.gpx,https://www.komoot.com/tour/2969640594,103.0,19.1,9.29,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de Romandie Prologue.gpx,https://www.komoot.com/tour/2969641243,2.36,1.01,0.828,0.496,0.0,0.0,3.93,0.928,0.0,0.0,0.168,0.0,0.0,0.0,0.0,0.0
2017 Tour de Romandie Stage 1.gpx,https://www.komoot.com/tour/2969642027,106.0,2.03,20.9,40.9,0.0,0.0,164.0,6.18,0.149,0.332,0.788,0.115,0.115,0.0,0.0,0.0
2017 Tour de Romandie Stage 2.gpx,https://www.komoot.com/tour/2969642941,101.0,5.78,24.7,28.1,0.214,0.136,151.0,8.98,0.0,0.544,0.169,0.0,0.0,0.0,0.0,0.0
2017 Tour de Romandie Stage 3.gpx,https://www.komoot.com/tour/2969643586,169.0,5.12,9.95,8.3,0.24,0.0,180.0,12.6,0.0,0.37,0.736,0.12,0.0,0.0,0.0,0.0
2017 Tour de Romandie Stage 4.gpx,https://www.komoot.com/tour/2969644381,119.0,0.785,32.7,10.1,0.87,0.0,162.0,0.604,0.0,1.13,0.241,0.0,0.0,0.0,0.0,0.0
2017 Tour de Romandie Stage 5.gpx,https://www.komoot.com/tour/2969644973,5.91,2.87,0.428,7.79,0.563,0.0,15.6,0.892,0.559,0.788,0.107,0.0,0.141,0.0,0.0,0.0
2017 Tour de Suisse Prologue.gpx,https://www.komoot.com/tour/2969645390,2.63,1.18,0.0,1.31,0.0,0.0,5.49,0.539,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0
2017 Tour de Suisse Stage 1.gpx,https://www.komoot.com/tour/2969645859,150.0,0.867,7.07,12.5,1.67,0.0,146.0,24.4,0.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de Suisse Stage 2.gpx,https://www.komoot.com/tour/2969646635,59.9,4.28,60.3,26.6,0.388,0.186,150.0,5.16,1.33,1.36,0.477,0.206,0.0,0.0,0.0,0.0
2017 Tour de Suisse Stage 3.gpx,https://www.komoot.com/tour/2969647521,104.0,1.0,34.4,10.5,0.0,0.0,144.0,5.57,0.0,0.0,0.192,0.0,0.0,0.0,0.0,0.0
2017 Tour de Suisse Stage 4.gpx,https://www.komoot.com/tour/2969648531,78.8,0.558,79.8,54.2,4.64,0.0,212.0,0.97,0.0,4.9,1.55,1.6,0.0,0.0,0.0,0.0
2017 Tour de Suisse Stage 5.gpx,https://www.komoot.com/tour/2969649254,46.6,0.703,109.0,8.89,0.0,0.0,164.0,0.0,1.45,0.0,0.721,0.115,0.0,0.63,0.0,0.0
2017 Tour de Suisse Stage 6.gpx,https://www.komoot.com/tour/2969649926,31.6,2.19,121.0,5.11,5.02,0.153,160.0,0.528,0.0,5.02,1.15,0.884,0.0,0.237,0.0,0.0
2017 Tour de Suisse Stage 7.gpx,https://www.komoot.com/tour/2969650539,67.7,3.66,1.04,27.8,0.0,0.0,70.3,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de Suisse Stage 8.gpx,https://www.komoot.com/tour/2969651157,20.4,0.57,0.649,6.53,0.204,0.0,26.4,1.8,0.386,0.257,0.122,0.0,0.305,0.0,0.0,0.0
2017 Tour de Taiwan Stage 1.gpx,https://www.komoot.com/tour/2969652815,54.0,0.878,1.82,14.9,0.0,0.0,59.6,17.0,2.23,9.78,17.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de Taiwan Stage 2.gpx,https://www.komoot.com/tour/2969653474,36.3,0.122,78.0,2.7,0.176,0.0,109.0,7.86,0.0,0.182,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de Taiwan Stage 3.gpx,https://www.komoot.com/tour/2969654421,23.8,2.3,90.1,5.74,1.0,0.0,107.0,13.7,0.0,1.96,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de Taiwan Stage 4.gpx,https://www.komoot.com/tour/2969654840,43.2,1.66,108.0,13.2,0.533,0.0,164.0,1.52,0.0,0.793,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de Taiwan Stage 5.gpx,https://www.komoot.com/tour/2969655470,84.7,1.53,107.0,0.0,0.0,0.155,186.0,5.98,0.0,1.28,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de Vendee.gpx,https://www.komoot.com/tour/2969656183,160.0,4.55,23.3,15.0,0.819,0.0,167.0,35.6,0.0,0.958,0.127,0.0,0.109,0.0,0.0,0.0
2017 Tour de Yorkshire Stage 1.gpx,https://www.komoot.com/tour/2969656757,93.6,1.08,77.8,0.0,0.324,0.0,159.0,12.9,0.56,0.68,0.103,0.0,0.0,0.0,0.0,0.0
2017 Tour de Yorkshire Stage 2.gpx,https://www.komoot.com/tour/2969657243,91.9,0.348,28.3,0.567,0.28,0.0,119.0,2.97,0.103,0.354,0.45,0.0,0.264,0.0,0.0,0.0
2017 Tour de Yorkshire Stage 3.gpx,https://www.komoot.com/tour/2969658228,119.0,2.84,65.5,6.19,0.894,0.0,186.0,6.6,1.03,0.894,0.134,0.0,0.0,0.0,0.0,0.0
2017 Tour de l'Ain Prologue.gpx,https://www.komoot.com/tour/2969658620,0.805,0.71,2.11,0.0,0.259,0.0,3.4,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de l'Ain Stage 1.gpx,https://www.komoot.com/tour/2969659111,113.0,14.6,11.5,0.877,0.608,0.0,128.0,11.3,0.0,1.64,0.697,0.0,0.0,0.0,0.0,0.0
2017 Tour de l'Ain Stage 2.gpx,https://www.komoot.com/tour/2969659554,134.0,1.5,11.0,0.0,0.0,0.0,134.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de l'Ain Stage 3.gpx,https://www.komoot.com/tour/2969660067,122.0,1.79,10.9,0.316,0.163,0.0,131.0,3.69,0.0,0.163,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour de l'Ain Stage 4.gpx,https://www.komoot.com/tour/2969660386,110.0,0.0,1.2,0.182,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour des Fjords Stage 1.gpx,https://www.komoot.com/tour/2969660814,22.8,6.31,157.0,2.32,1.44,0.0,182.0,6.28,0.0,1.98,0.158,0.0,0.0,0.0,0.0,0.0
2017 Tour des Fjords Stage 2.gpx,https://www.komoot.com/tour/2969661217,13.8,1.12,135.0,1.2,34.4,0.0,151.0,0.523,0.0,31.4,1.27,1.2,0.362,0.0,0.0,0.0
2017 Tour des Fjords Stage 3.gpx,https://www.komoot.com/tour/2969661739,27.4,1.82,122.0,4.93,23.8,0.0,153.0,2.8,0.0,22.8,0.339,0.0,0.0,0.0,0.0,0.0
2017 Tour des Fjords Stage 4.gpx,https://www.komoot.com/tour/2969662641,105.0,2.68,44.1,8.03,0.212,0.0,156.0,4.25,0.134,0.391,0.298,0.0,0.0,0.0,0.0,0.0
2017 Tour des Fjords Stage 5.gpx,https://www.komoot.com/tour/2969663603,70.4,3.54,70.4,16.8,1.37,0.0,158.0,2.28,0.711,1.79,0.621,0.0,0.0,0.0,0.0,0.0
2017 Tour du Doubs.gpx,https://www.komoot.com/tour/2969664241,140.0,0.999,35.4,5.48,0.177,0.0,181.0,1.01,0.0,0.187,0.194,0.0,0.0,0.0,0.0,0.0
2017 Tour du Finistere.gpx,https://www.komoot.com/tour/2969664725,119.0,3.64,57.1,13.3,0.0,0.0,181.0,13.0,0.0,0.0,0.252,0.0,0.0,0.0,0.0,0.0
2017 Tour du Limousin Stage 1.gpx,https://www.komoot.com/tour/2969665216,137.0,3.21,28.2,0.0,0.253,0.0,162.0,6.52,0.0,0.253,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour du Limousin Stage 2.gpx,https://www.komoot.com/tour/2969665611,185.0,0.0,1.19,0.0,0.0,0.0,178.0,7.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour du Limousin Stage 3.gpx,https://www.komoot.com/tour/2969666122,176.0,0.0,8.62,0.0,0.0,0.0,184.0,0.425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour du Limousin Stage 4.gpx,https://www.komoot.com/tour/2969667002,150.0,12.6,4.66,1.51,0.0,0.0,141.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour of Alberta Stage 1.gpx,https://www.komoot.com/tour/2969667457,86.6,0.0,75.6,0.0,0.0,0.0,157.0,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour of Alberta Stage 2.gpx,https://www.komoot.com/tour/2969667941,106.0,0.0,30.0,0.0,0.34,0.0,131.0,5.28,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour of Almaty Stage 1.gpx,https://www.komoot.com/tour/2969670795,88.4,0.0,85.3,0.0,1.91,0.0,174.0,0.0,0.0,1.91,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour of California Stage 1.gpx,https://www.komoot.com/tour/2969672500,6.63,0.284,56.1,56.9,0.0,0.0,119.0,0.907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour of California Stage 2.gpx,https://www.komoot.com/tour/2969672970,50.9,0.389,53.0,5.14,0.0,0.0,93.5,15.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour of California Stage 3.gpx,https://www.komoot.com/tour/2969673471,88.6,0.0,24.1,5.33,0.0,0.0,117.0,0.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour of California Stage 4.gpx,https://www.komoot.com/tour/2969674224,30.3,5.06,7.75,27.6,0.0,0.0,70.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Tour of Croatia Stage 1.gpx,https://www.komoot.com/tour/2969674819,22.8,7.31,159.0,31.0,4.59,0.0,219.0,2.48,0.133,4.61,2.05,1.2,0.308,0.0,0.0,0.0
2017 Tour of Croatia Stage 2.gpx,https://www.komoot.com/tour/2969675350,34.0,2.73,82.6,0.0,2.33,0.0,118.0,0.55,0.527,2.83,1.31,0.236,0.0,0.201,0.0,0.0
2017 Tour of Croatia Stage 3.gpx,https://www.komoot.com/tour/2969676375,67.5,6.64,150.0,2.7,7.84,0.0,223.0,3.78,0.727,8.08,1.85,0.818,0.0,0.0,0.0,0.0
2017 Tour of Croatia Stage 4.gpx,https://www.komoot.com/tour/2969677247,23.1,2.52,111.0,0.0,33.8,0.0,130.0,6.58,0.179,34.4,0.741,0.466,0.491,0.0,0.0,0.0
