fichier_gpx,route_url,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,_km,alpine_km
2017 Giro Ciclistico d'Italia Stage 1.gpx,https://www.komoot.com/tour/2969466021,117.0,0.549,6.82,2.05,1.97,0.0,123.0,3.58,0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0
2017 Giro Ciclistico d'Italia Stage 2.gpx,https://www.komoot.com/tour/2969466568,125.0,4.18,18.9,0.684,0.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Giro Ciclistico d'Italia Stage 3.gpx,https://www.komoot.com/tour/2969467130,119.0,1.67,18.5,1.09,0.0,0.0,138.0,1.69,0.0,0.17,0.471,0.0,0.0,0.0,0.0,0.0
2017 Giro Ciclistico d'Italia Stage 4.gpx,https://www.komoot.com/tour/2969467803,129.0,0.874,16.4,4.03,0.0,0.0,144.0,6.89,0.257,0.388,0.345,0.0,0.0,0.0,0.0,0.0
2017 Giro d'Italia Stage 1.gpx,https://www.komoot.com/tour/2969468565,132.0,0.62,73.1,0.296,0.621,0.0,204.0,1.86,0.518,0.724,0.4,0.0,0.0,0.0,0.0,0.0
2017 Giro d'Italia Stage 10.gpx,https://www.komoot.com/tour/2969469078,24.5,1.6,13.1,0.0,0.35,0.115,37.6,1.62,0.0,0.465,0.0,0.0,0.0,0.0,0.0,0.0
2017 Giro d'Italia Stage 11.gpx,https://www.komoot.com/tour/2969469804,82.4,0.67,77.2,0.653,0.0,0.0,161.0,0.246,0.0,0.0,0.103,0.0,0.0,0.0,0.0,0.0
2017 Giro d'Italia Stage 12.gpx,https://www.komoot.com/tour/2969470648,45.9,2.74,139.0,4.85,37.2,0.124,186.0,4.53,0.243,38.3,0.234,0.0,0.0,0.0,0.0,0.0
2017 Giro d'Italia Stage 13.gpx,https://www.komoot.com/tour/2969472357,60.5,2.92,97.8,4.5,0.936,0.0,163.0,2.59,0.884,0.947,0.469,0.0,0.0,0.0,0.0,0.0
2017 Giro d'Italia Stage 14.gpx,https://www.komoot.com/tour/2969472911,59.8,2.71,68.1,0.0,0.0,0.0,126.0,2.5,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017 Giro d'Italia Stage 15.gpx,https://www.komoot.com/tour/2969473819,150.0,2.32,37.8,7.38,1.36,0.0,195.0,1.18,0.813,1.48,0.0,0.0,0.0,0.0,0.0,0.0
2017 Giro d'Italia Stage 16.gpx,https://www.komoot.com/tour/2969474454,174.0,4.03,40.1,0.791,2.12,0.0,219.0,0.475,0.626,2.32,0.639,0.353,0.334,0.0,0.0,0.0
2017 Giro d'Italia Stage 17.gpx,https://www.komoot.com/tour/2969475238,37.4,0.294,159.0,21.8,0.701,0.0,218.0,0.236,0.34,0.595,0.183,0.0,0.0,0.0,0.0,0.0
2017 Giro d'Italia Stage 18.gpx,https://www.komoot.com/tour/2969476143,35.3,2.02,99.1,0.694,0.0,0.0,136.0,0.803,0.317,0.34,0.642,0.0,0.127,0.127,0.0,0.115
2017 Giro d'Italia Stage 19.gpx,https://www.komoot.com/tour/2969476841,85.5,1.93,102.0,0.384,1.9,0.0,188.0,1.47,0.42,1.6,0.432,0.0,0.0,0.0,0.0,0.0
2017 Giro d'Italia Stage 2.gpx,https://www.komoot.com/tour/2969477688,113.0,1.08,105.0,0.362,0.946,0.0,219.0,0.966,0.0,0.637,0.0,0.0,0.0,0.0,0.0,0.0
2017 Giro d'Italia Stage 20.gpx,https://www.komoot.com/tour/2969478483,130.0,6.75,37.0,9.81,3.96,0.0,173.0,10.7,0.0,4.2,2.33,2.39,0.604,0.0,0.0,0.276
