fichier_gpx,route_url,road_km,cycleway_km,street_km,unknown_km,path_km,off-grid_(unknown)_km,singletrack_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,state_road_km,alpine_km,compacted_gravel_km,alpine_path_km
2022 Clasica de Almeria.gpx,https://www.komoot.com/tour/2983454364,156.0,0.204,2.48,12.7,0.372,12.7,0.0,0.0,166.0,7.97,0.0,1.32,15.8,0.0,0.0,0.0
2022 Classic Grand Besancon Doubs.gpx,https://www.komoot.com/tour/2983456292,164.0,3.89,9.34,0.701,0.0,0.701,0.0,0.0,163.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0
2022 Classic Loire Atlantique.gpx,https://www.komoot.com/tour/2983457900,147.0,7.77,29.3,0.0,0.0,0.0,0.0,0.0,163.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0
2022 Classica Comunitat Valenciana 1969 - Gran Premi Valencia.gpx,https://www.komoot.com/tour/2983460121,113.0,0.446,1.01,0.634,0.0,0.488,0.0,0.0,173.0,0.563,0.0,0.0,59.6,0.0,0.0,0.0
2022 Classica da Arrabida - Cyclin'Portugal.gpx,https://www.komoot.com/tour/2983462232,76.9,0.0,2.73,0.0,1.61,0.0,0.212,0.0,157.0,3.1,0.0,1.82,80.3,0.0,0.0,0.0
2022 Classique Paris-Chauny.gpx,https://www.komoot.com/tour/2983463916,182.0,0.686,3.68,0.0,0.0,0.0,0.0,0.0,188.0,10.8,0.0,0.0,12.7,0.0,0.0,0.0
2022 Commonwealth Games - ITT.gpx,https://www.komoot.com/tour/2983465418,12.2,2.23,0.857,0.647,0.655,0.403,0.0,0.0,31.0,5.8,0.0,0.0,21.4,0.0,0.0,0.0
2022 Commonwealth Games.gpx,https://www.komoot.com/tour/2983467749,42.7,30.9,4.11,0.237,3.05,0.0,0.237,0.906,148.0,12.3,0.338,0.0,79.2,0.0,0.0,0.0
2022 Coppa Agostoni - Giro delle Brianze.gpx,https://www.komoot.com/tour/2983470164,186.0,2.94,4.4,0.0,0.267,0.0,0.0,0.0,160.0,33.6,0.65,0.0,0.267,0.0,0.0,0.0
2022 Coppa Bernocchi - GP BPM.gpx,https://www.komoot.com/tour/2983472502,164.0,1.15,9.76,0.204,0.0,0.204,0.0,0.263,176.0,12.1,0.764,0.0,13.7,0.0,0.0,0.0
2022 Coppa Sabatini - Gran Premio citta di Peccioli.gpx,https://www.komoot.com/tour/2983474353,152.0,0.0,5.05,1.09,0.0,1.09,0.0,0.0,172.0,29.0,0.708,0.0,44.5,0.0,0.0,0.0
2022 Criterium du Dauphine Stage 1.gpx,https://www.komoot.com/tour/2983476330,76.3,4.96,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0
2022 Criterium du Dauphine Stage 2.gpx,https://www.komoot.com/tour/2983478557,113.0,2.21,0.259,0.0,0.0,0.0,0.0,0.0,169.0,0.673,0.0,0.0,54.5,0.0,0.0,0.0
2022 Criterium du Dauphine Stage 3.gpx,https://www.komoot.com/tour/2983480378,156.0,1.83,0.0,0.108,0.0,0.0,0.0,0.0,169.0,0.512,0.0,0.0,10.5,0.0,0.0,0.0
2022 Criterium du Dauphine Stage 4.gpx,https://www.komoot.com/tour/2983481934,29.2,1.11,1.76,0.0,0.0,0.0,0.0,0.0,27.1,4.79,0.0,0.0,0.0,0.0,0.182,0.0
2022 Criterium du Dauphine Stage 5.gpx,https://www.komoot.com/tour/2983483726,145.0,0.857,1.5,0.61,0.253,0.389,0.0,0.0,159.0,2.77,0.0,0.0,15.2,0.0,0.0,0.0
2022 Criterium du Dauphine Stage 6.gpx,https://www.komoot.com/tour/2983485928,83.5,34.1,0.0,1.3,0.0,2.54,0.0,0.146,194.0,0.277,0.0,0.0,76.5,0.0,0.0,0.0
2022 Criterium du Dauphine Stage 7.gpx,https://www.komoot.com/tour/2983488008,104.0,14.6,0.199,0.13,0.144,0.0,0.0,0.0,135.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0
2022 Criterium du Dauphine Stage 8.gpx,https://www.komoot.com/tour/2983490229,112.0,1.99,0.2,0.191,0.0,0.191,0.0,0.0,138.0,1.13,0.0,0.0,24.7,0.0,0.0,0.0
2022 Cro Race Stage 1.gpx,https://www.komoot.com/tour/2983492184,35.0,21.3,3.84,3.41,0.589,3.4,0.0,0.0,218.0,1.55,0.362,0.243,160.0,0.0,0.0,0.0
2022 Cro Race Stage 2.gpx,https://www.komoot.com/tour/2983494263,0.827,0.0,2.61,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,159.0,0.0,0.0,0.0
2022 Cro Race Stage 3.gpx,https://www.komoot.com/tour/2983496583,26.1,0.0,1.77,21.8,3.18,22.2,0.0,0.0,130.0,1.69,0.0,2.92,104.0,0.0,0.0,0.0
2022 Cro Race Stage 4.gpx,https://www.komoot.com/tour/2983498547,19.7,2.7,6.08,0.0,0.109,0.0,0.0,0.0,218.0,2.94,0.135,0.0,193.0,0.0,0.0,0.0
2022 Cro Race Stage 5.gpx,https://www.komoot.com/tour/2983500802,109.0,0.0,0.295,1.07,0.985,0.993,0.0,0.0,152.0,0.163,1.36,0.144,43.2,0.0,0.0,0.0
2022 Cro Race Stage 6.gpx,https://www.komoot.com/tour/2983503293,65.8,9.41,5.6,26.5,5.56,25.5,0.816,0.218,127.0,1.91,1.3,2.72,22.1,0.0,0.0,0.0
