fichier_gpx,route_url,road_km,cycleway_km,street_km,unknown_km,path_km,off-grid_(unknown)_km,singletrack_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,state_road_km,alpine_km,compacted_gravel_km,alpine_path_km
2022 German Road National Championships - ITT.gpx,https://www.komoot.com/tour/2983618677,22.6,0.232,2.68,0.0,1.91,0.0,0.0,0.0,26.6,0.711,0.139,0.0,0.0,0.0,0.0,0.0
2022 German Road National Championships.gpx,https://www.komoot.com/tour/2983620716,175.0,8.99,8.53,0.47,7.82,0.364,0.0,0.0,207.0,2.2,1.58,0.0,10.6,0.0,0.0,0.0
2022 Giro d'Italia Stage 1.gpx,https://www.komoot.com/tour/2983622924,63.8,6.66,2.37,0.651,0.0,3.3,0.0,0.0,187.0,4.8,0.292,0.0,119.0,0.0,0.0,0.0
2022 Giro d'Italia Stage 10.gpx,https://www.komoot.com/tour/2983625466,70.8,0.54,0.954,3.04,1.64,2.71,0.0,0.0,190.0,0.636,0.0,0.351,118.0,0.0,0.906,0.0
2022 Giro d'Italia Stage 12.gpx,https://www.komoot.com/tour/2983634486,68.0,20.9,1.57,6.84,0.609,5.39,0.0,0.299,191.0,5.18,0.0,0.0,107.0,0.0,0.0,0.0
2022 Giro d'Italia Stage 13.gpx,https://www.komoot.com/tour/2983636331,20.8,4.19,0.397,0.0,0.866,0.415,0.0,0.0,149.0,0.529,0.618,0.0,124.0,0.0,0.0,0.0
2022 Giro d'Italia Stage 14.gpx,https://www.komoot.com/tour/2983638323,117.0,0.0,13.9,0.179,0.0,0.179,0.0,0.0,141.0,3.31,0.268,2.2,16.1,0.0,0.0,0.0
2022 Giro d'Italia Stage 15.gpx,https://www.komoot.com/tour/2983640826,136.0,0.69,1.05,0.563,0.172,0.53,0.0,0.0,173.0,2.47,1.29,0.0,38.9,0.0,0.0,0.0
2022 Giro d'Italia Stage 16.gpx,https://www.komoot.com/tour/2983642866,146.0,0.0,1.33,0.597,1.18,0.597,0.0,0.0,194.0,5.99,0.292,1.21,52.6,0.0,0.0,0.0
2022 Giro d'Italia Stage 17.gpx,https://www.komoot.com/tour/2983644868,71.0,2.85,1.59,1.01,0.143,0.839,0.0,0.0,166.0,0.693,0.445,0.0,92.0,0.0,0.0,0.0
2022 Giro d'Italia Stage 18.gpx,https://www.komoot.com/tour/2983647022,84.4,10.3,4.98,9.01,2.47,8.58,0.0,0.0,139.0,6.46,0.0,1.38,46.1,0.0,0.944,0.0
2022 Giro d'Italia Stage 19.gpx,https://www.komoot.com/tour/2983648853,153.0,0.498,2.16,0.585,0.0,0.0,0.0,0.0,173.0,4.93,0.846,0.0,23.5,0.0,0.0,0.0
2022 Giro d'Italia Stage 2.gpx,https://www.komoot.com/tour/2983650457,3.83,2.33,1.9,0.618,0.642,0.618,0.0,0.0,7.77,0.354,0.897,0.0,0.0,0.0,0.0,0.0
2022 Giro d'Italia Stage 20.gpx,https://www.komoot.com/tour/2983652432,50.6,0.0,0.0,0.451,0.249,0.392,0.0,0.0,169.0,0.0,0.239,0.0,118.0,0.0,0.0,0.0
2022 Giro d'Italia Stage 21.gpx,https://www.komoot.com/tour/2983654018,12.3,2.65,0.804,0.0,0.335,0.0,0.12,0.0,15.5,1.27,0.74,0.0,1.2,0.0,0.0,0.0
2022 Giro d'Italia Stage 3.gpx,https://www.komoot.com/tour/2983655733,70.8,6.77,1.62,0.408,1.16,0.0,0.297,0.0,198.0,1.69,0.789,0.483,121.0,0.0,0.0,0.0
2022 Giro d'Italia Stage 4.gpx,https://www.komoot.com/tour/2983657691,152.0,0.0,0.167,0.511,0.776,0.511,0.0,0.0,169.0,0.0,2.27,0.0,18.2,0.0,0.0,0.0
2022 Giro d'Italia Stage 5.gpx,https://www.komoot.com/tour/2983659807,78.6,1.68,0.0,0.974,0.0,0.974,0.0,0.0,171.0,0.137,2.43,0.0,92.9,0.0,0.0,0.0
2022 Giro d'Italia Stage 6.gpx,https://www.komoot.com/tour/2983662169,3.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,0.483,0.0,0.0,189.0,0.0,0.0,0.0
2022 Giro d'Italia Stage 7.gpx,https://www.komoot.com/tour/2983664439,153.0,0.783,1.25,0.721,0.0,0.636,0.0,0.0,180.0,15.9,0.0,0.0,40.9,0.0,0.0,0.0
2022 Giro d'Italia Stage 8.gpx,https://www.komoot.com/tour/2983667638,116.0,0.614,2.51,10.6,1.99,8.41,0.0,0.0,141.0,2.51,0.0,0.0,24.0,0.0,0.0,0.0
2022 Giro d'Italia Stage 9.gpx,https://www.komoot.com/tour/2983669935,85.8,0.0,0.243,0.193,0.0,0.446,0.0,0.0,191.0,0.211,0.0,0.0,104.0,0.0,0.0,0.0
2022 Giro del Medio Brenta.gpx,https://www.komoot.com/tour/2983672041,124.0,3.31,5.5,0.306,0.0,0.306,0.0,0.0,172.0,5.1,0.404,0.0,45.0,0.0,0.0,0.0
2022 Giro del Veneto.gpx,https://www.komoot.com/tour/2983674247,142.0,6.08,3.0,0.0,0.45,0.234,0.363,0.0,155.0,2.64,1.44,0.0,7.38,0.0,0.0,0.0
2022 Giro dell'Appennino.gpx,https://www.komoot.com/tour/2983676389,129.0,39.6,2.27,3.06,0.371,1.5,0.0,0.359,183.0,5.69,0.0,0.574,19.7,0.0,0.0,0.0
2022 Giro dell'Emilia.gpx,https://www.komoot.com/tour/2983678559,159.0,6.39,3.76,0.0,0.142,0.0,0.0,0.0,185.0,6.39,6.27,0.0,28.5,0.0,0.0,0.0
2022 Giro della Regione Friuli Venezia Giulia Stage 1.gpx,https://www.komoot.com/tour/2983679899,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022 Giro della Regione Friuli Venezia Giulia Stage 2.gpx,https://www.komoot.com/tour/2983681445,148.0,0.946,1.51,0.0,0.0,0.0,0.0,0.0,151.0,5.23,0.244,0.0,6.3,0.0,0.0,0.0
2022 Giro della Regione Friuli Venezia Giulia Stage 3.gpx,https://www.komoot.com/tour/2983683036,106.0,0.171,0.0,0.0,0.0,0.0,0.0,0.0,153.0,6.76,0.0,0.0,53.9,0.0,0.0,0.0
2022 Giro della Regione Friuli Venezia Giulia Stage 4.gpx,https://www.komoot.com/tour/2983685117,105.0,2.12,0.0,0.0,0.141,0.0,0.0,0.0,152.0,2.36,0.0,0.0,47.1,0.0,0.0,0.0
2022 Giro della Toscana - Memorial Alfredo Martini.gpx,https://www.komoot.com/tour/2983687399,151.0,0.0,0.245,0.27,0.0,0.215,0.0,0.0,196.0,2.33,0.0,0.0,47.0,0.0,0.0,0.0
2022 Giro di Sicilia - Tour of Sicily Stage 1.gpx,https://www.komoot.com/tour/2983689612,57.5,0.0,0.662,0.372,0.0,0.277,0.0,0.0,196.0,1.34,0.397,0.0,140.0,0.0,0.0,0.0
2022 Giro di Sicilia - Tour of Sicily Stage 2.gpx,https://www.komoot.com/tour/2983691332,28.9,0.484,0.0,0.0,0.0,0.207,0.0,0.0,152.0,0.287,0.0,0.0,122.0,0.0,0.0,0.0
2022 Giro di Sicilia - Tour of Sicily Stage 3.gpx,https://www.komoot.com/tour/2983693146,55.2,0.0,0.0,0.976,0.0,0.976,0.0,0.0,170.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0
2022 Giro di Sicilia - Tour of Sicily Stage 4.gpx,https://www.komoot.com/tour/2983695354,88.8,0.0,1.54,0.748,0.0,0.617,0.0,0.0,136.0,1.23,1.68,0.0,48.8,0.0,0.0,0.0
2022 Gran Camino Stage 1.gpx,https://www.komoot.com/tour/2983703780,82.7,0.0,2.14,0.271,0.205,0.271,0.0,0.0,164.0,0.82,0.327,0.195,80.6,0.0,0.0,0.0
2022 Gran Camino Stage 2.gpx,https://www.komoot.com/tour/2983706313,137.0,0.148,3.93,2.37,1.02,2.5,0.0,0.0,174.0,3.97,1.1,0.0,37.1,0.0,0.0,0.0
2022 Gran Camino Stage 3.gpx,https://www.komoot.com/tour/2983708460,102.0,0.0,0.857,0.0,0.0,0.0,0.0,0.0,137.0,11.2,0.0,0.0,45.3,0.0,0.0,0.0
2022 Gran Camino Stage 4.gpx,https://www.komoot.com/tour/2983709731,13.6,0.0,1.16,0.485,0.0,0.485,0.0,0.0,13.5,1.73,0.0,0.0,0.518,0.0,0.0,0.0
2022 Gran Piemonte.gpx,https://www.komoot.com/tour/2983711835,163.0,2.48,0.0,0.587,0.0,0.552,0.0,0.0,195.0,1.26,0.903,0.713,32.3,0.0,0.0,0.0
2022 Gran Premio Miguel Indurain.gpx,https://www.komoot.com/tour/2983714394,133.0,2.09,8.57,3.32,0.0,3.32,0.0,0.0,180.0,7.04,3.09,0.0,45.8,0.0,0.0,0.0
2022 Grand Prix Alanya.gpx,https://www.komoot.com/tour/2983717585,109.0,0.0,2.81,1.8,0.0,1.8,0.0,0.0,116.0,27.4,1.93,0.0,33.9,0.0,0.0,0.0
2022 Grand Prix Cappadocia.gpx,https://www.komoot.com/tour/2983719861,106.0,0.0,0.759,0.0,0.0,0.348,0.0,0.0,145.0,0.0,0.0,0.0,38.4,0.0,0.0,0.0
2022 Grand Prix Chantal Biya Stage 1.gpx,https://www.komoot.com/tour/2983721551,59.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.209,43.8,0.0,0.0,0.0
2022 Grand Prix Chantal Biya Stage 2.gpx,https://www.komoot.com/tour/2983723383,0.0,0.0,0.328,1.17,0.0,1.17,0.0,0.0,94.1,0.0,0.0,0.14,94.1,0.0,0.0,0.0
2022 Grand Prix Chantal Biya Stage 3.gpx,https://www.komoot.com/tour/2983724972,4.83,0.0,0.0,0.213,0.0,9.96,0.0,0.0,104.0,55.7,0.0,4.52,160.0,0.0,0.0,0.0
2022 Grand Prix Chantal Biya Stage 4.gpx,https://www.komoot.com/tour/2983726403,6.39,0.0,2.36,15.5,0.0,15.5,0.0,0.0,88.5,4.99,0.0,10.1,94.8,0.0,0.0,0.0
2022 Grand Prix Chantal Biya Stage 5.gpx,https://www.komoot.com/tour/2983728220,67.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.5,53.5,0.0,8.62,77.9,0.0,0.0,0.0
2022 Grand Prix Criquielion.gpx,https://www.komoot.com/tour/2983729903,123.0,41.8,21.2,0.0,0.0,0.0,0.0,0.0,111.0,72.3,4.25,0.0,1.87,0.0,0.0,0.0
2022 Grand Prix Cycliste de Marseille La Marseillaise.gpx,https://www.komoot.com/tour/2983732490,138.0,4.2,0.73,0.409,0.0,0.409,0.0,0.0,175.0,1.37,0.0,0.0,33.7,0.0,0.0,0.0
2022 Grand Prix Develi.gpx,https://www.komoot.com/tour/2983740194,82.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,29.4,0.0,0.0,0.0
2022 Grand Prix Erciyes.gpx,https://www.komoot.com/tour/2983741844,48.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,2.01,0.0,0.0,96.1,0.0,0.0,0.0
2022 Grand Prix Gazipasa.gpx,https://www.komoot.com/tour/2983743520,43.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.802,0.0,0.0,80.8,0.0,0.0,0.0
2022 Grand Prix Gundogmus.gpx,https://www.komoot.com/tour/2983746015,23.9,0.0,0.423,1.48,0.53,1.41,0.0,0.0,109.0,0.284,0.469,0.0,85.0,0.0,0.0,0.0
2022 Grand Prix Herning.gpx,https://www.komoot.com/tour/2983748018,141.0,9.65,9.16,1.55,7.73,0.0,0.983,0.0,152.0,2.19,0.297,21.5,2.81,0.0,3.44,0.0
2022 Grand Prix International de la ville de Nogent-sur-Oise.gpx,https://www.komoot.com/tour/2983750016,135.0,13.1,3.97,0.0,0.0,0.0,0.0,0.0,170.0,2.09,1.88,0.0,21.8,0.0,0.0,0.0
2022 Grand Prix Justiniano Race.gpx,https://www.komoot.com/tour/2983752727,32.5,0.0,1.65,2.74,2.99,0.425,0.0,0.0,152.0,1.79,0.828,0.0,120.0,0.0,0.0,0.0
2022 Grand Prix Kapuzbasi.gpx,https://www.komoot.com/tour/2983754070,104.0,0.0,0.942,0.215,0.0,0.215,0.0,0.0,113.0,5.96,0.0,0.0,13.7,0.0,0.0,0.0
2022 Grand Prix Kayseri.gpx,https://www.komoot.com/tour/2983755804,18.9,0.0,2.54,0.0,0.0,0.0,0.0,0.0,129.0,2.1,0.0,0.0,110.0,0.0,0.0,0.0
2022 Grand Prix Manavgat Side.gpx,https://www.komoot.com/tour/2983757810,9.21,0.0,0.0,0.179,1.05,0.0,0.0,0.0,144.0,0.0,0.948,0.0,135.0,0.0,0.0,0.0
2022 Grand Prix Mediterrennean.gpx,https://www.komoot.com/tour/2983759288,54.5,0.0,0.547,0.0,0.293,0.0,0.0,0.0,73.1,0.773,0.675,0.0,19.3,0.0,0.0,0.0
2022 Grand Prix Megasaray.gpx,https://www.komoot.com/tour/2983761576,21.6,0.0,0.39,0.0,0.293,0.0,0.0,0.0,123.0,0.475,0.229,0.0,102.0,0.0,0.0,0.0
2022 Grand Prix Nasielsk-Serock.gpx,https://www.komoot.com/tour/2983763263,121.0,1.3,14.7,0.251,0.116,0.0,0.0,0.0,130.0,9.39,0.719,1.58,4.29,0.0,0.0,0.0
2022 Grand Prix Tomarza.gpx,https://www.komoot.com/tour/2983764847,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,0.0,26.3,0.0,0.0,0.0
2022 Grand Prix Velo Alanya.gpx,https://www.komoot.com/tour/2983767081,39.3,0.0,0.742,0.271,0.293,0.187,0.0,0.0,119.0,17.0,0.229,0.0,95.9,0.0,0.0,0.0
2022 Grand Prix Wyszkow.gpx,https://www.komoot.com/tour/2983768786,153.0,9.99,3.64,0.0,1.85,0.0,0.0,0.0,165.0,1.19,0.597,1.78,0.0,0.0,0.0,0.0
2022 Grand Prix Yahyali.gpx,https://www.komoot.com/tour/2983770233,93.2,0.0,0.817,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,28.6,0.0,0.0,0.0
2022 Grand Prix d'Isbergues - Pas de Calais.gpx,https://www.komoot.com/tour/2983771843,121.0,0.682,47.7,0.0,0.0,0.0,0.0,0.0,135.0,62.1,0.0,0.0,27.2,0.0,0.0,0.0
2022 Grand Prix de Denain - Porte du Hainaut.gpx,https://www.komoot.com/tour/2983773949,163.0,12.9,12.2,1.08,3.92,1.08,0.0,0.0,169.0,8.84,19.5,0.441,7.56,0.0,1.24,0.0
2022 Grand Prix de Wallonie.gpx,https://www.komoot.com/tour/2983776092,152.0,12.4,10.5,0.0,0.0,0.0,0.15,0.0,193.0,6.61,2.18,0.0,26.4,0.0,0.15,0.0
2022 Grand Prix de la Somme Conseil Departemental 80.gpx,https://www.komoot.com/tour/2983778303,133.0,4.67,11.4,0.475,0.0,0.456,0.0,0.0,149.0,22.3,0.0,0.0,21.5,0.0,0.0,0.0
2022 Grand Prix de la Ville de Lillers Souvenir Bruno Comini.gpx,https://www.komoot.com/tour/2983779866,167.0,0.25,12.9,0.0,0.0,0.0,0.0,0.0,165.0,15.8,0.0,0.0,0.462,0.0,0.0,0.0
2022 Grand Prix de la ville de Perenchies.gpx,https://www.komoot.com/tour/2983781555,135.0,34.6,3.77,0.0,0.0,0.0,0.0,0.0,167.0,4.72,6.65,0.0,4.63,0.0,0.0,0.0
2022 Grand Prix du Morbihan.gpx,https://www.komoot.com/tour/2983783433,174.0,0.876,4.24,0.0,0.0,0.0,0.0,0.0,148.0,38.7,0.0,0.0,7.65,0.0,0.0,0.0
2022 Grosser Preis des Kantons Aargau.gpx,https://www.komoot.com/tour/2983785441,130.0,10.6,0.61,13.2,12.2,0.0,0.709,0.0,131.0,41.6,0.0,3.85,8.61,0.0,0.0,0.0
2022 Grote Prijs Rik Van Looy.gpx,https://www.komoot.com/tour/2983787597,70.2,81.2,23.7,1.14,0.159,0.918,0.0,0.0,78.3,98.4,12.6,0.0,0.968,0.0,0.159,0.0
2022 Grote prijs Jean - Pierre Monsere.gpx,https://www.komoot.com/tour/2983790092,97.3,80.8,16.8,0.0,0.0,0.0,0.0,0.0,101.0,91.9,9.3,0.0,0.633,0.0,0.0,0.0
2022 Gylne Gutuer.gpx,https://www.komoot.com/tour/2983792325,144.0,0.0,4.03,2.2,2.72,0.0,0.0,0.0,86.3,13.1,0.0,4.18,14.2,0.0,59.0,0.0
2022 Heylen Vastgoed Heistse Pijl.gpx,https://www.komoot.com/tour/2983794062,5.69,135.0,22.7,1.89,0.614,1.8,0.164,0.0,91.3,90.8,6.82,0.449,0.825,0.0,0.242,0.0
2022 Il Lombardia.gpx,https://www.komoot.com/tour/2983796416,214.0,2.87,1.55,3.77,0.956,2.79,0.16,0.0,248.0,1.52,0.399,0.0,31.5,0.0,0.0,0.0
2022 In the footsteps of the Romans Stage 1.gpx,https://www.komoot.com/tour/2983798120,131.0,0.0,4.0,0.0,0.117,0.0,0.0,0.0,74.4,60.6,0.117,0.0,0.0,0.0,0.0,0.0
2022 In the footsteps of the Romans Stage 2.gpx,https://www.komoot.com/tour/2983799662,132.0,0.0,6.22,0.0,0.0,0.0,0.0,0.0,93.9,44.4,0.0,0.0,0.0,0.0,0.0,0.0
2022 International Rhodes Grand Prix.gpx,https://www.komoot.com/tour/2983801582,158.0,0.141,0.336,0.0,0.146,0.0,0.0,0.0,184.0,3.85,0.0,0.0,28.9,0.0,0.0,0.0
2022 International Tour of Hellas Stage 1.gpx,https://www.komoot.com/tour/2983803686,120.0,0.0,0.921,0.385,0.0,0.385,0.0,0.0,178.0,0.187,0.441,0.489,58.2,0.0,0.0,0.0
2022 International Tour of Hellas Stage 2.gpx,https://www.komoot.com/tour/2983805385,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.843,0.619,0.0,79.2,0.0,0.0,0.0
2022 International Tour of Hellas Stage 3.gpx,https://www.komoot.com/tour/2983807727,95.9,0.0,2.23,0.0,0.0,0.0,0.0,0.0,169.0,2.52,0.0,0.0,73.5,0.0,0.0,0.0
2022 International Tour of Hellas Stage 4.gpx,https://www.komoot.com/tour/2983810325,119.0,0.0,0.697,6.4,0.685,6.57,0.0,0.0,167.0,0.79,0.0,0.685,48.3,0.0,0.0,0.0
2022 International Tour of Hellas Stage 5.gpx,https://www.komoot.com/tour/2983812260,36.5,0.343,0.0,0.0,0.0,0.0,0.0,0.0,154.0,0.343,0.0,0.0,118.0,0.0,0.0,0.0
2022 International Tour of Rhodes Prologue.gpx,https://www.komoot.com/tour/2983813583,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022 International Tour of Rhodes Stage 1.gpx,https://www.komoot.com/tour/2983815178,137.0,0.0,0.324,0.171,0.288,0.0,0.0,0.0,138.0,0.152,0.0,0.288,1.19,0.0,0.0,0.0
2022 International Tour of Rhodes Stage 2.gpx,https://www.komoot.com/tour/2983816994,103.0,0.0,0.419,0.115,0.288,0.0,0.0,0.0,152.0,0.467,0.0,0.288,50.0,0.0,0.0,0.0
2022 International Tour of Rhodes Stage 3.gpx,https://www.komoot.com/tour/2983818605,127.0,0.0,0.332,0.332,0.118,0.0,0.0,0.0,135.0,14.0,0.0,0.786,22.4,0.0,0.0,0.0
2022 Istarsko Proljece - Istrian Spring Trophy Prologue.gpx,https://www.komoot.com/tour/2983819908,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022 Istarsko Proljece - Istrian Spring Trophy Stage 1.gpx,https://www.komoot.com/tour/2983821420,88.2,0.0,1.61,0.0,6.58,0.0,0.0,0.0,158.0,1.56,0.0,6.56,69.7,0.0,0.0,0.0
2022 Istarsko Proljece - Istrian Spring Trophy Stage 2.gpx,https://www.komoot.com/tour/2983823000,115.0,0.0,3.48,0.0,0.277,0.0,0.0,0.0,172.0,0.211,0.389,0.261,54.1,0.0,0.0,0.0
2022 Istarsko Proljece - Istrian Spring Trophy Stage 3.gpx,https://www.komoot.com/tour/2983824563,58.5,0.0,1.22,0.498,0.134,0.404,0.0,0.0,110.0,0.637,0.0,1.65,52.4,0.0,0.0,0.0
2022 Italian Road National Championships.gpx,https://www.komoot.com/tour/2983826572,146.0,0.0,24.5,0.0,0.0,0.0,0.0,0.843,138.0,31.9,1.03,0.0,0.0,0.0,0.0,0.0
2022 Itzulia Basque Country Prologue.gpx,https://www.komoot.com/tour/2983828116,4.64,0.0,1.71,0.534,0.349,0.522,0.0,0.504,6.49,0.321,0.391,0.0,0.0,0.0,0.0,0.0
2022 Itzulia Basque Country Stage 1.gpx,https://www.komoot.com/tour/2983830161,101.0,0.0,1.08,0.886,0.0,0.68,0.0,0.0,206.0,0.963,0.0,0.0,104.0,0.0,0.0,0.0
2022 Itzulia Basque Country Stage 2.gpx,https://www.komoot.com/tour/2983832012,115.0,0.413,10.4,0.0,0.639,0.0,0.0,0.0,164.0,14.2,0.0,1.49,53.7,0.0,0.0,0.0
2022 Itzulia Basque Country Stage 3.gpx,https://www.komoot.com/tour/2983834295,133.0,0.677,4.42,0.0,0.143,0.0,0.0,0.0,180.0,5.21,0.0,0.0,47.4,0.0,0.0,0.0
2022 Itzulia Basque Country Stage 4.gpx,https://www.komoot.com/tour/2983837011,146.0,0.197,1.6,0.438,0.0,0.366,0.0,0.0,162.0,0.305,0.604,0.0,14.4,0.0,0.0,0.0
2022 Itzulia Basque Country Stage 5.gpx,https://www.komoot.com/tour/2983838646,90.4,1.08,4.9,0.0,0.128,0.0,0.0,0.0,135.0,1.48,0.223,0.0,40.5,0.0,0.0,0.0
2022 Jaen Paraiso Interior.gpx,https://www.komoot.com/tour/2983840786,103.0,0.368,4.39,4.67,41.3,9.13,0.0,0.0,132.0,7.2,3.02,40.2,32.8,0.0,0.0,0.0
2022 Japan Cup Cycle Road Race.gpx,https://www.komoot.com/tour/2983842493,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.4,56.4,0.0,0.0,24.3,0.0,0.0,0.0
2022 Joe Martin Stage Race Stage 1.gpx,https://www.komoot.com/tour/2983844427,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.0,0.84,0.0,0.0,72.7,0.0,0.0,0.0
2022 Joe Martin Stage Race Stage 2.gpx,https://www.komoot.com/tour/2983846124,97.8,2.46,2.13,0.367,0.0,0.367,0.0,0.0,165.0,3.15,0.0,0.0,65.3,0.0,0.0,0.0
2022 Joe Martin Stage Race Stage 3.gpx,https://www.komoot.com/tour/2983847147,4.67,0.0,0.106,0.166,0.0,0.0,0.0,0.0,4.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022 Joe Martin Stage Race Stage 4.gpx,https://www.komoot.com/tour/2983849780,0.0,38.5,14.6,7.9,0.0,8.18,0.0,0.0,53.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022 Kampioenschap van Vlaanderen.gpx,https://www.komoot.com/tour/2983851443,70.9,102.0,18.9,0.0,0.0,0.0,0.0,0.0,100.0,96.4,0.0,0.0,5.46,0.0,0.0,0.0
2022 Kreiz Breizh Elites Stage 1.gpx,https://www.komoot.com/tour/2983852915,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43,4.81,0.0,0.0,0.0,0.0,0.0,0.0
2022 Kreiz Breizh Elites Stage 2.gpx,https://www.komoot.com/tour/2983855006,180.0,2.36,7.79,0.0,0.0,0.0,0.0,0.0,154.0,47.1,0.0,0.0,10.9,0.0,0.0,0.0
2022 Kreiz Breizh Elites Stage 3.gpx,https://www.komoot.com/tour/2983857275,172.0,0.392,13.3,0.0,0.0,0.0,0.0,0.0,181.0,5.6,0.0,0.0,1.4,0.0,0.0,0.0
2022 Kreiz Breizh Elites Stage 4.gpx,https://www.komoot.com/tour/2983858955,165.0,0.0,14.0,0.102,0.0,0.0,0.0,0.0,139.0,39.2,0.0,0.0,0.0,0.0,0.0,0.0
2022 Kuurne - Bruxelles - Kuurne.gpx,https://www.komoot.com/tour/2983861082,87.7,62.5,22.2,0.597,0.0,0.423,0.0,0.0,127.0,61.1,6.15,0.0,12.8,0.0,0.0,0.0
2022 La Fleche Wallonne.gpx,https://www.komoot.com/tour/2983863057,158.0,8.66,4.52,0.0,0.0,0.0,0.0,0.0,197.0,4.3,0.196,0.0,31.2,0.0,0.0,0.0
2022 La Maurienne.gpx,https://www.komoot.com/tour/2983864947,128.0,5.16,3.58,1.07,1.28,0.804,0.0,0.128,132.0,2.81,0.0,1.28,0.0,0.0,1.46,0.0
2022 La Polynormande.gpx,https://www.komoot.com/tour/2983867018,170.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,118.0,54.2,0.0,0.0,0.0,0.0,0.0,0.0
2022 La Roue Tourangelle Centre Val de Loire - Trophee Groupama Paris Val de Loire.gpx,https://www.komoot.com/tour/2983868728,177.0,3.18,15.8,0.163,0.0,0.0,0.111,0.0,163.0,37.6,0.824,0.111,5.71,0.0,0.0,0.0
2022 La Route Adelie de Vitre.gpx,https://www.komoot.com/tour/2983870505,147.0,8.32,6.46,0.0,0.0,0.0,0.0,0.0,149.0,27.4,0.0,0.0,15.3,0.0,0.0,0.0
2022 La Route d'Occitanie - La Depeche du Midi Stage 1.gpx,https://www.komoot.com/tour/2983872306,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,35.3,0.0,0.0,0.0
2022 La Route d'Occitanie - La Depeche du Midi Stage 2.gpx,https://www.komoot.com/tour/2983873773,17.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,34.6,0.0,0.0,0.0,17.6,0.0,0.0,0.0
2022 La Route d'Occitanie - La Depeche du Midi Stage 3.gpx,https://www.komoot.com/tour/2983875644,161.0,3.19,2.83,0.0,0.0,0.0,0.0,0.0,188.0,1.12,0.0,0.0,22.4,0.0,0.0,0.0
2022 La Route d'Occitanie - La Depeche du Midi Stage 4.gpx,https://www.komoot.com/tour/2983877268,131.0,0.257,0.848,0.0,0.0,0.0,0.0,0.0,183.0,0.612,0.0,4.13,56.3,0.0,0.0,0.0
2022 La Vuelta ciclista a Espana Stage 1.gpx,https://www.komoot.com/tour/2983879440,1.09,17.1,0.923,1.27,0.433,1.22,0.0,0.0,19.7,0.698,2.44,0.0,1.62,0.0,0.0,0.0
2022 La Vuelta ciclista a Espana Stage 10.gpx,https://www.komoot.com/tour/2983880921,17.6,1.64,1.07,2.14,0.846,0.975,0.0,0.0,18.3,10.6,0.0,0.0,9.18,0.0,0.0,0.0
2022 La Vuelta ciclista a Espana Stage 11.gpx,https://www.komoot.com/tour/2983883029,144.0,1.69,3.67,0.513,0.489,0.163,0.131,0.0,188.0,2.13,0.0,0.131,40.6,0.0,0.0,0.0
2022 La Vuelta ciclista a Espana Stage 12.gpx,https://www.komoot.com/tour/2983886071,77.9,0.175,7.22,16.3,8.93,14.6,0.148,0.0,169.0,5.09,1.83,1.33,87.8,0.0,3.34,0.0
2022 La Vuelta ciclista a Espana Stage 13.gpx,https://www.komoot.com/tour/2983888315,145.0,0.0,0.146,0.298,0.0,0.298,0.0,0.0,168.0,0.243,0.0,0.0,22.7,0.0,0.0,0.0
2022 La Vuelta ciclista a Espana Stage 14.gpx,https://www.komoot.com/tour/2983890000,130.0,0.0,2.51,1.47,0.338,0.569,0.0,0.0,155.0,3.75,0.197,0.0,27.4,0.0,0.0,0.0
2022 La Vuelta ciclista a Espana Stage 15.gpx,https://www.komoot.com/tour/2983892017,91.3,1.51,0.121,0.0,0.0,0.182,0.0,0.0,152.0,0.0,0.168,0.0,59.5,0.0,0.0,0.0
