fichier_gpx,route_url,road_km,state_road_km,street_km,asphalt_km,unpaved_km,paved_km,off-grid_(unknown)_km,unknown_km,path_km,cobblestones_km,cycleway_km,singletrack_km,compacted_gravel_km,access_road_km
2023 Aziz Shusha Stage 2.gpx,https://www.komoot.com/tour/2984761883,2.29,173.0,0.0,176.0,0.324,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0
2023 Aziz Shusha Stage 3.gpx,https://www.komoot.com/tour/2984763651,0.429,170.0,0.0,169.0,0.0,1.63,0.0,0.0,0.291,0.14,0.0,0.0,0.0,0.0
2023 Aziz Shusha Stage 4.gpx,https://www.komoot.com/tour/2984765190,23.6,77.8,0.507,95.9,0.0,5.66,0.719,0.379,0.0,0.0,0.0,0.0,0.0,0.0
2023 Aziz Shusha Stage 5.gpx,https://www.komoot.com/tour/2984767058,3.35,125.0,1.54,125.0,3.21,2.51,1.11,1.58,1.61,0.0,0.0,0.0,0.0,0.0
2023 BEMER Cyclassics.gpx,https://www.komoot.com/tour/2984769716,93.4,6.74,9.02,161.0,0.49,37.3,4.2,4.76,1.28,2.1,66.4,0.53,0.193,0.254
2023 Baloise Belgium Tour Stage 1.gpx,https://www.komoot.com/tour/2984771653,45.3,0.87,22.1,32.6,0.0,128.0,0.0,9.67,0.0,4.13,87.3,0.0,0.0,0.0
2023 Baloise Belgium Tour Stage 2.gpx,https://www.komoot.com/tour/2984774486,46.5,0.0,12.5,99.2,0.922,61.4,0.0,1.45,1.3,11.4,82.9,0.169,0.0,0.0
2023 Baloise Belgium Tour Stage 3.gpx,https://www.komoot.com/tour/2984777060,5.87,0.0,0.554,9.56,0.0,5.36,0.0,1.3,0.0,0.0,7.28,0.0,0.0,0.0
2023 Baloise Belgium Tour Stage 4.gpx,https://www.komoot.com/tour/2984778961,156.0,0.256,13.8,149.0,0.0,22.5,0.0,1.1,0.0,0.723,0.811,0.0,0.0,0.0
2023 Baloise Belgium Tour Stage 5.gpx,https://www.komoot.com/tour/2984781005,38.1,4.56,32.9,66.7,0.308,121.0,0.0,0.128,1.33,6.16,107.0,0.0,0.0,0.0
2023 Baltic Chain Tour Stage 1.gpx,https://www.komoot.com/tour/2984782845,173.0,18.3,0.951,194.0,3.44,0.21,0.0,0.757,0.0,0.0,7.57,0.0,0.759,0.0
2023 Baltic Chain Tour Stage 2.gpx,https://www.komoot.com/tour/2984784520,55.6,98.7,1.59,157.0,0.759,0.0,0.0,0.179,3.27,2.56,1.04,0.0,0.0,0.0
2023 Baltic Chain Tour Stage 3.gpx,https://www.komoot.com/tour/2984785863,6.56,148.0,1.21,156.0,0.0,0.583,0.0,0.0,0.0,0.0,0.418,0.0,0.0,0.0
2023 Belgian Road National Championships.gpx,https://www.komoot.com/tour/2984787701,90.7,2.57,17.6,163.0,0.354,63.5,2.04,2.17,0.194,3.39,108.0,0.238,0.0,0.0
2023 Belgrade Banjaluka Stage 1.gpx,https://www.komoot.com/tour/2984789533,33.7,105.0,0.444,139.0,0.0,1.29,0.0,0.0,1.24,0.0,0.0,0.0,0.0,0.0
2023 Belgrade Banjaluka Stage 2.gpx,https://www.komoot.com/tour/2984790977,32.3,88.7,5.22,125.0,0.0,0.959,0.434,1.33,1.57,0.0,0.0,0.0,0.457,0.0
2023 Belgrade Banjaluka Stage 3.gpx,https://www.komoot.com/tour/2984792434,11.3,59.0,6.57,70.3,6.06,3.9,81.5,80.1,4.86,0.0,0.0,0.0,0.0,0.0
2023 Belgrade Banjaluka Stage 4.gpx,https://www.komoot.com/tour/2984793799,7.67,117.0,5.35,128.0,1.73,1.04,15.0,15.4,0.433,0.0,0.0,0.0,0.0,0.0
2023 Betcity Elfstedenrace.gpx,https://www.komoot.com/tour/2984795690,106.0,6.78,3.44,152.0,1.35,28.0,12.7,15.2,2.1,11.5,24.5,1.15,0.116,0.0
2023 Boucles de l'Aulne - Chateaulin.gpx,https://www.komoot.com/tour/2984797504,170.0,8.91,2.63,168.0,0.0,13.0,0.0,0.0,0.0,0.616,0.0,0.0,0.0,0.0
2023 Boucles de la Mayenne - Credit Mutuel Prologue.gpx,https://www.komoot.com/tour/2984798809,0.975,0.0,2.38,3.2,0.0,0.0,0.0,0.753,0.0,0.0,0.381,0.0,0.0,0.309
2023 Boucles de la Mayenne - Credit Mutuel Stage 1.gpx,https://www.komoot.com/tour/2984800478,183.0,0.415,1.53,152.0,0.0,33.0,0.387,0.448,0.0,0.0,0.0,0.0,0.0,0.0
2023 Boucles de la Mayenne - Credit Mutuel Stage 2.gpx,https://www.komoot.com/tour/2984801743,164.0,9.0,8.79,160.0,0.0,22.0,0.0,0.0,0.0,0.0,0.608,0.0,0.0,0.0
2023 Boucles de la Mayenne - Credit Mutuel Stage 3.gpx,https://www.komoot.com/tour/2984803342,143.0,10.2,7.04,148.0,0.0,18.6,0.398,0.398,0.0,0.0,6.34,0.0,0.0,0.0
2023 Bredene Koksijde Classic.gpx,https://www.komoot.com/tour/2984804975,98.6,1.74,14.2,125.0,0.297,62.6,0.0,1.19,0.281,2.37,54.4,0.0,0.0,0.0
2023 Bretagne Classic - Ouest-France.gpx,https://www.komoot.com/tour/2984806859,222.0,22.4,12.4,181.0,0.797,76.3,0.544,0.544,0.86,0.0,0.972,0.0,0.0,0.0
2023 British Road National Championships.gpx,https://www.komoot.com/tour/2984808461,149.0,28.5,11.5,136.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Brussels Cycling Classic.gpx,https://www.komoot.com/tour/2984810423,110.0,9.16,23.3,150.0,0.402,39.5,9.15,9.69,0.757,8.24,48.7,0.0,0.0,0.466
2023 CAC African Road Championships.gpx,https://www.komoot.com/tour/2984812228,0.119,140.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 CIC - Mont Ventoux.gpx,https://www.komoot.com/tour/2984813532,76.3,2.85,0.0,96.4,0.0,1.86,0.0,0.0,0.0,0.0,19.1,0.0,0.0,0.0
2023 COPACI Campeonato Panamericano de Ruta - ITT.gpx,https://www.komoot.com/tour/2984814955,0.0,25.5,0.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 COPACI Campeonato Panamericano de Ruta.gpx,https://www.komoot.com/tour/2984816622,0.0,115.0,0.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Cadel Evans Great Ocean Road Race.gpx,https://www.komoot.com/tour/2984819168,126.0,5.47,2.62,121.0,0.0,50.9,1.06,1.19,0.931,0.0,37.1,0.409,0.0,0.0
2023 Canadian Road National Championship - ITT.gpx,https://www.komoot.com/tour/2984820652,38.3,0.0,0.0,23.8,0.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023 Cholet - Pays de la Loire.gpx,https://www.komoot.com/tour/2984825677,156.0,1.69,23.8,163.0,0.408,40.2,2.0,2.77,0.321,0.0,21.2,0.294,0.0,0.902
2023 Chrono des Nations.gpx,https://www.komoot.com/tour/2984827082,44.6,0.131,0.0,45.4,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.0,0.0,0.0
2023 Circuit Franco-Belge.gpx,https://www.komoot.com/tour/2984828319,117.0,12.8,24.6,128.0,0.0,62.6,0.0,0.47,0.0,0.407,36.7,0.0,0.0,0.0
2023 Circuit de Wallonie.gpx,https://www.komoot.com/tour/2984829936,92.7,52.2,9.97,155.0,0.0,23.7,2.82,2.94,0.0,3.32,27.4,0.0,0.0,0.0
