fichier_gpx,route_url,road_km,state_road_km,off-grid_(unknown)_km,street_km,asphalt_km,unknown_km,cycleway_km,access_road_km,paved_km,cobblestones_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,ferry_km,alpine_km,alpine_path_km
2019 Boucles de la Mayenne Stage 1.gpx,https://www.komoot.com/tour/2971750094,194.0,4.44,0.0,2.88,171.0,0.727,1.24,0.0,30.7,0.0,0.0,1.88,1.88,0.0,0.0,0.0,0.0
2019 Boucles de la Mayenne Stage 2.gpx,https://www.komoot.com/tour/2971750781,179.0,0.864,0.0,2.56,155.0,0.0,0.72,0.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Boucles de la Mayenne Stage 3.gpx,https://www.komoot.com/tour/2971751520,163.0,2.85,2.32,3.97,155.0,2.76,1.65,0.0,15.7,0.404,0.266,0.0,0.0,0.0,0.0,0.0,0.0
2019 Bredene Koksijde Classic.gpx,https://www.komoot.com/tour/2971752287,84.0,3.28,0.0,5.28,126.0,0.837,84.0,0.0,66.0,4.9,0.0,0.526,0.526,0.0,0.0,0.0,0.0
2019 Bretagne Classic - Ouest France.gpx,https://www.komoot.com/tour/2971752957,224.0,17.0,0.597,3.0,198.0,1.07,3.1,0.0,48.8,0.0,2.12,1.64,0.8,1.25,0.0,0.0,0.0
2019 Brussels Cycling Classic.gpx,https://www.komoot.com/tour/2971753802,94.0,5.65,0.0,25.6,137.0,0.28,53.9,0.115,46.6,4.34,1.58,0.0,0.0,1.59,0.0,0.0,0.0
2019 Bursa Orhangazi Race.gpx,https://www.komoot.com/tour/2971754855,0.196,171.0,1.15,0.0,171.0,0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 Bursa Yildirim Bayezit Race.gpx,https://www.komoot.com/tour/2971755751,0.118,122.0,0.0,0.367,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 CAC African Road Championships - ITT.gpx,https://www.komoot.com/tour/2971756263,0.0,46.1,0.0,0.0,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 CAC African Road Championships - TTT.gpx,https://www.komoot.com/tour/2971756611,0.0,46.1,0.0,0.0,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 CAC African Road Championships.gpx,https://www.komoot.com/tour/2971757214,65.2,40.2,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 COPACI Campeonato Panamericano de Ruta.gpx,https://www.komoot.com/tour/2971758972,37.3,44.1,3.8,0.0,42.8,3.8,3.29,0.0,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019 CRO Race Stage 1.gpx,https://www.komoot.com/tour/2971759763,63.8,119.0,8.1,8.18,190.0,7.79,2.04,0.0,3.52,0.0,1.2,0.507,0.0,0.0,0.0,0.0,0.0
2019 CRO Race Stage 2.gpx,https://www.komoot.com/tour/2971760509,0.646,175.0,4.0,2.12,177.0,3.08,0.0,0.0,0.0,0.0,1.24,1.24,0.0,0.0,0.0,0.0,0.0
2019 CRO Race Stage 3.gpx,https://www.komoot.com/tour/2971761403,45.8,90.7,8.7,7.07,144.0,9.25,0.0,0.317,0.761,0.992,2.57,0.0,0.0,0.0,0.0,0.0,0.0
2019 CRO Race Stage 4.gpx,https://www.komoot.com/tour/2971761968,3.67,145.0,0.0,6.08,154.0,0.0,0.0,0.0,0.241,0.0,0.109,0.0,0.0,0.0,0.0,0.0,0.0
2019 CRO Race Stage 5.gpx,https://www.komoot.com/tour/2971762637,70.5,65.0,0.229,0.743,136.0,0.0,0.0,0.0,0.109,0.364,0.422,0.0,0.0,0.0,0.0,0.0,0.0
2019 CRO Race Stage 6.gpx,https://www.komoot.com/tour/2971763402,63.0,19.3,25.9,7.32,123.0,26.4,11.1,0.289,1.5,1.94,5.29,2.35,0.718,0.0,0.0,0.0,0.0
2019 Cadel Evans Great Ocean Road Race.gpx,https://www.komoot.com/tour/2971764466,77.7,6.93,0.0,0.683,87.9,0.0,28.1,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
