fichier_gpx,route_url,road_km,state_road_km,street_km,cycleway_km,access_road_km,path_km,singletrack_km,asphalt_km,paved_km,cobblestones_km,unknown_km,unpaved_km,off-grid_(unknown)_km,compacted_gravel_km,alpine_km
2021 Arctic Race of Norway Stage 4.gpx,https://www.komoot.com/tour/2973397101,45.5,110.0,6.85,0.496,0.174,0.322,0.0,161.0,1.72,0.0,0.765,0.0,0.527,0.0,0.0
2021 Australian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2973397867,29.9,0.0,6.8,0.838,0.0,0.0,0.0,14.1,23.5,0.0,0.0,0.0,0.0,0.0,0.0
2021 Australian Road National Championships.gpx,https://www.komoot.com/tour/2973398726,87.7,14.3,23.6,14.8,0.0,0.0,0.0,17.5,123.0,0.0,0.0,0.0,0.0,0.0,0.0
2021 Austrian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2973399499,0.0,27.2,0.288,0.0,0.0,0.0,0.0,27.2,0.0,0.0,0.163,0.0,0.0,0.0,0.0
2021 Austrian Road National Championships.gpx,https://www.komoot.com/tour/2973400602,146.0,24.9,0.0,5.79,0.0,0.0,0.0,177.0,0.0,0.0,0.141,0.0,0.355,0.0,0.0
2021 Axion SWISS Bank Gran Premio Citta di Lugano.gpx,https://www.komoot.com/tour/2973401737,166.0,0.102,20.7,0.0,0.0,0.0,0.0,173.0,13.4,0.24,0.0,0.0,0.0,0.0,0.0
2021 Baloise Belgium Tour Stage 1.gpx,https://www.komoot.com/tour/2973402771,61.7,2.86,8.98,89.8,0.0,0.222,0.193,102.0,68.9,4.44,0.104,0.203,0.0,0.0,0.0
2021 Baloise Belgium Tour Stage 2.gpx,https://www.komoot.com/tour/2973403702,2.97,0.0,0.355,5.28,0.0,0.0,0.0,9.66,1.37,0.0,0.194,0.0,0.0,0.0,0.0
2021 Baloise Belgium Tour Stage 3.gpx,https://www.komoot.com/tour/2973404600,52.6,2.09,7.47,93.7,0.0,0.346,2.15,63.6,109.0,1.6,0.0,0.233,0.0,0.0,0.0
2021 Baloise Belgium Tour Stage 4.gpx,https://www.komoot.com/tour/2973405457,99.8,33.8,8.95,9.9,0.0,0.0,0.0,142.0,10.4,0.206,0.0,0.0,0.0,0.0,0.0
2021 Baloise Belgium Tour Stage 5.gpx,https://www.komoot.com/tour/2973406516,30.6,2.0,31.4,79.9,0.0,0.84,0.0,115.0,59.1,3.48,1.29,0.28,0.725,0.715,0.0
2021 Baltic Chain Tour Stage 1.gpx,https://www.komoot.com/tour/2973407597,146.0,0.0,0.305,17.2,0.0,0.533,0.0,160.0,4.23,0.0,0.0,0.0,0.0,0.0,0.0
2021 Baltic Chain Tour Stage 2.gpx,https://www.komoot.com/tour/2973408321,163.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,11.3,0.0,0.0,12.8,0.0,1.33,0.0
2021 Baltic Chain Tour Stage 3.gpx,https://www.komoot.com/tour/2973409464,2.08,163.0,1.34,0.0,0.0,0.362,0.0,165.0,0.181,1.01,0.0,0.139,0.0,0.0,0.0
2021 Belgian Road National Championships.gpx,https://www.komoot.com/tour/2973410882,72.9,0.0,28.2,102.0,0.0,0.0,0.0,119.0,90.4,6.18,3.29,1.42,3.29,0.0,0.0
2021 Belgrade Banjaluka Stage 1.gpx,https://www.komoot.com/tour/2973411747,7.85,75.8,5.06,0.0,0.0,1.24,0.0,86.3,3.54,0.0,0.0,0.0,0.0,0.0,0.0
2021 Belgrade Banjaluka Stage 2.gpx,https://www.komoot.com/tour/2973412669,45.6,72.3,3.42,0.0,0.0,1.24,0.0,120.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0
2021 Belgrade Banjaluka Stage 3.gpx,https://www.komoot.com/tour/2973413569,35.8,85.1,2.81,0.0,0.0,0.457,0.0,124.0,0.16,0.0,0.0,0.0,0.0,0.457,0.0
2021 Belgrade Banjaluka Stage 4.gpx,https://www.komoot.com/tour/2973414710,43.3,106.0,1.28,9.72,0.0,0.349,0.0,151.0,9.27,0.174,0.775,0.0,0.77,0.0,0.0
2021 Benelux Tour Stage 1.gpx,https://www.komoot.com/tour/2973415648,57.1,15.1,5.07,37.0,0.0,1.73,0.462,104.0,22.9,13.5,30.6,1.02,29.5,0.199,0.0
2021 Benelux Tour Stage 2.gpx,https://www.komoot.com/tour/2973416660,1.74,0.0,0.942,5.55,0.0,0.138,0.0,4.57,4.58,0.498,1.56,0.0,0.871,0.0,0.0
