fichier_gpx,route_url,road_km,state_road_km,street_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,ferry_km
2018 Amgen Tour of California Stage 4.gpx,https://www.komoot.com/tour/2969892532,29.7,0.0,0.706,4.3,0.0,0.0,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Amgen Tour of California Stage 5.gpx,https://www.komoot.com/tour/2969893289,136.0,37.4,0.0,2.26,0.0,0.0,174.0,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Amgen Tour of California Stage 6.gpx,https://www.komoot.com/tour/2969894111,106.0,76.9,0.148,13.2,0.448,0.0,196.0,0.396,0.0,0.595,0.0,0.0,0.0,0.0,0.0
2018 Amgen Tour of California Stage 7.gpx,https://www.komoot.com/tour/2969895145,119.0,1.9,7.07,18.0,0.0,0.0,129.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Amstel Gold Race.gpx,https://www.komoot.com/tour/2969896690,120.0,0.0,9.48,85.3,1.86,0.0,235.0,17.8,5.99,2.57,1.68,0.208,0.184,0.14,0.0
2018 Antwerp Port Epic.gpx,https://www.komoot.com/tour/2969897650,82.1,1.18,15.1,36.7,17.0,0.3,83.9,56.4,26.6,17.5,20.4,23.6,4.02,0.697,0.0
2018 Antwerpse Havenpijl.gpx,https://www.komoot.com/tour/2969898735,41.1,3.42,9.52,87.1,1.48,0.0,104.0,67.2,6.35,2.67,0.0,0.19,0.19,0.0,0.0
2018 Arctic Race of Norway Stage 1.gpx,https://www.komoot.com/tour/2969899519,5.26,176.0,5.13,0.772,0.0,0.0,185.0,2.41,0.0,0.363,0.0,0.224,0.0,0.0,0.0
2018 Arctic Race of Norway Stage 2.gpx,https://www.komoot.com/tour/2969900168,0.0,185.0,0.128,0.0,5.85,0.0,185.0,0.0,0.0,5.85,0.0,0.332,0.152,0.0,0.0
2018 Arctic Race of Norway Stage 3.gpx,https://www.komoot.com/tour/2969900874,11.6,169.0,2.69,1.46,6.85,0.0,182.0,1.34,0.0,7.48,0.0,0.725,0.0,0.0,0.0
2018 Arctic Race of Norway Stage 4.gpx,https://www.komoot.com/tour/2969901748,30.1,104.0,1.02,7.53,0.0,0.0,135.0,6.28,0.0,0.494,0.0,0.0,0.0,0.0,0.0
2018 Arno Wallaard Memorial.gpx,https://www.komoot.com/tour/2969902606,149.0,0.536,4.36,12.9,1.05,0.0,155.0,26.1,2.43,1.19,0.0,0.0,0.0,0.0,0.0
2018 Australian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2969903227,29.2,0.0,0.0,0.0,0.0,0.0,0.106,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Australian Road National Championships.gpx,https://www.komoot.com/tour/2969903900,58.3,12.2,12.8,9.85,0.0,0.0,11.3,81.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Austrian Road National Championships - ITT.gpx,https://www.komoot.com/tour/2969904453,28.1,0.0,0.0,0.0,0.0,0.0,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Austrian Road National Championships.gpx,https://www.komoot.com/tour/2969905353,171.0,0.0,2.24,0.0,2.66,4.43,102.0,0.0,73.0,4.71,0.0,0.0,0.0,0.0,0.0
2018 Baloise Belgium Tour Stage 1.gpx,https://www.komoot.com/tour/2969906332,24.7,0.646,13.7,122.0,0.0,0.0,42.5,133.0,7.19,0.126,0.0,0.0,0.0,0.0,0.0
2018 Baloise Belgium Tour Stage 2.gpx,https://www.komoot.com/tour/2969907370,31.7,0.15,20.7,95.0,0.256,0.0,89.7,67.8,5.43,1.4,0.441,0.0,0.0,0.417,0.0
2018 Baloise Belgium Tour Stage 3.gpx,https://www.komoot.com/tour/2969908198,1.45,0.0,6.38,1.56,0.0,0.0,6.44,2.77,1.2,1.02,0.153,0.246,0.0,0.0,0.0
2018 Baloise Belgium Tour Stage 4.gpx,https://www.komoot.com/tour/2969908895,89.1,29.4,20.7,7.01,0.0,0.0,114.0,32.9,0.143,0.428,0.0,0.0,0.0,0.0,0.0
2018 Baloise Belgium Tour Stage 5.gpx,https://www.komoot.com/tour/2969909822,71.2,16.2,10.1,52.1,0.0,0.0,90.9,67.8,5.45,0.112,0.703,0.427,0.0,0.0,0.0
2018 Baltic Chain Tour Prologue.gpx,https://www.komoot.com/tour/2969910798,0.0,0.0,0.0,4.77,0.0,0.0,4.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Baltic Chain Tour Stage 1.gpx,https://www.komoot.com/tour/2969911640,101.0,13.9,1.75,38.9,0.953,0.104,157.0,0.0,0.0,1.04,0.221,0.0,0.604,0.0,0.0
2018 Baltic Chain Tour Stage 2.gpx,https://www.komoot.com/tour/2969912683,5.55,147.0,0.236,0.452,1.6,0.0,153.0,0.0,0.839,0.354,1.11,0.128,0.0,0.0,0.0
2018 Baltic Chain Tour Stage 3.gpx,https://www.komoot.com/tour/2969913625,56.3,97.0,0.236,0.857,0.0,0.0,158.0,0.967,0.785,0.0,0.561,0.0,0.427,0.0,0.0
2018 Baltyk - Karkonosze Tour Stage 1.gpx,https://www.komoot.com/tour/2969914581,154.0,1.45,6.42,5.72,0.259,0.115,165.0,1.2,2.78,0.632,2.7,0.296,0.0,0.316,0.0
2018 Baltyk - Karkonosze Tour Stage 2.gpx,https://www.komoot.com/tour/2969915709,111.0,4.17,0.522,1.43,1.79,0.0,116.0,1.71,0.0,2.06,1.74,0.194,0.0,0.0,0.0
2018 Baltyk - Karkonosze Tour Stage 3.gpx,https://www.komoot.com/tour/2969916638,156.0,0.445,2.97,0.0,0.351,0.0,144.0,4.07,10.6,0.816,0.793,1.56,0.663,0.0,0.0
2018 Baltyk - Karkonosze Tour Stage 4.gpx,https://www.komoot.com/tour/2969917238,8.37,0.0,2.82,0.0,0.0,0.0,7.22,4.25,0.0,0.0,0.277,0.0,0.0,0.0,0.0
2018 Baltyk - Karkonosze Tour Stage 5.gpx,https://www.komoot.com/tour/2969918334,121.0,0.0,3.12,0.0,0.0,0.0,110.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Belgian Road National Championships.gpx,https://www.komoot.com/tour/2969919597,92.1,27.1,60.9,30.1,3.07,0.0,123.0,69.7,17.7,3.5,13.4,12.4,0.0,0.0,0.0
2018 Belgrade Banjaluka Stage 1.gpx,https://www.komoot.com/tour/2969920409,41.8,131.0,0.603,0.0,0.0,0.0,173.0,1.32,0.0,0.0,1.24,0.0,0.0,0.0,0.0
2018 Belgrade Banjaluka Stage 2.gpx,https://www.komoot.com/tour/2969921177,39.0,124.0,1.52,14.7,0.675,0.0,158.0,18.8,0.466,0.957,0.812,1.79,0.0,0.0,0.0
2018 Binche-Chimay-Binche (Memorial Frank Vandenbroucke).gpx,https://www.komoot.com/tour/2969922096,89.9,88.2,7.39,9.89,0.0,0.0,177.0,12.9,4.92,0.994,0.0,0.0,0.0,0.0,0.0
2018 BinckBank Tour Stage 1.gpx,https://www.komoot.com/tour/2969923138,80.3,2.38,2.98,30.5,20.1,0.246,127.0,20.6,7.09,22.6,1.18,1.92,2.27,0.0,0.0
2018 BinckBank Tour Stage 2.gpx,https://www.komoot.com/tour/2969923962,6.97,0.0,0.234,3.7,0.0,0.0,9.75,2.26,0.858,1.83,0.0,0.0,0.134,0.0,0.0
2018 BinckBank Tour Stage 3.gpx,https://www.komoot.com/tour/2969924918,16.0,7.8,13.9,107.0,4.43,0.27,80.6,69.0,9.68,5.58,1.99,1.32,0.376,0.176,0.0
2018 BinckBank Tour Stage 4.gpx,https://www.komoot.com/tour/2969925857,45.1,3.64,4.65,94.6,0.118,0.0,105.0,57.4,2.63,0.519,1.39,0.129,0.0,0.0,0.0
2018 BinckBank Tour Stage 5.gpx,https://www.komoot.com/tour/2969926989,57.9,34.3,24.0,84.6,0.0,0.0,153.0,52.0,4.38,0.0,0.245,0.245,0.0,0.0,0.0
2018 BinckBank Tour Stage 6.gpx,https://www.komoot.com/tour/2969928334,75.8,0.796,12.6,53.9,5.84,0.0,136.0,33.9,5.38,7.07,2.8,0.82,0.0,0.0,0.0
2018 BinckBank Tour Stage 7.gpx,https://www.komoot.com/tour/2969929498,98.6,34.0,26.3,47.9,0.947,0.654,163.0,34.6,10.2,1.92,0.402,0.0,0.0,0.0,0.0
2018 Boucles de l'Aulne - Chateaulin.gpx,https://www.komoot.com/tour/2969930777,125.0,47.7,7.25,0.0,0.0,0.0,165.0,14.3,0.572,0.0,0.0,0.0,0.0,0.0,0.0
2018 Boucles de la Mayenne Prologue.gpx,https://www.komoot.com/tour/2969931695,2.06,0.0,1.32,0.926,0.266,0.0,4.3,0.0,0.0,0.266,0.0,0.0,0.0,0.0,0.0
2018 Boucles de la Mayenne Stage 1.gpx,https://www.komoot.com/tour/2969932642,176.0,0.277,2.47,0.0,0.0,0.0,152.0,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Boucles de la Mayenne Stage 2.gpx,https://www.komoot.com/tour/2969933942,171.0,0.0,1.9,0.0,0.866,0.0,140.0,33.2,0.0,1.01,0.0,0.0,0.0,0.0,0.0
2018 Boucles de la Mayenne Stage 3.gpx,https://www.komoot.com/tour/2969934996,164.0,3.61,8.07,8.44,0.227,0.0,159.0,24.9,0.157,0.29,0.0,0.0,0.0,0.0,0.0
2018 Brasilian Road National Championships.gpx,https://www.komoot.com/tour/2969935938,56.5,0.0,25.5,0.0,9.01,0.0,82.0,0.0,0.0,9.01,0.0,0.0,0.0,0.0,0.0
