fichier_gpx,route_url,road_km,state_road_km,street_km,cycleway_km,off-grid_(unknown)_km,access_road_km,asphalt_km,paved_km,cobblestones_km,unknown_km,path_km,unpaved_km,singletrack_km,compacted_gravel_km,ferry_km
2018 Halle-Ingooigem.gpx,https://www.komoot.com/tour/2970453797,77.3,16.3,10.6,85.9,0.0,0.0,131.0,62.4,1.26,1.09,1.8,0.0,0.0,1.21,0.0
2018 Hammer Series - Hammer Sportzone Limburg Stage 1.gpx,https://www.komoot.com/tour/2970455061,51.2,0.0,0.876,23.3,0.0,0.0,73.2,0.307,2.31,0.0,0.349,0.0,0.19,0.0,0.0
2018 Hammer Series - Hammer Sportzone Limburg Stage 2.gpx,https://www.komoot.com/tour/2970456065,28.1,3.76,0.15,15.3,12.7,0.0,68.1,19.9,0.357,12.8,0.0,0.0,0.0,0.0,0.0
2018 Hammer Series - Hammer Sportzone Limburg Stage 3.gpx,https://www.komoot.com/tour/2970456889,13.1,1.43,0.307,5.66,2.26,0.0,26.2,9.46,0.0,2.59,0.0,0.0,0.0,0.0,0.0
2018 Hammer Series - Hammer Stavanger Stage 1.gpx,https://www.komoot.com/tour/2970458207,30.4,21.4,10.1,20.1,1.76,0.0,80.8,0.0,1.79,1.81,0.87,0.0,0.0,0.0,0.0
2018 Hammer Series - Hammer Stavanger Stage 2.gpx,https://www.komoot.com/tour/2970460661,31.3,51.2,1.26,3.82,4.8,0.0,86.9,0.0,2.23,4.95,1.86,0.0,0.0,0.0,0.0
2018 Hammer Series - Hammer Stavanger Stage 3.gpx,https://www.komoot.com/tour/2970461989,12.9,13.4,7.61,12.4,1.03,0.0,45.9,0.844,0.0,1.51,0.874,0.0,0.0,0.0,0.0
2018 Handzame Classic.gpx,https://www.komoot.com/tour/2970462772,112.0,1.72,7.72,72.3,0.0,0.0,134.0,65.7,3.87,0.811,0.0,0.109,0.0,0.0,0.0
2018 Hansa Bygg Kalmar Grand Prix Road Race.gpx,https://www.komoot.com/tour/2970464848,170.0,0.0,11.4,1.07,3.68,2.39,180.0,0.0,5.32,4.03,0.727,0.0,0.0,0.0,0.0
2018 Herald Sun Tour Prologue.gpx,https://www.komoot.com/tour/2970466352,0.257,0.0,0.0,0.899,0.0,0.0,1.09,0.213,0.262,0.0,0.37,0.0,0.0,0.0,0.0
2018 Herald Sun Tour Stage 1.gpx,https://www.komoot.com/tour/2970467665,77.7,42.3,2.92,0.971,0.252,0.0,123.0,0.497,0.0,0.252,0.0,0.0,0.0,0.0,0.0
2018 Herald Sun Tour Stage 2.gpx,https://www.komoot.com/tour/2970468435,0.257,0.0,0.0,0.908,0.0,0.0,1.1,0.213,0.262,0.0,0.37,0.0,0.0,0.0,0.0
2018 Herald Sun Tour Stage 3.gpx,https://www.komoot.com/tour/2970469214,178.0,36.7,2.92,0.421,0.0,0.0,207.0,10.5,0.0,0.408,0.0,0.0,0.0,0.0,0.0
2018 Herald Sun Tour Stage 4.gpx,https://www.komoot.com/tour/2970470094,120.0,4.53,0.0,31.5,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Horizon Park Classic.gpx,https://www.komoot.com/tour/2970471443,66.1,15.4,0.135,6.5,0.0,0.0,99.0,0.0,0.0,0.0,10.9,0.0,0.0,0.0,0.0
2018 Horizon Park Race for Peace.gpx,https://www.komoot.com/tour/2970474094,155.0,10.0,0.367,0.0,0.0,0.0,150.0,15.5,0.0,0.367,0.0,0.0,0.0,0.0,0.0
2018 Il Lombardia.gpx,https://www.komoot.com/tour/2970475634,168.0,55.9,5.19,9.08,2.19,0.0,232.0,5.46,0.263,3.09,0.59,0.0,0.0,0.0,0.0
2018 Int. Osterreich-Rundfahrt-Tour of Austria Stage 1.gpx,https://www.komoot.com/tour/2970477143,98.7,34.0,6.93,4.58,2.73,0.0,145.0,0.0,0.896,2.73,0.753,0.161,0.833,0.0,0.0
2018 Int. Osterreich-Rundfahrt-Tour of Austria Stage 2.gpx,https://www.komoot.com/tour/2970478387,62.4,116.0,0.909,3.08,0.0,0.0,182.0,0.277,0.0,0.569,0.0,0.0,0.0,0.0,0.0
2018 Int. Osterreich-Rundfahrt-Tour of Austria Stage 3.gpx,https://www.komoot.com/tour/2970479313,63.8,60.2,5.07,1.02,0.75,0.0,132.0,0.0,0.382,1.06,1.05,0.0,0.0,0.0,0.0
2018 Int. Osterreich-Rundfahrt-Tour of Austria Stage 4.gpx,https://www.komoot.com/tour/2970480227,21.1,110.0,2.22,0.282,5.92,0.0,134.0,0.153,0.0,5.92,1.29,1.18,0.0,0.0,0.0
2018 Int. Osterreich-Rundfahrt-Tour of Austria Stage 5.gpx,https://www.komoot.com/tour/2970481263,26.4,60.4,0.16,0.25,5.92,0.0,87.0,0.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Int. Osterreich-Rundfahrt-Tour of Austria Stage 6.gpx,https://www.komoot.com/tour/2970482335,125.0,39.0,5.21,5.38,1.9,0.0,164.0,7.92,0.0,5.01,0.719,0.209,0.22,0.0,0.0
2018 Int. Osterreich-Rundfahrt-Tour of Austria Stage 7.gpx,https://www.komoot.com/tour/2970483188,119.0,11.9,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Int. Osterreich-Rundfahrt-Tour of Austria Stage 8.gpx,https://www.komoot.com/tour/2970484264,56.9,92.4,2.82,8.31,0.997,0.0,156.0,3.95,0.0,1.41,0.0,0.0,0.0,0.0,0.0
2018 Int. Raiffeisen Grand Prix Judendorf-Strassengel.gpx,https://www.komoot.com/tour/2970485538,178.0,0.0,0.777,2.42,0.0,0.0,175.0,8.83,0.0,1.49,3.95,0.169,0.169,0.0,0.0
2018 International Race Grand Prix Doliny Baryczy Milicz.gpx,https://www.komoot.com/tour/2970486252,132.0,0.0,0.332,0.0,0.0,0.0,124.0,0.0,7.97,0.0,25.1,0.559,0.227,25.1,0.0
2018 International Rhodes Grand Prix.gpx,https://www.komoot.com/tour/2970487674,159.0,32.3,1.45,0.115,0.664,0.0,187.0,5.22,0.0,1.34,1.73,1.67,0.0,0.0,0.0
2018 International Tour de Banyuwangi Ijen Stage 1.gpx,https://www.komoot.com/tour/2970488703,76.0,67.5,6.52,0.0,1.22,0.0,131.0,19.3,0.0,1.22,0.0,0.0,0.0,0.0,0.0
2018 International Tour de Banyuwangi Ijen Stage 2.gpx,https://www.komoot.com/tour/2970489502,83.2,91.5,4.43,0.0,0.0,0.0,171.0,7.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 International Tour de Banyuwangi Ijen Stage 3.gpx,https://www.komoot.com/tour/2970490218,60.5,70.3,2.37,0.0,0.228,0.0,122.0,10.9,0.0,0.228,0.0,0.0,0.0,0.0,0.0
2018 International Tour de Banyuwangi Ijen Stage 4.gpx,https://www.komoot.com/tour/2970491053,71.7,53.3,2.28,0.0,1.68,0.0,110.0,16.9,0.0,1.19,0.0,0.0,0.0,0.0,0.0
2018 International Tour of Rhodes Stage 1.gpx,https://www.komoot.com/tour/2970492071,113.0,36.3,2.5,0.0,1.2,0.0,146.0,1.14,0.0,2.59,3.23,6.22,0.0,0.0,0.0
2018 International Tour of Rhodes Stage 2.gpx,https://www.komoot.com/tour/2970493375,147.0,11.2,2.32,0.0,8.36,0.0,152.0,7.34,0.0,8.8,3.16,3.95,0.0,0.0,0.0
2018 International Tour of Rhodes Stage 3.gpx,https://www.komoot.com/tour/2970494577,130.0,40.4,2.8,0.115,0.93,0.0,171.0,1.4,0.0,1.19,0.147,1.09,0.0,0.0,0.0
2018 International Tour of Sultan Faith Mehmet Stage 1.gpx,https://www.komoot.com/tour/2970495378,0.333,133.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 International Tour of Sultan Faith Mehmet Stage 2.gpx,https://www.komoot.com/tour/2970496180,0.271,133.0,1.6,0.0,1.19,0.0,133.0,0.737,0.0,1.27,0.0,0.923,0.0,0.0,0.0
2018 Internationale Wielertrofee Jong Maar Moedig I.W.T..gpx,https://www.komoot.com/tour/2970497172,102.0,0.0,22.1,55.8,0.0,0.0,108.0,53.5,18.9,0.839,0.0,0.9,0.0,0.0,0.0
2018 Israeli Road National Championships - ITT.gpx,https://www.komoot.com/tour/2970498554,0.0,0.0,0.0,0.0,25.9,0.0,0.0,0.0,0.0,25.9,1.66,1.66,0.0,0.0,0.0
2018 Israeli Road National Championships.gpx,https://www.komoot.com/tour/2970499426,19.5,82.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Istarsko Proljece - Istrian Spring Trophy Prologue.gpx,https://www.komoot.com/tour/2970500124,0.0,0.0,1.17,0.835,0.0,0.0,1.0,0.835,0.0,0.163,0.0,0.0,0.0,0.0,0.0
2018 Istarsko Proljece - Istrian Spring Trophy Stage 1.gpx,https://www.komoot.com/tour/2970500825,80.0,74.2,1.1,0.0,0.0,0.0,155.0,0.0,0.454,0.0,0.0,0.0,0.0,0.0,0.0
2018 Istarsko Proljece - Istrian Spring Trophy Stage 2.gpx,https://www.komoot.com/tour/2970501662,50.4,107.0,0.711,0.0,0.285,0.0,158.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Istarsko Proljece - Istrian Spring Trophy Stage 3.gpx,https://www.komoot.com/tour/2970502480,20.8,139.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Italian Road National Championships.gpx,https://www.komoot.com/tour/2970503547,125.0,5.58,3.25,0.0,0.0,0.0,125.0,9.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Itzulia Basque Country Stage 1.gpx,https://www.komoot.com/tour/2970505021,92.6,45.0,10.5,3.73,4.93,0.0,147.0,5.71,3.12,6.35,5.93,0.0,0.0,0.0,0.0
2018 Itzulia Basque Country Stage 2.gpx,https://www.komoot.com/tour/2970506076,106.0,40.3,6.85,4.18,1.55,0.0,150.0,7.25,2.99,3.71,9.0,3.96,0.198,0.0,0.0
2018 Itzulia Basque Country Stage 3.gpx,https://www.komoot.com/tour/2970507207,148.0,34.0,0.453,1.87,2.41,0.0,183.0,0.679,0.0,2.41,0.489,0.0,0.0,0.359,0.0
2018 Itzulia Basque Country Stage 4.gpx,https://www.komoot.com/tour/2970507995,9.93,4.3,2.83,0.0,0.304,0.0,13.0,5.81,0.0,0.506,2.11,0.178,0.0,0.0,0.0
2018 Itzulia Basque Country Stage 5.gpx,https://www.komoot.com/tour/2970509260,114.0,44.9,3.18,0.0,0.175,0.0,158.0,3.7,0.287,0.175,0.0,0.0,0.0,0.0,0.0
2018 Itzulia Basque Country Stage 6.gpx,https://www.komoot.com/tour/2970510237,92.6,26.5,1.23,0.984,1.28,0.0,117.0,3.81,0.184,1.05,0.0,0.0,0.0,0.0,0.0
2018 Japan Cup Cycle Road Race.gpx,https://www.komoot.com/tour/2970511116,120.0,24.3,0.0,0.0,0.0,0.0,88.4,56.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Japanese Road National Championships.gpx,https://www.komoot.com/tour/2970511957,129.0,0.0,0.0,0.0,0.0,0.0,110.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Joe Martin Stage Race Stage 1.gpx,https://www.komoot.com/tour/2970512940,97.8,65.3,2.13,2.46,0.367,0.0,165.0,3.15,0.0,0.367,0.0,0.0,0.0,0.0,0.0
2018 Joe Martin Stage Race Stage 2.gpx,https://www.komoot.com/tour/2970513818,83.4,90.0,1.03,2.08,0.0,0.0,175.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Joe Martin Stage Race Stage 3.gpx,https://www.komoot.com/tour/2970515051,4.55,0.0,0.106,0.0,0.0,0.0,4.55,0.0,0.0,0.166,0.0,0.0,0.0,0.0,0.0
2018 Joe Martin Stage Race Stage 4.gpx,https://www.komoot.com/tour/2970516472,0.0,0.0,14.6,38.5,8.18,0.0,53.1,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0
2018 Juegos Suramericanos -ITT.gpx,https://www.komoot.com/tour/2970517756,0.0,39.1,0.0,2.15,0.541,0.0,41.9,0.0,0.0,0.36,0.631,0.0,0.0,0.0,0.0
2018 Juegos Suramericanos.gpx,https://www.komoot.com/tour/2970519899,66.1,74.4,24.6,0.0,0.0,0.0,126.0,39.5,0.0,0.0,0.214,0.0,0.0,0.0,0.0
2018 Kampioenschap van Vlaanderen.gpx,https://www.komoot.com/tour/2970520877,73.4,2.88,18.4,91.4,0.0,0.0,107.0,74.6,6.76,2.51,0.0,0.0,0.0,0.0,0.0
2018 Klasika Primavera de Amorebieta.gpx,https://www.komoot.com/tour/2970522378,66.6,92.7,3.03,6.47,2.29,0.0,164.0,3.93,1.22,2.29,0.348,0.0,0.0,0.0,0.0
2018 Koga Slag om Norg.gpx,https://www.komoot.com/tour/2970523709,97.4,1.5,2.28,42.4,0.948,0.0,93.2,42.7,25.2,1.79,27.4,27.9,0.811,0.446,0.0
2018 Kreiz Breizh Elites Stage 1.gpx,https://www.komoot.com/tour/2970524857,161.0,9.05,6.05,2.12,1.14,0.0,139.0,39.2,0.0,1.17,0.0,0.559,0.559,0.0,0.0
2018 Kreiz Breizh Elites Stage 2-1.gpx,https://www.komoot.com/tour/2970525681,89.1,0.174,3.16,0.35,0.0,0.0,77.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Kuurne-Bruxelles-Kuurne.gpx,https://www.komoot.com/tour/2970526863,65.9,10.8,13.0,101.0,0.0,0.0,133.0,63.2,4.9,0.0,1.31,0.0,0.0,1.21,0.0
2018 La DH Famenne Ardenne Classic.gpx,https://www.komoot.com/tour/2970527826,166.0,6.56,4.05,16.2,0.0,0.0,189.0,2.02,2.36,0.206,0.0,0.0,0.0,0.0,0.0
2018 La Fleche Wallonne.gpx,https://www.komoot.com/tour/2970529022,129.0,51.7,11.4,4.97,0.354,0.108,191.0,5.78,0.291,0.0,0.0,0.0,0.0,0.0,0.0
2018 La Poly Normande.gpx,https://www.komoot.com/tour/2970529930,169.0,0.0,0.0,0.0,0.0,0.0,115.0,54.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 La Roue Tourangelle Region Centre Val de Loire - Trophee Harmonie Mutuelle.gpx,https://www.komoot.com/tour/2970531247,170.0,7.38,18.2,1.7,0.863,0.0,162.0,35.8,0.0,0.949,0.13,0.254,0.138,0.0,0.0
2018 La Tropicale Amissa Bongo Stage 1.gpx,https://www.komoot.com/tour/2970532154,0.511,5.31,0.445,0.0,132.0,0.0,5.56,0.699,0.0,132.0,0.0,0.0,0.0,0.0,0.0
2018 La Tropicale Amissa Bongo Stage 2.gpx,https://www.komoot.com/tour/2970532875,0.0,22.8,0.889,0.0,157.0,0.0,18.7,4.03,0.0,157.0,0.0,0.859,0.0,0.0,0.0
2018 La Tropicale Amissa Bongo Stage 3.gpx,https://www.komoot.com/tour/2970533761,10.2,15.6,0.448,0.0,80.0,0.0,22.4,3.38,0.0,80.4,0.0,0.221,0.0,0.0,0.0
2018 La Tropicale Amissa Bongo Stage 4.gpx,https://www.komoot.com/tour/2970534837,0.162,10.3,0.0,0.0,178.0,0.0,10.3,0.162,0.0,178.0,0.492,0.492,0.0,0.0,0.0
2018 La Tropicale Amissa Bongo Stage 5.gpx,https://www.komoot.com/tour/2970535639,3.41,41.3,0.837,0.0,86.6,0.0,40.4,3.4,0.0,86.7,0.279,1.83,0.0,0.0,0.0
2018 La Tropicale Amissa Bongo Stage 6.gpx,https://www.komoot.com/tour/2970536529,16.5,35.9,1.86,0.0,52.5,0.0,51.9,1.25,0.0,53.1,0.0,0.49,0.0,0.0,0.0
2018 La Tropicale Amissa Bongo Stage 7.gpx,https://www.komoot.com/tour/2970537545,55.6,79.8,3.32,0.0,3.4,0.434,133.0,5.24,0.0,3.81,0.0,0.269,0.0,0.0,0.0
2018 Le Samyn.gpx,https://www.komoot.com/tour/2970538438,136.0,8.99,21.7,29.7,1.49,0.0,145.0,37.7,14.4,1.58,0.0,0.103,0.0,0.0,0.0
2018 Le Tour De Langkawi Stage 1.gpx,https://www.komoot.com/tour/2970539822,5.62,139.0,0.0,0.0,0.628,0.0,144.0,0.0,0.371,0.282,0.0,0.0,0.0,0.0,0.0
2018 Le Tour De Langkawi Stage 2.gpx,https://www.komoot.com/tour/2970540595,38.3,169.0,0.0,0.0,0.782,0.0,207.0,0.0,0.0,0.427,0.0,0.0,0.0,0.0,0.0
2018 Le Tour De Langkawi Stage 3.gpx,https://www.komoot.com/tour/2970541785,15.1,149.0,0.0,0.517,0.26,0.0,165.0,0.324,0.0,0.26,0.0,0.0,0.0,0.0,0.0
2018 Le Tour De Langkawi Stage 4.gpx,https://www.komoot.com/tour/2970542807,9.42,167.0,0.411,0.0,0.35,0.0,174.0,3.44,0.0,0.461,0.0,0.0,0.0,0.0,0.0
2018 Le Tour De Langkawi Stage 5.gpx,https://www.komoot.com/tour/2970543577,51.1,122.0,0.0,0.0,0.36,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Le Tour De Langkawi Stage 6.gpx,https://www.komoot.com/tour/2970544357,89.4,14.2,4.71,0.0,0.0,0.0,104.0,4.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Le Tour De Langkawi Stage 7.gpx,https://www.komoot.com/tour/2970545237,102.0,120.0,1.11,0.0,0.8,0.0,215.0,7.41,0.0,1.13,0.0,0.0,0.0,0.0,0.0
2018 Le Tour De Langkawi Stage 8.gpx,https://www.komoot.com/tour/2970546867,51.8,62.6,0.197,20.4,2.23,0.0,127.0,7.9,1.09,2.21,1.87,0.163,0.163,0.0,0.0
2018 Le Tour de Bretagne Stage 1.gpx,https://www.komoot.com/tour/2970547944,154.0,6.14,1.12,0.791,0.0,0.0,130.0,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Le Tour de Bretagne Stage 2.gpx,https://www.komoot.com/tour/2970549062,160.0,10.7,7.69,2.65,0.639,0.0,172.0,7.4,0.299,0.672,0.0,0.907,0.0,0.0,0.0
2018 Le Tour de Bretagne Stage 3.gpx,https://www.komoot.com/tour/2970550240,157.0,9.81,6.53,7.48,0.19,0.0,132.0,48.6,0.0,0.359,0.0,0.0,0.0,0.0,0.0
2018 Le Tour de Bretagne Stage 4.gpx,https://www.komoot.com/tour/2970551141,152.0,6.54,3.53,0.0,0.241,0.0,127.0,35.1,0.0,0.283,0.0,0.0,0.0,0.0,0.0
2018 Le Tour de Bretagne Stage 5.gpx,https://www.komoot.com/tour/2970552184,144.0,12.9,0.251,0.0,0.0,0.0,122.0,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Le Tour de Bretagne Stage 6.gpx,https://www.komoot.com/tour/2970553162,121.0,13.6,11.5,4.38,0.313,0.0,147.0,2.69,0.351,0.461,0.302,0.622,0.32,0.0,0.0
2018 Le Tour de Bretagne Stage 7.gpx,https://www.komoot.com/tour/2970554219,121.0,8.22,7.44,4.57,1.24,0.0,119.0,18.0,3.85,1.61,0.31,2.73,2.55,0.0,0.0
2018 Le Tour de Filipinas Stage 2.gpx,https://www.komoot.com/tour/2970555079,3.82,158.0,0.0,0.0,0.0,0.0,111.0,50.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Le Tour de Filipinas Stage 3.gpx,https://www.komoot.com/tour/2970555983,0.265,180.0,0.343,0.0,0.0,0.0,131.0,49.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Le Tour de Filipinas Stage 4.gpx,https://www.komoot.com/tour/2970556861,27.2,120.0,0.947,0.0,1.16,0.0,92.6,55.3,0.0,1.35,0.46,0.174,0.0,0.0,0.0
2018 Le Tour de Savoie Mont Blanc Stage 1.gpx,https://www.komoot.com/tour/2970557952,95.4,30.4,0.157,25.2,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Le Tour de Savoie Mont Blanc Stage 2-1.gpx,https://www.komoot.com/tour/2970558893,41.0,13.6,2.23,22.7,0.164,0.0,79.4,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Le Triptyque des Monts et Chateaux Stage 1.gpx,https://www.komoot.com/tour/2970559680,89.6,11.2,5.31,30.4,0.385,0.0,112.0,23.9,0.189,0.556,0.162,0.229,0.0,0.0,0.0
2018 Le Triptyque des Monts et Chateaux Stage 2.gpx,https://www.komoot.com/tour/2970560610,131.0,0.89,8.37,26.9,0.0,0.0,127.0,41.4,0.0,0.936,0.0,0.0,0.0,0.0,0.0
2018 Liege - Bastogne - Liege.gpx,https://www.komoot.com/tour/2970561781,106.0,37.0,9.42,15.7,3.14,0.0,164.0,4.11,0.793,3.14,0.734,0.475,0.0,0.0,0.0
2018 Lillehammer GP.gpx,https://www.komoot.com/tour/2970563461,35.8,62.5,26.2,8.93,1.47,0.0,131.0,1.31,0.584,2.45,0.585,0.0,0.0,0.0,0.0
2018 Luxembourg Road National Championship - ITT.gpx,https://www.komoot.com/tour/2970564161,12.2,6.3,3.17,0.173,0.0,0.0,23.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2018 Luxembourg Road National Championship.gpx,https://www.komoot.com/tour/2970565081,109.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Mediterranean Games - ITT.gpx,https://www.komoot.com/tour/2970566025,14.9,3.3,7.11,0.0,3.33,0.0,20.5,4.86,0.0,3.33,0.0,0.0,0.0,0.0,0.0
2018 Mediterranean Games.gpx,https://www.komoot.com/tour/2970567180,134.0,4.85,3.8,0.0,6.98,0.0,126.0,16.2,0.0,7.31,2.21,2.62,0.636,0.0,0.0
2018 Memorial Andrzeja Trochanowskiego.gpx,https://www.komoot.com/tour/2970567989,169.0,0.0,0.0,0.0,0.0,0.0,133.0,36.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Memorial Henryka Lasaka.gpx,https://www.komoot.com/tour/2970569125,132.0,21.1,16.7,0.0,1.07,0.77,169.0,0.753,0.0,1.66,0.0,0.0,0.0,0.0,0.0
2018 Memorial Marco Pantani.gpx,https://www.komoot.com/tour/2970570098,178.0,3.09,11.5,0.958,5.58,0.0,177.0,16.7,0.0,4.99,0.531,0.0,0.0,0.0,0.0
2018 Memorial Romana Sieminskiego.gpx,https://www.komoot.com/tour/2970570939,124.0,0.0,50.2,0.0,0.0,0.0,119.0,56.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Memorial Van Coningsloo.gpx,https://www.komoot.com/tour/2970571916,43.1,0.853,20.6,110.0,0.0,0.0,94.5,79.7,5.89,0.0,0.0,0.0,0.0,0.0,0.0
2018 Midden-Brabant Poort Omloop.gpx,https://www.komoot.com/tour/2970572930,166.0,0.0,4.57,25.6,0.0,0.0,132.0,63.3,23.3,21.7,0.0,0.0,0.0,0.0,0.0
2018 Milano - Sanremo.gpx,https://www.komoot.com/tour/2970574881,55.1,227.0,1.78,9.11,0.0,0.201,287.0,5.0,1.04,0.0,0.676,0.0,0.0,0.0,0.0
2018 Milano - Torino.gpx,https://www.komoot.com/tour/2970576551,84.1,112.0,1.36,1.64,0.0,0.0,195.0,1.36,0.141,0.0,0.0,3.12,0.0,0.0,0.0
2018 Minsk Cup.gpx,https://www.komoot.com/tour/2970578762,85.7,78.3,0.745,3.94,0.924,0.127,167.0,2.04,5.54,1.41,6.53,0.0,0.0,0.0,0.0
2018 New Zealand Cycle Classic Stage 1.gpx,https://www.komoot.com/tour/2970580171,122.0,0.166,0.11,0.0,0.0,0.0,3.95,118.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0
2018 New Zealand Cycle Classic Stage 2.gpx,https://www.komoot.com/tour/2970580998,119.0,0.0,0.0,0.0,0.0,0.0,55.0,63.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 New Zealand Cycle Classic Stage 3.gpx,https://www.komoot.com/tour/2970581889,127.0,0.0,0.261,0.0,1.07,0.0,64.9,62.6,0.0,1.1,0.0,0.0,0.0,0.0,0.0
2018 New Zealand Cycle Classic Stage 4.gpx,https://www.komoot.com/tour/2970582670,153.0,0.0,0.0,0.0,0.0,0.0,28.1,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 New Zealand Cycle Classic Stage 5.gpx,https://www.komoot.com/tour/2970583406,124.0,0.0,0.0,0.0,0.0,0.0,76.4,47.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 New Zealand Road National Championships - ITT.gpx,https://www.komoot.com/tour/2970584165,38.2,0.0,0.0,1.97,0.0,0.0,16.3,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 New Zealand Road National Championships.gpx,https://www.komoot.com/tour/2970585192,70.0,22.6,3.65,10.1,0.0,0.0,69.3,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 Nokere Koerse - Danilith Classic.gpx,https://www.komoot.com/tour/2970586415,111.0,1.16,13.2,58.1,1.33,0.0,122.0,52.7,14.3,1.33,0.0,0.226,0.226,0.0,0.0
2018 Norwegian Road National Championships.gpx,https://www.komoot.com/tour/2970587718,95.5,28.3,15.3,5.66,0.0,0.0,116.0,28.8,0.0,0.488,0.808,0.0,0.0,0.0,0.0
2018 OCC Oceanian Championships.gpx,https://www.komoot.com/tour/2970588457,41.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 OVO Energy Tour of Britain Stage 1.gpx,https://www.komoot.com/tour/2970589332,100.0,23.4,1.42,5.0,0.25,0.0,128.0,3.17,0.28,0.25,1.1,0.0,0.0,0.0,0.0
2018 OVO Energy Tour of Britain Stage 2.gpx,https://www.komoot.com/tour/2970590194,133.0,11.6,0.818,0.863,0.178,0.0,92.4,54.0,0.0,0.209,0.0,0.0,0.0,0.0,0.0
2018 OVO Energy Tour of Britain Stage 3.gpx,https://www.komoot.com/tour/2970591204,111.0,33.9,0.195,3.41,0.324,0.0,138.0,11.2,0.345,0.324,0.572,0.0,0.302,0.0,0.0
2018 OVO Energy Tour of Britain Stage 4.gpx,https://www.komoot.com/tour/2970592160,108.0,25.8,0.61,0.0,0.0,0.0,122.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018 OVO Energy Tour of Britain Stage 5.gpx,https://www.komoot.com/tour/2970593016,35.8,86.2,0.858,0.816,0.0,0.0,123.0,0.675,0.0,0.222,0.0,0.0,0.0,0.0,0.0
2018 OVO Energy Tour of Britain Stage 6.gpx,https://www.komoot.com/tour/2970594101,77.6,87.1,0.0,1.8,0.0,0.0,150.0,17.4,0.0,0.149,1.13,0.168,0.168,0.0,0.0
2018 OVO Energy Tour of Britain Stage 7.gpx,https://www.komoot.com/tour/2970595259,155.0,37.4,7.29,13.1,0.0,0.0,187.0,23.4,0.0,3.86,1.08,0.0,0.0,0.0,0.0
2018 OVO Energy Tour of Britain Stage 8.gpx,https://www.komoot.com/tour/2970596531,0.119,40.8,0.0,9.43,0.0,0.0,50.9,0.0,0.858,0.0,1.4,0.0,0.0,0.0,0.0
2018 Oberoesterreichrundfahrt Stage 1.gpx,https://www.komoot.com/tour/2970597323,12.0,0.0,0.0,0.0,0.199,0.0,12.0,0.0,0.0,0.199,0.0,0.0,0.0,0.0,0.0
2018 Oberoesterreichrundfahrt Stage 2.gpx,https://www.komoot.com/tour/2970598302,141.0,8.73,5.01,0.803,0.0,0.0,142.0,10.9,2.62,0.0,0.16,0.0,0.0,0.0,0.0
