fichier_gpx,route_url,state_road_km,road_km,path_km,street_km,cycleway_km,singletrack_km,asphalt_km,cobblestones_km,unpaved_km,paved_km,unknown_km,off-grid_(unknown)_km,access_road_km,compacted_gravel_km,alpine_km,alpine_path_km
2020 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 2.gpx,https://www.komoot.com/tour/2972878362,41.2,117.0,0.208,10.7,1.1,0.0,165.0,0.681,0.0,3.53,0.441,0.0,0.0,0.0,0.0,0.0
2020 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 3.gpx,https://www.komoot.com/tour/2972879453,20.7,139.0,2.07,6.3,4.02,0.0,169.0,1.84,0.0,0.971,0.12,0.0,0.0,0.0,0.0,0.0
2020 Course Cycliste de Solidarnosc et des Champions Olympiques Stage 4.gpx,https://www.komoot.com/tour/2972880551,10.1,175.0,1.56,1.21,7.02,0.0,197.0,2.19,0.0,0.212,0.606,0.235,0.0,0.0,0.0,0.0
2020 Criterium du Dauphine Stage 1.gpx,https://www.komoot.com/tour/2972881803,25.5,188.0,0.0,1.72,4.48,0.0,214.0,0.0,0.0,3.68,0.112,0.0,0.0,2.5,0.0,0.0
2020 Criterium du Dauphine Stage 2.gpx,https://www.komoot.com/tour/2972882847,3.73,124.0,0.0,0.212,3.81,0.0,132.0,0.0,0.0,0.186,1.22,1.22,0.0,0.0,0.0,0.0
2020 Criterium du Dauphine Stage 3.gpx,https://www.komoot.com/tour/2972883889,33.6,93.6,0.0,1.6,28.7,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 Criterium du Dauphine Stage 4.gpx,https://www.komoot.com/tour/2972884811,20.6,124.0,0.0,0.463,1.68,0.161,134.0,0.0,0.161,13.0,3.19,2.61,0.154,0.0,0.0,0.0
2020 Criterium du Dauphine Stage 5.gpx,https://www.komoot.com/tour/2972885794,66.7,81.2,0.283,0.462,2.65,0.0,150.0,0.0,0.0,0.715,3.12,3.0,0.0,0.0,0.0,0.0
2020 Croatian Road National Championship - ITT.gpx,https://www.komoot.com/tour/2972886526,0.0,24.3,0.0,1.18,0.0,0.0,24.3,0.0,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0
2020 Croatian Road National Championship.gpx,https://www.komoot.com/tour/2972887431,6.23,133.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
