jour,mois,annee,stage,nom_pcs,categorie,fichier_gpx,route_url,road_km,cycleway_km,street_km,unknown_km,state_road_km,off-grid_(unknown)_km,path_km,singletrack_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,access_road_km,alpine_km,distance_gpx_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,type_course,niveau_uci,is_stage_race,cluster,cluster_label
21,1,2024,result,ruta-de-la-ceramica-gran-premio-castellon,1.1,2024 Ruta de la Ceramica - Gran Premio Castellon.gpx,https://www.komoot.com/tour/2960708266,116.0,15.0,3.72,4.23,34.7,4.21,0.506,0.0,152.0,18.3,0.227,0.0,0.0,0.0,0.0,174.48,2325.0,2147.0,786.0,25.0,5.0,3.0,2.0,1.0,0.0,0.9091,0.9091,0.9091,0.2463,0.0,-0.3,-0.17,-0.62,36.0,accidentee,2,0,5.0,accidente_long
21,1,2024,stage_6,tour-down-under,2.UWT,2024 Santos Tour Down Under Stage 6.gpx,https://www.komoot.com/tour/2960719253,96.2,0.794,3.12,0.0,28.2,0.0,0.0,0.0,102.0,26.2,0.0,0.0,0.0,0.0,0.0,128.77,2244.0,1660.0,685.0,100.0,5.0,4.0,3.0,0.0,0.0,0.9985,0.9985,0.9985,0.0,0.0,2.4,4.23,3.34,221.0,accidentee,4,1,5.0,accidente_long
24,1,2024,result,trofeo-calvia,1.1,2024 Trofeo Calvia.gpx,https://www.komoot.com/tour/2961634578,138.0,5.09,0.588,0.0,5.06,0.392,0.0,0.0,149.0,0.271,0.0,0.0,0.0,0.0,0.0,149.49,3127.0,3135.0,502.0,8.0,9.0,5.0,3.0,0.0,0.0,0.9225,0.8431,0.6034,0.0,0.0,0.7,-2.23,-1.62,69.0,montagne,2,0,5.0,accidente_long
25,1,2024,result,race-torquay,1.1,2024 Surf Coast Classic.gpx,https://www.komoot.com/tour/2960775185,150.0,0.321,1.43,0.0,4.09,0.0,0.0,0.0,143.0,12.9,0.0,0.0,0.0,0.0,0.0,155.51,1629.0,1638.0,437.0,5.0,4.0,1.0,1.0,0.0,0.0,0.6843,0.1338,0.1338,0.0,0.0,0.5,-1.9,-0.58,178.0,sprint,2,0,5.0,accidente_long
25,1,2024,result,trofeo-ses-salines-felanitx,1.1,2024 Trofeo Ses Salines-Felanitx.gpx,https://www.komoot.com/tour/2961647050,118.0,12.1,0.29,0.0,50.3,0.0,0.0,0.0,169.0,11.6,0.0,0.0,0.0,0.0,0.0,181.33,1086.0,1022.0,177.0,0.0,3.0,2.0,0.0,0.0,0.0,0.9921,0.6632,0.0,0.0,0.0,-0.2,0.7,0.82,126.0,sprint,2,0,2.0,court_plat
26,1,2024,stage_1,tour-of-sharjah,2.2,2024 Tour of Sharjah Stage 1.gpx,https://www.komoot.com/tour/2961563549,19.2,7.98,4.85,105.0,3.14,100.0,0.192,0.0,18.4,12.4,0.0,0.0,0.0,0.0,0.0,134.41,1299.0,1297.0,496.0,0.0,4.0,1.0,1.0,0.0,0.0,0.8159,0.4633,0.4633,0.0,0.0,0.2,0.03,0.04,16.0,sprint,1,1,3.0,accidente_altitude
26,1,2024,result,deia-trophy,1.1,2024 Trofeo Serra Tramuntana.gpx,https://www.komoot.com/tour/2961645905,114.0,20.4,1.28,0.496,16.2,0.392,0.461,0.0,151.0,0.923,0.0,0.0,0.0,0.0,0.0,152.66,2430.0,2099.0,885.0,0.0,4.0,3.0,3.0,1.0,1.0,0.963,0.8436,0.8436,0.8436,0.8436,-4.4,-4.73,-3.74,26.0,accidentee,2,0,5.0,accidente_long
27,1,2024,stage_2,tour-of-sharjah,2.2,2024 Tour of Sharjah Stage 2.gpx,https://www.komoot.com/tour/2961564878,7.24,0.0,2.69,113.0,16.4,111.0,1.14,0.0,20.6,4.94,0.0,0.298,0.0,0.0,0.0,137.03,520.0,580.0,193.0,2.0,1.0,0.0,0.0,0.0,0.0,0.2248,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,15.0,sprint,1,1,3.0,accidente_altitude
27,1,2024,result,gp-antalya,1.2,2024 Grand Prix Antalya Airport City.gpx,https://www.komoot.com/tour/2951744837,132.0,0.0,0.573,0.0,6.41,0.0,0.0,0.0,131.0,7.67,0.0,0.387,0.0,0.0,0.0,139.44,726.0,726.0,212.0,-4.0,2.0,1.0,0.0,0.0,0.0,0.7341,0.7341,0.0,0.0,0.0,-0.1,-0.57,-0.38,42.0,sprint,1,0,2.0,court_plat
27,1,2024,result,trofeo-pollenca-port-d-andratx,1.1,2024 Trofeo Pollenca - Port d'Andratx.gpx,https://www.komoot.com/tour/2961644605,122.0,16.1,0.792,0.402,17.9,0.292,0.0,0.0,156.0,0.756,0.0,0.0,0.0,0.0,0.0,157.51,2860.0,2903.0,890.0,0.0,6.0,3.0,2.0,1.0,1.0,0.9344,0.9344,0.6837,0.4101,0.4101,-0.2,-0.97,-1.36,9.0,montagne,2,0,5.0,accidente_long
