jour,mois,annee,stage,nom_pcs,categorie,fichier_pcs
22,4,2017,result,visegrad-4-bicycle-race-gp-hungary,1.2,22_April_2017__result__visegrad-4-bicycle-race-gp-hungary_2017__1.2.csv
22,4,2017,result,arno-wallaard-memorial,1.2,22_April_2017__result__arno-wallaard-memorial_2017__1.2.csv
22,4,2017,stage_5,tour-eritrea,2.2,22_April_2017__stage_5__tour-eritrea_2017__2.2.csv
22,4,2017,stage_4,tour-of-the-gila,2.2,22_April_2017__stage_4__tour-of-the-gila_2017__2.2.csv
22,4,2017,stage_3,tour-of-mersin,2.2,22_April_2017__stage_3__tour-of-mersin_2017__2.2.csv
23,4,2017,stage_5,tour-of-the-gila,2.2,23_April_2017__stage_5__tour-of-the-gila_2017__2.2.csv
23,4,2017,result,gp-industria-e-commercio2,1.2U,23_April_2017__result__gp-industria-e-commercio2_2017__1.2U.csv
23,4,2017,result,circuit-of-asmara,1.2,23_April_2017__result__circuit-of-asmara_2017__1.2.csv
23,4,2017,result,visegrad-4-bicycle-race-gp-slovakia,1.2,23_April_2017__result__visegrad-4-bicycle-race-gp-slovakia_2017__1.2.csv
23,4,2017,result,east-midlands-international-cicle-classic,1.2,23_April_2017__result__east-midlands-international-cicle-classic_2017__1.2.csv
23,4,2017,stage_2,tour-du-senegal,2.2,23_April_2017__stage_2__tour-du-senegal_2017__2.2.csv
24,4,2017,stage_3,tour-du-senegal,2.2,24_April_2017__stage_3__tour-du-senegal_2017__2.2.csv
25,4,2017,stage_4,tour-du-senegal,2.2,25_April_2017__stage_4__tour-du-senegal_2017__2.2.csv
25,4,2017,result,gran-premio-della-liberazione,1.2U,25_April_2017__result__gran-premio-della-liberazione_2017__1.2U.csv
25,4,2017,stage_1,le-tour-de-bretagne,2.2,25_April_2017__stage_1__le-tour-de-bretagne_2017__2.2.csv
26,4,2017,stage_5,tour-du-senegal,2.2,26_April_2017__stage_5__tour-du-senegal_2017__2.2.csv
26,4,2017,stage_2,le-tour-de-bretagne,2.2,26_April_2017__stage_2__le-tour-de-bretagne_2017__2.2.csv
27,4,2017,stage_6,tour-du-senegal,2.2,27_April_2017__stage_6__tour-du-senegal_2017__2.2.csv
27,4,2017,stage_3,le-tour-de-bretagne,2.2,27_April_2017__stage_3__le-tour-de-bretagne_2017__2.2.csv
28,4,2017,stage_7,tour-du-senegal,2.2,28_April_2017__stage_7__tour-du-senegal_2017__2.2.csv
28,4,2017,result,himmerland-rundt,1.2,28_April_2017__result__himmerland-rundt_2017__1.2.csv
28,4,2017,stage_4,le-tour-de-bretagne,2.2,28_April_2017__stage_4__le-tour-de-bretagne_2017__2.2.csv
29,4,2017,stage_5,le-tour-de-bretagne,2.2,29_April_2017__stage_5__le-tour-de-bretagne_2017__2.2.csv
29,4,2017,stage_8,tour-du-senegal,2.2,29_April_2017__stage_8__tour-du-senegal_2017__2.2.csv
29,4,2017,result,destination-thy,1.2,29_April_2017__result__destination-thy_2017__1.2.csv
29,4,2017,result,banja-luka-belgrade-i,1.2,29_April_2017__result__banja-luka-belgrade-i_2017__1.2.csv
29,4,2017,result,zodc-zuidenveld-tour,1.2,29_April_2017__result__zodc-zuidenveld-tour_2017__1.2.csv
29,4,2017,prologue,carpathia-couriers-paths,2.2U,29_April_2017__Prologue__carpathia-couriers-paths_2017__2.2U.csv
30,4,2017,result,beograd-banja-luka-ii,1.2,30_April_2017__result__beograd-banja-luka-ii_2017__1.2.csv
30,4,2017,result,paris-mantes-en-yvelines,1.2,30_April_2017__result__paris-mantes-en-yvelines_2017__1.2.csv
30,4,2017,result,skive-lobet,1.2,30_April_2017__result__skive-lobet_2017__1.2.csv
30,4,2017,stage_1,carpathia-couriers-paths,2.2U,30_April_2017__stage_1__carpathia-couriers-paths_2017__2.2U.csv
30,4,2017,stage_6,le-tour-de-bretagne,2.2,30_April_2017__stage_6__le-tour-de-bretagne_2017__2.2.csv
1,5,2017,result,memorial-andrzeja-trochanowskiego,1.2,01_May_2017__result__memorial-andrzeja-trochanowskiego_2017__1.2.csv
1,5,2017,result,circuit-de-wallonie,1.2,01_May_2017__result__circuit-de-wallonie_2017__1.2.csv
1,5,2017,result,eschborn-frankfurt,1.UWT,01_May_2017__result__eschborn-frankfurt_2017__1.UWT.csv
1,5,2017,stage_7,le-tour-de-bretagne,2.2,01_May_2017__stage_7__le-tour-de-bretagne_2017__2.2.csv
1,5,2017,stage_2,carpathia-couriers-paths,2.2U,01_May_2017__stage_2__carpathia-couriers-paths_2017__2.2U.csv
2,5,2017,result,memorial-romana-sieminskiego,1.2,02_May_2017__result__memorial-romana-sieminskiego_2017__1.2.csv
2,5,2017,stage_3,carpathia-couriers-paths,2.2U,02_May_2017__stage_3__carpathia-couriers-paths_2017__2.2U.csv
3,5,2017,stage_1,rhone-alpes-isere-tour,2.2,03_May_2017__stage_1__rhone-alpes-isere-tour_2017__2.2.csv
4,5,2017,stage_2,rhone-alpes-isere-tour,2.2,04_May_2017__stage_2__rhone-alpes-isere-tour_2017__2.2.csv
5,5,2017,prologue,five-rings-of-moscow,2.2,05_May_2017__Prologue__five-rings-of-moscow_2017__2.2.csv
5,5,2017,stage_1,szlakiem-grodow-piastowskich,2.2,05_May_2017__stage_1__szlakiem-grodow-piastowskich_2017__2.2.csv
5,5,2017,stage_3,rhone-alpes-isere-tour,2.2,05_May_2017__stage_3__rhone-alpes-isere-tour_2017__2.2.csv
6,5,2017,result,hadeland-gp,1.2,06_May_2017__result__hadeland-gp_2017__1.2.csv
6,5,2017,result,ronde-van-overijssel,1.2,06_May_2017__result__ronde-van-overijssel_2017__1.2.csv
6,5,2017,stage_2,szlakiem-grodow-piastowskich,2.2,06_May_2017__stage_2__szlakiem-grodow-piastowskich_2017__2.2.csv
6,5,2017,stage_4,rhone-alpes-isere-tour,2.2,06_May_2017__stage_4__rhone-alpes-isere-tour_2017__2.2.csv
6,5,2017,stage_1,five-rings-of-moscow,2.2,06_May_2017__stage_1__five-rings-of-moscow_2017__2.2.csv
7,5,2017,result,circuito-del-porto-trofeo-arvedi,1.2,07_May_2017__result__circuito-del-porto-trofeo-arvedi_2017__1.2.csv
7,5,2017,result,fleche-ardennaise,1.2,07_May_2017__result__fleche-ardennaise_2017__1.2.csv
7,5,2017,result,ringerike-gp,1.2,07_May_2017__result__ringerike-gp_2017__1.2.csv
7,5,2017,stage_2,five-rings-of-moscow,2.2,07_May_2017__stage_2__five-rings-of-moscow_2017__2.2.csv
7,5,2017,stage_3,szlakiem-grodow-piastowskich,2.2,07_May_2017__stage_3__szlakiem-grodow-piastowskich_2017__2.2.csv
8,5,2017,stage_3,five-rings-of-moscow,2.2,08_May_2017__stage_3__five-rings-of-moscow_2017__2.2.csv
9,5,2017,stage_4,five-rings-of-moscow,2.2,09_May_2017__stage_4__five-rings-of-moscow_2017__2.2.csv
10,5,2017,stage_1,tour-de-tunisie,2.2,10_May_2017__stage_1__tour-de-tunisie_2017__2.2.csv
11,5,2017,stage_2,tour-de-tunisie,2.2,11_May_2017__stage_2__tour-de-tunisie_2017__2.2.csv
12,5,2017,stage_3,tour-de-tunisie,2.2,12_May_2017__stage_3__tour-de-tunisie_2017__2.2.csv
13,5,2017,result,scandinavian-race-uppsala,1.2,13_May_2017__result__scandinavian-race-uppsala_2017__1.2.csv
13,5,2017,stage_4,tour-de-tunisie,2.2,13_May_2017__stage_4__tour-de-tunisie_2017__2.2.csv
14,5,2017,result,grand-prix-criquielion,1.2,14_May_2017__result__grand-prix-criquielion_2017__1.2.csv
14,5,2017,result,ronde-van-noord-holland,1.2,14_May_2017__result__ronde-van-noord-holland_2017__1.2.csv
14,5,2017,result,gp-industrie-del-marmo,1.2U,14_May_2017__result__gp-industrie-del-marmo_2017__1.2U.csv
14,5,2017,stage_5,tour-de-tunisie,2.2,14_May_2017__stage_5__tour-de-tunisie_2017__2.2.csv
17,5,2017,prologue,tour-of-ukraine,2.2,17_May_2017__Prologue__tour-of-ukraine_2017__2.2.csv
17,5,2017,stage_1,baltyk-karkonosze-tour,2.2,17_May_2017__stage_1__baltyk-karkonosze-tour_2017__2.2.csv
18,5,2017,stage_2,baltyk-karkonosze-tour,2.2,18_May_2017__stage_2__baltyk-karkonosze-tour_2017__2.2.csv
18,5,2017,stage_1,tour-of-ukraine,2.2,18_May_2017__stage_1__tour-of-ukraine_2017__2.2.csv
19,5,2017,stage_3,baltyk-karkonosze-tour,2.2,19_May_2017__stage_3__baltyk-karkonosze-tour_2017__2.2.csv
19,5,2017,stage_2,tour-of-ukraine,2.2,19_May_2017__stage_2__tour-of-ukraine_2017__2.2.csv
19,5,2017,stage_1,paris-arras-tour,2.2,19_May_2017__stage_1__paris-arras-tour_2017__2.2.csv
20,5,2017,stage_1,tour-of-albania,2.2,20_May_2017__stage_1__tour-of-albania_2017__2.2.csv
20,5,2017,result,berner-rundfahrt-tour-de-berne,1.2,20_May_2017__result__berner-rundfahrt-tour-de-berne_2017__1.2.csv
20,5,2017,stage_2,paris-arras-tour,2.2,20_May_2017__stage_2__paris-arras-tour_2017__2.2.csv
20,5,2017,stage_4,baltyk-karkonosze-tour,2.2,20_May_2017__stage_4__baltyk-karkonosze-tour_2017__2.2.csv
20,5,2017,stage_3,tour-of-ukraine,2.2,20_May_2017__stage_3__tour-of-ukraine_2017__2.2.csv
21,5,2017,stage_1,ras-tailteann,2.2,21_May_2017__stage_1__ras-tailteann_2017__2.2.csv
21,5,2017,stage_2,tour-of-albania,2.2,21_May_2017__stage_2__tour-of-albania_2017__2.2.csv
21,5,2017,stage_4,tour-of-ukraine,2.2,21_May_2017__stage_4__tour-of-ukraine_2017__2.2.csv
21,5,2017,stage_3,paris-arras-tour,2.2,21_May_2017__stage_3__paris-arras-tour_2017__2.2.csv
22,5,2017,stage_3,tour-of-albania,2.2,22_May_2017__stage_3__tour-of-albania_2017__2.2.csv
22,5,2017,stage_2,ras-tailteann,2.2,22_May_2017__stage_2__ras-tailteann_2017__2.2.csv
23,5,2017,stage_4,tour-of-albania,2.2,23_May_2017__stage_4__tour-of-albania_2017__2.2.csv
23,5,2017,stage_3,ras-tailteann,2.2,23_May_2017__stage_3__ras-tailteann_2017__2.2.csv
24,5,2017,stage_1,fleche-du-sud,2.2,24_May_2017__stage_1__fleche-du-sud_2017__2.2.csv
24,5,2017,stage_4,ras-tailteann,2.2,24_May_2017__stage_4__ras-tailteann_2017__2.2.csv
24,5,2017,stage_5,tour-of-albania,2.2,24_May_2017__stage_5__tour-of-albania_2017__2.2.csv
25,5,2017,prologue,gp-cycliste-de-gemenc,2.2,25_May_2017__Prologue__gp-cycliste-de-gemenc_2017__2.2.csv
25,5,2017,stage_5,ras-tailteann,2.2,25_May_2017__stage_5__ras-tailteann_2017__2.2.csv
25,5,2017,stage_2,fleche-du-sud,2.2,25_May_2017__stage_2__fleche-du-sud_2017__2.2.csv
26,5,2017,result,race-horizon-park,1.2,26_May_2017__result__race-horizon-park_2017__1.2.csv
26,5,2017,stage_1,gp-cycliste-de-gemenc,2.2,26_May_2017__stage_1__gp-cycliste-de-gemenc_2017__2.2.csv
26,5,2017,stage_6,ras-tailteann,2.2,26_May_2017__stage_6__ras-tailteann_2017__2.2.csv
26,5,2017,stage_3,fleche-du-sud,2.2,26_May_2017__stage_3__fleche-du-sud_2017__2.2.csv
27,5,2017,stage_2,gp-cycliste-de-gemenc,2.2,27_May_2017__stage_2__gp-cycliste-de-gemenc_2017__2.2.csv
27,5,2017,stage_4,fleche-du-sud,2.2,27_May_2017__stage_4__fleche-du-sud_2017__2.2.csv
27,5,2017,stage_1,tour-du-jura-cycliste,2.2,27_May_2017__stage_1__tour-du-jura-cycliste_2017__2.2.csv
27,5,2017,stage_1,tour-de-gironde,2.2,27_May_2017__stage_1__tour-de-gironde_2017__2.2.csv
27,5,2017,result,race-horizon-park-2,1.2,27_May_2017__result__race-horizon-park-2_2017__1.2.csv
27,5,2017,stage_7,ras-tailteann,2.2,27_May_2017__stage_7__ras-tailteann_2017__2.2.csv
28,5,2017,stage_8,ras-tailteann,2.2,28_May_2017__stage_8__ras-tailteann_2017__2.2.csv
28,5,2017,stage_5,fleche-du-sud,2.2,28_May_2017__stage_5__fleche-du-sud_2017__2.2.csv
28,5,2017,stage_2,tour-de-gironde,2.2,28_May_2017__stage_2__tour-de-gironde_2017__2.2.csv
28,5,2017,stage_2,tour-du-jura-cycliste,2.2,28_May_2017__stage_2__tour-du-jura-cycliste_2017__2.2.csv
28,5,2017,result,paris-roubaix-u23,1.2U,28_May_2017__result__paris-roubaix-u23_2017__1.2U.csv
28,5,2017,result,horizon-park-classic,1.2,28_May_2017__result__horizon-park-classic_2017__1.2.csv
30,5,2017,result,games-of-the-small-states-of-europe,JR,30_May_2017__result__games-of-the-small-states-of-europe_2017__JR.csv
1,6,2017,prologue,course-de-la-paix-u23,2.Ncup,01_June_2017__Prologue__course-de-la-paix-u23_2017__2.Ncup.csv
1,6,2017,prologue,tour-de-kumano,2.2,01_June_2017__Prologue__tour-de-kumano_2017__2.2.csv
2,6,2017,stage_1,tour-de-kumano,2.2,02_June_2017__stage_1__tour-de-kumano_2017__2.2.csv
2,6,2017,stage_1,tour-of-bihor-bellotto,2.2,02_June_2017__stage_1__tour-of-bihor-bellotto_2017__2.2.csv
2,6,2017,stage_1,course-de-la-paix-u23,2.Ncup,02_June_2017__stage_1__course-de-la-paix-u23_2017__2.Ncup.csv
2,6,2017,result,trofeo-alcide-degasperi,1.2,02_June_2017__result__trofeo-alcide-degasperi_2017__1.2.csv
3,6,2017,stage_2,tour-de-kumano,2.2,03_June_2017__stage_2__tour-de-kumano_2017__2.2.csv
3,6,2017,stage_2,course-de-la-paix-u23,2.Ncup,03_June_2017__stage_2__course-de-la-paix-u23_2017__2.Ncup.csv
3,6,2017,result,games-of-the-small-states-of-europe-me-itt,JR,03_June_2017__result__games-of-the-small-states-of-europe-me-itt_2017__JR.csv
