rider,equipe,ate_log,ate_orig,ci_low,ci_high,significant,r2_t,r2_y,mean_cate,std_cate,p25_cate,p75_cate,n_obs,n_selected
lawless_chris,INEOS Grenadiers,0.162291,0.1762,-0.2367,0.8448,0,0.4707,0.1934,,,,,703,107
leonard_michael,INEOS Grenadiers,0.514287,0.6724,-0.0592,1.4761,0,0.6124,0.1665,,,,,741,143
lópez_david,INEOS Grenadiers,-1.119775,-0.6736,-0.8701,-0.1536,1,0.6762,0.0306,,,,,248,65
martínez_daniel_felipe,INEOS Grenadiers,-0.062038,-0.0602,-0.4615,0.929,0,0.737,0.1689,,,,,719,147
moscon_gianni,INEOS Grenadiers,0.551634,0.7361,-0.0184,1.9174,0,0.6045,0.2475,,,,,962,206
narváez_jhonatan,INEOS Grenadiers,0.109787,0.116,-0.1906,0.5197,0,0.5303,0.2541,,,,,1406,316
pidcock_tom,INEOS Grenadiers,0.312802,0.3673,-0.3074,1.5952,0,0.8169,0.2213,,,,,981,191
plapp_luke,INEOS Grenadiers,-0.201774,-0.1827,-0.5472,0.2861,0,0.4382,0.1879,,,,,727,118
poels_wout,INEOS Grenadiers,-0.369745,-0.3091,-0.6817,0.9615,0,0.7648,0.1845,,,,,511,137
porte_richie,INEOS Grenadiers,-0.012569,-0.0125,-0.5679,0.7985,0,0.6796,0.1261,,,,,470,95
puccio_salvatore,INEOS Grenadiers,0.051365,0.0527,-0.1955,0.3968,0,0.5134,0.2509,,,,,1955,510
rivera_brandon_smith,INEOS Grenadiers,0.293951,0.3417,0.0047,0.8383,1,0.5204,0.2032,,,,,1383,261
rodríguez_carlos,INEOS Grenadiers,-0.070214,-0.0678,-0.3053,0.4227,0,0.565,0.1892,,,,,1369,296
rodríguez_óscar,INEOS Grenadiers,-0.516238,-0.4032,-0.6817,0.0209,0,0.6952,0.0747,,,,,485,122
rosa_diego,INEOS Grenadiers,-0.017196,-0.017,-0.4696,0.6245,0,0.407,0.2401,,,,,502,101
rowe_luke,INEOS Grenadiers,0.210384,0.2342,-0.0758,0.5706,0,0.4682,0.2604,,,,,1716,368
sheffield_magnus,INEOS Grenadiers,0.568194,0.7651,0.3244,1.6343,1,0.5161,0.1517,,,,,1011,243
shmidt_artem,INEOS Grenadiers,-0.183789,-0.1679,-0.5889,0.3956,0,0.5609,0.0791,,,,,488,73
sivakov_pavel,INEOS Grenadiers,0.035684,0.0363,-0.2484,0.3873,0,0.4785,0.2468,,,,,1493,352
sosa_iván_ramiro,INEOS Grenadiers,0.288055,0.3338,-0.2481,1.2095,0,0.6,0.181,,,,,619,115
stannard_ian,INEOS Grenadiers,0.180604,0.1979,-0.2529,0.9387,0,0.4328,0.2,,,,,620,148
swift_ben,INEOS Grenadiers,-0.099628,-0.0948,-0.3352,0.1576,0,0.5164,0.1947,,,,,1693,411
swift_connor,INEOS Grenadiers,-0.077362,-0.0744,-0.3285,0.3419,0,0.4429,0.1071,,,,,757,188
tarling_joshua,INEOS Grenadiers,0.473964,0.6063,0.0603,1.2111,1,0.3704,0.1121,,,,,775,140
thomas_geraint,INEOS Grenadiers,-0.00646,-0.0064,-0.2727,0.324,0,0.6193,0.2517,,,,,1930,464
turner_ben,INEOS Grenadiers,-0.002198,-0.0022,-0.3177,0.3792,0,0.5417,0.1862,,,,,1029,254
viviani_elia,INEOS Grenadiers,-0.118177,-0.1115,-0.4009,0.4509,0,0.4801,0.2136,,,,,813,176
watson_samuel,INEOS Grenadiers,0.545665,0.7258,-0.2589,2.1619,0,0.6101,-0.1451,,,,,254,78
wiśniowski_łukasz,INEOS Grenadiers,1.221107,2.3909,0.585,7.5542,1,0.4973,0.0437,,,,,248,51
