rider,equipe,ate_log,ate_orig,ci_low,ci_high,significant,r2_t,r2_y,mean_cate,std_cate,p25_cate,p75_cate,n_obs,n_selected
hirt_jan,Soudal Quick-Step,0.031426,0.0319,-0.5005,0.914,0,0.7988,-0.0388,,,,,493,126
honoré_mikkel_frølich,Soudal Quick-Step,0.328211,0.3885,-0.094,0.8928,0,0.5358,0.2636,,,,,1224,228
huby_antoine,Soudal Quick-Step,-0.124103,-0.1167,-0.4688,0.2372,0,0.4625,0.0545,,,,,515,100
jakobsen_fabio,Soudal Quick-Step,-0.070688,-0.0682,-0.336,0.3155,0,0.5216,0.2598,,,,,1432,299
keisse_iljo,Soudal Quick-Step,0.009304,0.0093,-0.2776,0.4512,0,0.5224,0.2549,,,,,1168,305
knox_james,Soudal Quick-Step,-0.064684,-0.0626,-0.2957,0.1752,0,0.577,0.2266,,,,,1984,494
lampaert_yves,Soudal Quick-Step,0.126928,0.1353,-0.1728,0.4649,0,0.5013,0.221,,,,,1979,482
lamperti_luke,Soudal Quick-Step,0.532866,0.7038,-0.0235,1.6563,0,0.4271,0.0364,,,,,518,110
landa_mikel,Soudal Quick-Step,-0.158916,-0.1469,-0.6223,0.9161,0,0.7055,0.0046,,,,,520,114
lecerf_junior,Soudal Quick-Step,-0.328989,-0.2803,-0.5155,0.2938,0,0.6001,0.0342,,,,,773,127
magnier_paul,Soudal Quick-Step,0.966308,1.6282,0.5577,3.6708,1,0.5282,0.0265,,,,,515,99
martinelli_davide,Soudal Quick-Step,-0.017053,-0.0169,-0.4689,0.7974,0,0.5446,0.2139,,,,,528,101
mas_enric,Soudal Quick-Step,-0.271508,-0.2378,-0.5811,0.7839,0,0.689,0.2429,,,,,511,131
masnada_fausto,Soudal Quick-Step,-0.219252,-0.1969,-0.463,0.1009,0,0.5204,0.1949,,,,,1206,208
merlier_tim,Soudal Quick-Step,0.306257,0.3583,-0.1613,1.2,0,0.5445,0.0432,,,,,774,195
mørkøv_michael,Soudal Quick-Step,0.117734,0.1249,-0.1839,0.4784,0,0.5301,0.2385,,,,,1477,411
paret-peintre_valentin,Soudal Quick-Step,0.032238,0.0328,-0.5905,2.7043,0,0.6554,-0.1783,,,,,262,57
pedersen_casper,Soudal Quick-Step,-0.07717,-0.0743,-0.4416,0.466,0,0.4673,0.0093,,,,,791,187
pesenti_thomas,Soudal Quick-Step,-0.081716,-0.0785,-0.8279,3.0664,0,0.3278,-0.1127,,,,,276,19
raccagni_noviero_andrea,Soudal Quick-Step,-0.212328,-0.1913,-0.5979,0.5457,0,0.3292,0.0839,,,,,809,60
reinderink_pepijn,Soudal Quick-Step,0.101158,0.1065,-0.3448,0.6314,0,0.353,0.0379,,,,,769,109
sabatini_fabio,Soudal Quick-Step,-0.303001,-0.2614,-0.7607,1.1527,0,0.7975,0.1902,,,,,528,155
savino_federico,Soudal Quick-Step,-1.233269,-0.7087,-0.9113,0.5491,0,0.4428,-0.1226,,,,,276,17
schachmann_maximilian,Soudal Quick-Step,-0.024228,-0.0239,-0.5214,1.0288,0,0.6674,0.0544,,,,,558,143
schmid_mauro,Soudal Quick-Step,-0.128695,-0.1208,-0.42,0.4677,0,0.3417,0.2073,,,,,566,115
serry_pieter,Soudal Quick-Step,0.234306,0.264,0.0087,0.6206,1,0.4469,0.2249,,,,,1945,467
servranckx_gauthier,Soudal Quick-Step,0.063815,0.0659,-0.489,1.1652,0,-1.3281,0.0475,,,,,515,11
sénéchal_florian,Soudal Quick-Step,0.288423,0.3343,-0.037,0.8049,0,0.5125,0.2749,,,,,1486,338
soenens_viktor,Soudal Quick-Step,-3.141529,-0.9568,-0.9889,-0.8597,1,0.6832,-0.0794,,,,,276,10
steels_stijn,Soudal Quick-Step,-0.682723,-0.4948,-0.6985,-0.0598,1,0.6019,0.192,,,,,669,133
steimle_jannik,Soudal Quick-Step,0.275575,0.3173,-0.0497,0.8113,0,0.3788,0.2815,,,,,1274,181
svrček_martin,Soudal Quick-Step,-0.109187,-0.1034,-0.4775,0.3983,0,0.4721,0.1702,,,,,1031,123
štybar_zdeněk,Soudal Quick-Step,-0.050457,-0.0492,-0.3507,0.2409,0,0.4815,0.2389,,,,,1191,274
terpstra_niki,Soudal Quick-Step,-0.675431,-0.4911,-0.8409,0.2425,0,0.5533,0.1808,,,,,263,74
vakoč_petr,Soudal Quick-Step,0.047473,0.0486,-0.5781,2.3733,0,0.5837,0.1548,,,,,242,63
van_gestel_dries,Soudal Quick-Step,0.497501,0.6446,-0.0784,2.3709,0,0.4236,-0.1043,,,,,276,58
van_lerberghe_bert,Soudal Quick-Step,-0.015977,-0.0158,-0.2752,0.2518,0,0.4732,0.1973,,,,,1447,367
van_tricht_stan,Soudal Quick-Step,-0.037203,-0.0365,-0.3858,0.417,0,0.4578,0.2045,,,,,752,120
van_wilder_ilan,Soudal Quick-Step,0.007305,0.0073,-0.3184,0.573,0,0.6629,0.1553,,,,,1033,252
vanden_heede_lars,Soudal Quick-Step,-0.017388,-0.0172,-0.9183,1.7237,0,0.3968,0.0413,,,,,515,12
vangheluwe_warre,Soudal Quick-Step,-0.37674,-0.3139,-0.6203,0.0766,0,0.5719,0.0159,,,,,769,100
vansevenant_mauri,Soudal Quick-Step,0.449491,0.5675,0.1584,1.0399,1,0.5167,0.1858,,,,,1444,311
vernon_ethan,Soudal Quick-Step,0.22045,0.2466,-0.2579,1.1981,0,0.5356,0.1875,,,,,534,82
vervaeke_louis,Soudal Quick-Step,0.408087,0.5039,0.0156,1.1496,1,0.5487,0.1568,,,,,1033,246
vervenne_jonathan,Soudal Quick-Step,-0.420234,-0.3431,-0.7471,1.6259,0,-0.2414,0.001,,,,,515,15
warlop_jordi,Soudal Quick-Step,0.40713,0.5025,-0.0072,1.3626,0,0.4574,0.0513,,,,,769,98
adrià_roger,Red Bull - BORA - hansgrohe,0.198269,0.2193,-0.2924,0.7421,0,0.4348,0.049,,,,,538,131
aleotti_giovanni,Red Bull - BORA - hansgrohe,0.066431,0.0687,-0.1601,0.4693,0,0.4384,0.1398,,,,,1336,335
baška_erik,Red Bull - BORA - hansgrohe,-0.245971,-0.2181,-0.4656,0.1121,0,0.3968,0.2736,,,,,956,152
benedetti_cesare,Red Bull - BORA - hansgrohe,-0.122136,-0.115,-0.2728,0.0655,0,0.5187,0.2303,,,,,1732,453
bodnar_maciej,Red Bull - BORA - hansgrohe,-0.320527,-0.2742,-0.5118,0.0383,0,0.5688,0.3034,,,,,941,237
buchmann_emanuel,Red Bull - BORA - hansgrohe,0.178438,0.1953,-0.1603,0.6479,0,0.5623,0.2038,,,,,1725,387
burghardt_marcus,Red Bull - BORA - hansgrohe,0.598914,0.8201,0.2801,1.6917,1,0.6316,0.2624,,,,,893,192
denz_nico,Red Bull - BORA - hansgrohe,-0.010344,-0.0103,-0.3123,0.3761,0,0.5378,0.0423,,,,,824,212
donati_davide,Red Bull - BORA - hansgrohe,-0.360215,-0.3025,-0.8439,1.3848,0,-0.0064,-0.1177,,,,,254,12
drucker_jempy,Red Bull - BORA - hansgrohe,0.05124,0.0526,-0.431,1.0011,0,0.5097,0.1845,,,,,390,85
fabbro_matteo,Red Bull - BORA - hansgrohe,-0.046624,-0.0456,-0.4465,0.4052,0,0.5141,0.1614,,,,,944,216
gamper_patrick,Red Bull - BORA - hansgrohe,-0.115667,-0.1092,-0.3562,0.218,0,0.4397,0.1523,,,,,1239,317
gatto_oscar,Red Bull - BORA - hansgrohe,0.017537,0.0177,-0.4808,1.0669,0,0.4726,0.0658,,,,,388,61
hajek_alexander,Red Bull - BORA - hansgrohe,0.082622,0.0861,-0.3646,0.819,0,0.5388,0.0249,,,,,522,137
haller_marco,Red Bull - BORA - hansgrohe,0.232637,0.2619,-0.1758,0.7912,0,0.5218,0.18,,,,,841,218
herzog_emil,Red Bull - BORA - hansgrohe,0.361672,0.4357,-0.2421,1.4989,0,0.4979,0.0747,,,,,522,106
higuita_sergio,Red Bull - BORA - hansgrohe,-0.263229,-0.2314,-0.5396,0.2746,0,0.6557,0.1347,,,,,830,183
hindley_jai,Red Bull - BORA - hansgrohe,0.220437,0.2466,-0.207,1.0219,0,0.6711,0.1232,,,,,1097,251
jasch_lennart,Red Bull - BORA - hansgrohe,-0.767992,-0.5361,-0.7877,0.4682,0,0.2517,-0.1759,,,,,254,15
kämna_lennard,Red Bull - BORA - hansgrohe,-0.086592,-0.0829,-0.3546,0.3705,0,0.5812,0.1584,,,,,1132,214
kennaugh_peter,Red Bull - BORA - hansgrohe,0.326004,0.3854,-0.3481,2.3571,0,0.5083,0.1876,,,,,491,57
koch_jonas,Red Bull - BORA - hansgrohe,0.039789,0.0406,-0.2487,0.3798,0,0.2431,0.1192,,,,,1141,246
kolář_michael,Red Bull - BORA - hansgrohe,-0.518625,-0.4047,-0.7437,0.0468,0,0.495,0.1114,,,,,234,31
konrad_patrick,Red Bull - BORA - hansgrohe,0.441908,0.5557,0.1676,0.9948,1,0.5316,0.2561,,,,,1440,402
laas_martin,Red Bull - BORA - hansgrohe,-0.169224,-0.1557,-0.4271,0.3389,0,0.5106,0.1529,,,,,690,156
lazkano_oier,Red Bull - BORA - hansgrohe,0.881991,1.4157,-0.5539,10.4402,0,0.3814,-0.1147,,,,,254,15
lipowitz_florian,Red Bull - BORA - hansgrohe,0.255656,0.2913,-0.1708,0.843,0,0.5252,0.1469,,,,,1093,163
lührs_luis-joe,Red Bull - BORA - hansgrohe,0.075763,0.0787,-0.3182,0.5838,0,0.4276,0.1568,,,,,806,125
maciejuk_filip,Red Bull - BORA - hansgrohe,-0.04032,-0.0395,-0.4154,0.5559,0,0.4193,0.0841,,,,,545,154
mccarthy_jay,Red Bull - BORA - hansgrohe,-0.000677,-0.0007,-0.3904,0.603,0,0.623,0.2862,,,,,622,158
meeus_jordi,Red Bull - BORA - hansgrohe,0.24241,0.2743,-0.0481,0.747,0,0.4643,0.1825,,,,,1316,325
mullen_ryan,Red Bull - BORA - hansgrohe,0.154766,0.1674,-0.1532,0.6288,0,0.4858,0.1661,,,,,1088,278
mühlberger_gregor,Red Bull - BORA - hansgrohe,0.538856,0.714,0.0148,1.8949,1,0.5421,0.2537,,,,,627,150
oss_daniel,Red Bull - BORA - hansgrohe,-0.550487,-0.4233,-0.6398,0.0422,0,0.7348,0.287,,,,,863,246
pajur_romet,Red Bull - BORA - hansgrohe,-0.295104,-0.2555,-0.7178,0.6232,0,0.2965,-0.1659,,,,,264,24
palzer_anton,Red Bull - BORA - hansgrohe,0.300689,0.3508,0.0173,0.8176,1,0.4035,0.1788,,,,,1311,249
pellizzari_giulio,Red Bull - BORA - hansgrohe,1.060276,1.8872,0.3524,4.3677,1,0.5776,-0.145,,,,,254,60
pelucchi_matteo,Red Bull - BORA - hansgrohe,-0.265099,-0.2329,-0.7977,1.2695,0,0.6562,0.1513,,,,,234,44
pithie_laurence,Red Bull - BORA - hansgrohe,1.380517,2.977,0.5959,10.6559,1,0.5927,-0.1375,,,,,254,56
poljański_paweł,Red Bull - BORA - hansgrohe,-0.273971,-0.2396,-0.5617,0.2535,0,0.6703,0.2685,,,,,641,188
pöstlberger_lukas,Red Bull - BORA - hansgrohe,0.031648,0.0322,-0.3399,0.4061,0,0.5348,0.2561,,,,,1155,276
pringle_nate,Red Bull - BORA - hansgrohe,-0.644095,-0.4749,-0.8887,0.4366,0,0.5951,-0.2167,,,,,254,14
sagan_juraj,Red Bull - BORA - hansgrohe,-0.342125,-0.2897,-0.5043,0.0068,0,0.3307,0.2767,,,,,956,177
sagan_peter,Red Bull - BORA - hansgrohe,0.218257,0.2439,-0.2952,0.9519,0,0.7313,0.3041,,,,,933,282
saramotins_aleksejs,Red Bull - BORA - hansgrohe,0.284613,0.3292,-0.3527,1.4215,0,0.1899,0.187,,,,,234,42
schelling_ide,Red Bull - BORA - hansgrohe,0.434008,0.5434,0.1344,1.1417,1,0.4371,0.1025,,,,,951,198
schillinger_andreas,Red Bull - BORA - hansgrohe,0.060228,0.0621,-0.2189,0.5082,0,0.501,0.296,,,,,891,212
schwarzmann_michael,Red Bull - BORA - hansgrohe,-0.115122,-0.1087,-0.4936,0.3816,0,0.6676,0.2715,,,,,891,239
selig_rüdiger,Red Bull - BORA - hansgrohe,-0.13391,-0.1253,-0.4244,0.3413,0,0.6368,0.2816,,,,,891,229
sobrero_matteo,Red Bull - BORA - hansgrohe,0.21631,0.2415,-0.4013,1.3145,0,0.5619,0.0338,,,,,527,116
van_gils_maxim,Red Bull - BORA - hansgrohe,-0.72044,-0.5135,-0.7499,0.0182,0,0.3542,-0.0771,,,,,258,44
vlasov_aleksandr,Red Bull - BORA - hansgrohe,0.037663,0.0384,-0.3585,0.486,0,0.716,0.1715,,,,,1070,255
walls_matthew,Red Bull - BORA - hansgrohe,-0.173135,-0.159,-0.4916,0.3477,0,0.4819,0.1861,,,,,789,104
wandahl_frederik,Red Bull - BORA - hansgrohe,-0.168613,-0.1552,-0.4305,0.1377,0,0.4098,0.1798,,,,,1333,269
welsford_sam,Red Bull - BORA - hansgrohe,0.07396,0.0768,-0.4637,1.1589,0,0.5536,0.07,,,,,522,82
zwiehoff_ben,Red Bull - BORA - hansgrohe,0.226883,0.2547,-0.0698,0.6004,0,0.5022,0.1697,,,,,1311,331
aberasturi_jon,Lidl - Trek,-0.10953,-0.1037,-0.4201,0.4545,0,0.4797,0.2083,,,,,560,108
aebersold_nils,Lidl - Trek,0.34851,0.417,-0.4795,2.9156,0,0.395,0.1479,,,,,653,36
alafaci_eugenio,Lidl - Trek,0.540755,0.7173,-0.3209,3.4618,0,0.471,0.216,,,,,265,37
beppu_fumiyuki,Lidl - Trek,0.442174,0.5561,-0.1618,1.5931,0,0.3902,0.1604,,,,,531,81
bernard_julien,Lidl - Trek,0.28638,0.3316,0.1023,0.6754,1,0.5572,0.3102,,,,,2033,516
brambilla_gianluca,Lidl - Trek,-0.075723,-0.0729,-0.3174,0.2329,0,0.5632,0.2934,,,,,1299,321
brändle_matthias,Lidl - Trek,-0.386312,-0.3204,-0.7227,0.3646,0,0.5159,0.2112,,,,,270,65
brustenga_marc,Lidl - Trek,-0.406289,-0.3339,-0.6534,0.1384,0,0.5411,0.2148,,,,,556,100
cataldo_dario,Lidl - Trek,-0.069459,-0.0671,-0.3856,0.3984,0,0.4391,0.1916,,,,,842,165
ciccone_giulio,Lidl - Trek,0.376649,0.4574,0.1318,0.985,1,0.5708,0.2417,,,,,1860,414
clarke_will,Lidl - Trek,-0.028083,-0.0277,-0.4503,0.7328,0,0.5929,0.1508,,,,,420,78
conci_nicola,Lidl - Trek,0.194791,0.2151,-0.1411,0.7622,0,0.4443,0.2619,,,,,984,212
daniel_gregory,Lidl - Trek,-0.40912,-0.3358,-0.7579,0.3642,0,0.4909,0.2406,,,,,265,37
de_kort_koen,Lidl - Trek,0.025627,0.026,-0.3254,0.621,0,0.6054,0.2649,,,,,936,232
debeaumarché_nicolas,Lidl - Trek,-0.346647,-0.2929,-0.718,0.7416,0,-0.2275,0.083,,,,,272,15
degenkolb_john,Lidl - Trek,0.3186,0.3752,-0.2579,1.1241,0,0.5973,0.2771,,,,,540,147
didier_laurent,Lidl - Trek,0.162877,0.1769,-0.3684,1.1416,0,0.2602,0.2079,,,,,267,68
eg_niklas,Lidl - Trek,0.06671,0.069,-0.2152,0.5412,0,0.5305,0.3175,,,,,946,247
egholm_jakob,Lidl - Trek,0.058614,0.0604,-0.3936,0.6762,0,0.4021,0.1852,,,,,525,75
egholm_kristian,Lidl - Trek,-1.629002,-0.8039,-0.9372,-0.1641,1,0.4256,-0.0251,,,,,271,11
felline_fabio,Lidl - Trek,0.031123,0.0316,-0.3162,0.6269,0,0.4825,0.2613,,,,,826,178
frame_alex,Lidl - Trek,-0.102053,-0.097,-0.4639,0.4382,0,0.5742,0.2863,,,,,510,92
frydkjær_patrick_boje,Lidl - Trek,-1.017717,-0.6386,-0.9327,0.099,0,0.1216,0.1045,,,,,282,11
gallopin_tony,Lidl - Trek,0.692652,0.999,0.2121,2.4827,1,0.5579,0.1786,,,,,556,145
ghebreigzabhier_amanuel,Lidl - Trek,-0.237553,-0.2114,-0.4745,0.1016,0,0.5256,0.2423,,,,,1372,300
gogl_michael,Lidl - Trek,0.292961,0.3404,-0.1352,1.5848,0,0.5816,0.2736,,,,,524,131
grmay_tsgabu,Lidl - Trek,0.448395,0.5658,-0.364,2.3443,0,0.5284,0.1925,,,,,265,50
guerreiro_ruben,Lidl - Trek,-0.397333,-0.3279,-0.7303,0.2845,0,0.3737,0.2378,,,,,270,64
hellemose_asbjørn,Lidl - Trek,-0.260379,-0.2292,-0.4776,0.2915,0,0.4837,0.2275,,,,,795,117
hoelgaard_markus,Lidl - Trek,-0.502714,-0.3951,-0.6094,-0.1017,1,0.4453,0.1945,,,,,556,102
hoole_daan,Lidl - Trek,0.547467,0.7289,0.2542,1.4342,1,0.4671,0.2244,,,,,1356,247
irizar_markel,Lidl - Trek,-0.144041,-0.1341,-0.6256,0.793,0,0.725,0.2594,,,,,510,132
kamp_alexander,Lidl - Trek,0.119606,0.1271,-0.25,0.5979,0,0.314,0.2196,,,,,711,132
kirsch_alex,Lidl - Trek,-0.06705,-0.0649,-0.32,0.221,0,0.5215,0.2909,,,,,1770,434
kragh_andersen_søren,Lidl - Trek,0.568716,0.766,-0.5117,3.6447,0,0.6894,0.08,,,,,271,43
liepiņš_emīls,Lidl - Trek,0.067621,0.07,-0.1896,0.4953,0,0.3801,0.2393,,,,,1002,199
lópez_juan_pedro,Lidl - Trek,-0.196801,-0.1786,-0.3542,0.0486,0,0.537,0.2786,,,,,1732,359
milan_jonathan,Lidl - Trek,0.052435,0.0538,-0.3811,1.1081,0,0.5853,0.1454,,,,,527,115
mollema_bauke,Lidl - Trek,0.223647,0.2506,-0.0341,0.6609,0,0.5512,0.3043,,,,,2062,494
mosca_jacopo,Lidl - Trek,0.186751,0.2053,-0.038,0.5289,0,0.448,0.2771,,,,,1790,411
moschetti_matteo,Lidl - Trek,-0.088196,-0.0844,-0.3087,0.2208,0,0.4179,0.2768,,,,,1251,239
nibali_antonio,Lidl - Trek,-0.055024,-0.0535,-0.502,1.0438,0,0.5725,0.1885,,,,,433,102
nibali_vincenzo,Lidl - Trek,0.746402,1.1094,0.0072,3.3227,1,0.6823,0.1554,,,,,458,127
nizzolo_giacomo,Lidl - Trek,-0.446432,-0.3601,-0.7584,0.4126,0,0.6779,0.2553,,,,,265,63
nys_thibau,Lidl - Trek,-0.113291,-0.1071,-0.449,0.5701,0,0.5362,0.2416,,,,,1073,118
pantano_jarlinson,Lidl - Trek,-0.639475,-0.4724,-0.7153,-0.0524,1,0.6052,0.3097,,,,,521,78
pedersen_mads,Lidl - Trek,0.212929,0.2373,-0.1579,0.87,0,0.7671,0.2925,,,,,2084,526
pedersen_martin,Lidl - Trek,-0.627348,-0.466,-0.7614,0.0825,0,0.4075,0.1192,,,,,632,42
pellaud_simon,Lidl - Trek,-0.174633,-0.1602,-0.5322,0.4369,0,0.1438,0.1255,,,,,322,60
quarterman_charlie,Lidl - Trek,-0.992867,-0.6295,-0.7892,-0.2475,1,0.4074,0.0999,,,,,659,73
rast_grégory,Lidl - Trek,0.691765,0.9972,-0.114,2.9312,0,0.4985,0.252,,,,,265,67
reijnen_kiel,Lidl - Trek,-0.033032,-0.0325,-0.329,0.3041,0,0.5319,0.306,,,,,924,192
ries_michel,Lidl - Trek,-0.184061,-0.1681,-0.4517,0.3796,0,0.4037,0.263,,,,,685,109
simmons_quinn,Lidl - Trek,-0.147227,-0.1369,-0.3897,0.2574,0,0.4859,0.2605,,,,,1509,271
skjelmose_mattias,Lidl - Trek,0.283084,0.3272,-0.0216,0.6519,0,0.4668,0.2722,,,,,1531,303
skujiņš_toms,Lidl - Trek,0.397165,0.4876,0.215,0.8786,1,0.5166,0.2938,,,,,2078,524
söderqvist_jakob,Lidl - Trek,-0.346583,-0.2929,-0.6541,0.6627,0,0.458,0.1212,,,,,534,44
stetina_peter,Lidl - Trek,-0.299258,-0.2586,-0.4862,0.2049,0,0.6037,0.2939,,,,,518,133
stuyven_jasper,Lidl - Trek,0.023748,0.024,-0.2463,0.4207,0,0.6844,0.2937,,,,,2048,507
tesfatsion_natnael,Lidl - Trek,-0.293694,-0.2545,-0.523,0.1574,0,0.4797,0.1333,,,,,540,112
teutenberg_tim_torn,Lidl - Trek,0.63623,0.8893,-0.0193,2.8066,0,0.5418,0.1446,,,,,655,75
theuns_edward,Lidl - Trek,0.030841,0.0313,-0.2046,0.3302,0,0.5683,0.298,,,,,1757,503
tiberi_antonio,Lidl - Trek,0.111975,0.1185,-0.2623,0.6479,0,0.3519,0.1904,,,,,898,132
vacek_mathias,Lidl - Trek,0.063398,0.0655,-0.2626,0.5104,0,0.4265,0.2176,,,,,1084,189
van_poppel_boy,Lidl - Trek,-0.033243,-0.0327,-0.47,0.4846,0,0.2474,0.1674,,,,,265,76
verbnjak_paul,Lidl - Trek,-0.035042,-0.0344,-0.9568,151.0596,0,0.7679,0.0902,,,,,271,11
vergaerde_otto,Lidl - Trek,0.209095,0.2326,-0.1196,0.7272,0,0.4878,0.2406,,,,,1073,249
verona_carlos,Lidl - Trek,0.04665,0.0478,-0.5411,1.334,0,0.7371,0.1076,,,,,528,135
weening_pieter,Lidl - Trek,0.211014,0.2349,-0.5353,3.1834,0,0.2188,0.0251,,,,,178,22
albanese_vincenzo,EF Education - EasyPost,0.306066,0.3581,-0.384,2.1302,0,0.5286,-0.0418,,,,,244,69
arroyave_daniel,EF Education - EasyPost,-0.631104,-0.468,-0.7479,0.1268,0,0.2949,0.2528,,,,,444,30
barta_will,EF Education - EasyPost,0.669698,0.9536,-0.1914,3.8643,0,0.3266,0.0154,,,,,196,39
battistella_samuele,EF Education - EasyPost,0.865328,1.3758,0.066,4.2222,1,0.2698,-0.0284,,,,,244,53
baudin_alex,EF Education - EasyPost,-0.158803,-0.1468,-0.6257,0.8324,0,0.4541,0.0457,,,,,248,60
beloki_markel,EF Education - EasyPost,-0.275363,-0.2407,-0.5206,0.2669,0,0.4113,0.0536,,,,,518,93
bennett_sean,EF Education - EasyPost,-0.155458,-0.144,-0.5349,0.6302,0,0.616,0.1599,,,,,378,89
bettiol_alberto,EF Education - EasyPost,0.216454,0.2417,-0.0924,0.7047,0,0.5973,0.2459,,,,,1479,322
bissegger_stefan,EF Education - EasyPost,0.34015,0.4052,0.0715,0.9665,1,0.4736,0.2507,,,,,1198,271
breschel_matti,EF Education - EasyPost,0.28291,0.327,-0.1696,1.1363,0,0.3258,0.1048,,,,,502,71
brown_nathan,EF Education - EasyPost,-0.602149,-0.4524,-0.7289,-0.0365,1,0.6727,0.2622,,,,,490,139
caicedo_jonathan_klever,EF Education - EasyPost,-0.260044,-0.229,-0.4601,0.0986,0,0.5761,0.2832,,,,,1117,282
camargo_diego_andrés,EF Education - EasyPost,-0.058507,-0.0568,-0.3847,0.3782,0,0.5325,0.225,,,,,701,145
canty_brendan,EF Education - EasyPost,-0.623853,-0.4641,-0.7445,0.2745,0,0.5912,0.0227,,,,,238,46
cardona_julián,EF Education - EasyPost,-0.585162,-0.443,-0.7943,0.0998,0,0.341,0.2543,,,,,238,34
carr_simon,EF Education - EasyPost,-0.230895,-0.2062,-0.3872,0.0212,0,0.4395,0.2409,,,,,964,193
carthy_hugh,EF Education - EasyPost,-0.220781,-0.1981,-0.3586,-0.0108,1,0.5158,0.2978,,,,,1853,481
cepeda_jefferson_alexander,EF Education - EasyPost,0.023547,0.0238,-0.2386,0.5164,0,0.5817,0.251,,,,,1042,202
chaves_esteban,EF Education - EasyPost,-0.201903,-0.1828,-0.412,0.113,0,0.4525,0.2369,,,,,1012,242
clarke_simon,EF Education - EasyPost,0.546225,0.7267,0.2206,2.1801,1,0.6813,0.2046,,,,,630,202
cort_magnus,EF Education - EasyPost,0.305347,0.3571,-0.1125,1.0767,0,0.6188,0.2156,,,,,867,257
craddock_lawson,EF Education - EasyPost,0.316562,0.3724,-0.1801,1.3221,0,0.6306,0.2393,,,,,828,217
de_bod_stefan,EF Education - EasyPost,-0.15584,-0.1443,-0.4829,0.2854,0,0.334,0.1147,,,,,535,115
docker_mitchell,EF Education - EasyPost,0.296631,0.3453,-0.1844,1.2048,0,0.6771,0.2507,,,,,824,201
eiking_odd_christian,EF Education - EasyPost,0.265408,0.304,-0.2121,1.0245,0,0.2942,0.1819,,,,,516,91
el_fares_julien,EF Education - EasyPost,0.129127,0.1378,-0.5544,2.3933,0,0.4428,-0.1133,,,,,196,36
healy_ben,EF Education - EasyPost,0.043336,0.0443,-0.3177,0.6544,0,0.6929,0.2061,,,,,1030,220
hlady_gavin,EF Education - EasyPost,-0.142912,-0.1332,-0.5661,1.243,0,-0.0433,0.129,,,,,507,10
hofland_moreno,EF Education - EasyPost,-0.096904,-0.0924,-0.438,0.5284,0,0.2157,0.2436,,,,,574,54
howes_alex,EF Education - EasyPost,0.392994,0.4814,0.0334,1.2203,1,0.441,0.2729,,,,,1070,120
kangert_tanel,EF Education - EasyPost,0.204925,0.2274,-0.4862,1.7006,0,0.6981,0.1174,,,,,402,129
keukeleire_jens,EF Education - EasyPost,-0.350401,-0.2956,-0.5128,-0.0104,1,0.5284,0.2145,,,,,835,228
kudus_merhawi,EF Education - EasyPost,0.241977,0.2738,-0.234,1.1413,0,0.6221,0.2085,,,,,507,102
langeveld_sebastian,EF Education - EasyPost,-0.012914,-0.0128,-0.2651,0.3333,0,0.5527,0.2348,,,,,1085,239
lovidius_edvin,EF Education - EasyPost,-0.681895,-0.4943,-0.8249,0.4816,0,0.1617,-0.0551,,,,,280,15
mackellar_alastair,EF Education - EasyPost,-0.377703,-0.3146,-0.7276,0.575,0,0.2481,0.045,,,,,244,41
magnusson_kim,EF Education - EasyPost,0.139495,0.1497,-0.5697,2.5954,0,0.4129,0.0976,,,,,251,41
mihkels_madis,EF Education - EasyPost,0.595564,0.8141,-0.2289,3.2454,0,0.54,0.0445,,,,,244,56
modolo_sacha,EF Education - EasyPost,0.264536,0.3028,-0.0368,0.8638,0,0.4663,0.2303,,,,,523,130
moreno_daniel,EF Education - EasyPost,0.212659,0.237,-0.3874,1.2819,0,0.5269,0.1765,,,,,238,52
morton_lachlan,EF Education - EasyPost,0.253127,0.288,-0.2926,0.8838,0,0.6042,0.2933,,,,,822,92
nakane_hideto,EF Education - EasyPost,0.667015,0.9484,0.2373,2.3852,1,0.2139,0.2376,,,,,444,44
nerurkar_lukas,EF Education - EasyPost,0.481439,0.6184,-0.0488,1.3788,0,0.4193,0.1171,,,,,507,102
neves_josé,EF Education - EasyPost,0.729023,1.0731,-0.1392,4.4034,0,0.0128,0.1874,,,,,238,16
owen_logan,EF Education - EasyPost,-0.328571,-0.28,-0.5542,0.1434,0,0.6424,0.2587,,,,,812,167
padun_mark,EF Education - EasyPost,-0.02805,-0.0277,-0.3777,0.5009,0,0.3422,0.2148,,,,,505,93
phinney_taylor,EF Education - EasyPost,0.382331,0.4657,-0.3383,2.2407,0,0.7088,0.2656,,,,,482,84
piccolo_andrea,EF Education - EasyPost,0.55153,0.7359,0.0327,1.5167,1,0.404,0.211,,,,,768,109
quinn_sean,EF Education - EasyPost,0.110509,0.1168,-0.2074,0.5612,0,0.4677,0.2196,,,,,1025,209
rafferty_darren,EF Education - EasyPost,0.578528,0.7834,-0.1749,2.3899,0,0.6818,0.0458,,,,,509,128
rolland_pierre,EF Education - EasyPost,-0.010799,-0.0107,-0.6212,1.4419,0,0.6842,0.1446,,,,,238,84
rootkin-gray_jack,EF Education - EasyPost,-0.577521,-0.4387,-0.6994,0.0247,0,0.5324,0.0693,,,,,507,94
rutsch_jonas,EF Education - EasyPost,-0.135383,-0.1266,-0.3565,0.1289,0,0.4547,0.2331,,,,,1172,263
