course,year,stage_key,rang,pts_uci_corrige,rider_pcs
nc-australia,2025,result,5,30.0,Harper ChrisTeam Jayco AlUla
ringerike-gp,2025,result,6,5.0,Holstad LudvikLillehammer CK Continental Team
brabantse-pijl,2025,result,32,-12.0,Dujardin Sandy TotalEnergies
gent-wevelgem,2025,result,2,375.0,Merlier Tim Soudal Quick-Step
gent-wevelgem,2025,result,9,75.0,Meeus Jordi Red Bull - BORA - hansgrohe
giro-d-italia,2025,stage_15,1,155.0,Verona CarlosLidl - Trek
vuelta-a-burgos,2025,stage_1,2,0.0,Labrosse JordanDecathlon AG2R La Mondiale Team
tour-of-britain,2025,stage_5,1,10.0,Evenepoel RemcoSoudal Quick-Stepfav_gc
tour-de-france,2025,stage_15,2,125.0,Campenaerts Victor Team Visma | Lease a Bike
famenne-ardenne-classic,2025,result,17,-12.0,Gilmore BradyIsrael - Premier Tech
vuelta-bantrab,2025,stage_5,1,2.0,Oyola Róbigzon LeandroTeam Medellín - EPM
tour-de-kumano,2025,stage_4,3,-4.0,Stewart MarkTeam Solution Tech - Vini Fantini
omloop-het-nieuwsblad,2025,result,32,-20.0,Küng StefanGroupama - FDJ
giro-d-italia,2025,stage_11,4,55.0,Pidcock TomQ36.5 Pro Cycling Teamfav_gc
vuelta-bantrab,2025,stage_4,3,-4.0,Paredes WilmarTeam Medellín - EPM
nc-austria2,2025,result,9,-10.0,Geismayr DanielTeam Vorarlberg
paris-nice,2025,stage_1,9,-20.0,Albanese VincenzoEF Education - EasyPost
gp-kranj,2025,result,5,10.0,Serrano JavierTeam Polti VisitMalta
giro-d-italia,2025,stage_14,12,-10.0,Caruso Damiano Bahrain - Victorious
