date,year,course,stage,stage_num,classification,distance_gpx_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,road_km,street_km,state_road_km,cycleway_km,off-grid_(unknown)_km,access_road_km,unknown_km,path_km,singletrack_km,denivele_pos,denivele_neg,altitude_max,altitude_min,n_cols_cat4,n_cols_cat3,n_cols_cat2,n_cols_cat1,n_cols_hc,loc_last_col_cat4,loc_last_col_cat3,loc_last_col_cat2,loc_last_col_cat1,loc_last_col_hc,gradient_last_1km,gradient_last_3km,gradient_last_5km,denivele_last_5km,gradient_first_50km,denivele_first_50km,max_pts,fichier_gpx,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km
2018-01-20,2018,vuelta-al-tachira,stage_9,9.0,2.2,122.83,77.8,9.7,0.0,0.0,0.0,6.35,8.47,72.7,0.0,36.3,0.0,36.3,0.0,0.0,2268.0,1083.0,1512.0,310.0,2.0,2.0,0.0,0.0,1.0,0.9989,0.9989,0.9989,0.9989,0.9989,8.8,7.1,4.94,478.0,-0.01,254.0,7.0,2018 Vuelta al Tachira en Bicicleta Stage 9.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-21,2018,vuelta-ciclista-a-la-provincia-de-san-juan,stage_1,1.0,2.1,146.95,130.0,12.0,0.0,2.73,0.0,78.4,0.764,65.2,0.0,2.95,0.0,2.95,0.0,0.0,179.0,193.0,627.0,555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.47,0.34,74.0,-0.14,14.0,14.0,2018 Vuelta Ciclista a la Provincia de San Juan Stage 1.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-21,2018,new-zealand-cycle-classic,stage_5,5.0,2.2,123.67,76.4,47.3,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,344.0,152.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,-0.67,-0.56,145.0,0.02,141.0,7.0,2018 New Zealand Cycle Classic Stage 5.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-21,2018,vuelta-al-tachira,stage_10,10.0,2.2,115.87,100.0,11.4,0.0,0.0,0.0,90.5,22.9,0.0,0.0,3.58,0.0,5.46,0.0,0.0,1557.0,1567.0,1053.0,956.0,11.0,0.0,0.0,0.0,0.0,0.9213,0.0,0.0,0.0,0.0,5.8,2.3,1.5,224.0,-0.07,663.0,7.0,2018 Vuelta al Tachira en Bicicleta Stage 10.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-21,2018,la-tropicale-amissa-bongo,stage_7,7.0,2.1,141.99,133.0,5.24,0.0,0.269,0.0,55.6,3.32,79.8,0.0,3.4,0.434,3.81,0.0,0.0,760.0,777.0,49.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.04,96.0,-0.04,213.0,14.0,2018 La Tropicale Amissa Bongo Stage 7.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-21,2018,tour-down-under,stage_6,6.0,2.UWT,89.9,86.2,1.34,0.499,0.294,0.0,65.4,10.6,0.0,11.0,0.0,0.0,0.0,1.02,0.294,616.0,620.0,44.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1,-0.6,-0.1,62.0,0.02,352.0,60.0,2018 Santos Tour Down Under Stage 6.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-22,2018,vuelta-ciclista-a-la-provincia-de-san-juan,stage_2,2.0,2.1,149.72,147.0,3.13,0.0,0.512,0.0,91.7,0.512,48.3,9.36,0.0,0.0,0.0,0.327,0.0,1087.0,1088.0,974.0,712.0,0.0,4.0,0.0,0.0,0.0,0.9812,0.9812,0.0,0.0,0.0,-0.3,1.33,2.16,223.0,-0.35,253.0,14.0,2018 Vuelta Ciclista a la Provincia de San Juan Stage 2.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-23,2018,vuelta-ciclista-a-la-provincia-de-san-juan,stage_3,3.0,2.1,14.95,1.7,0.168,0.0,0.0,0.0,1.69,0.0,0.0,0.0,13.4,0.0,13.7,0.464,0.0,35.0,48.0,663.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.02,35.0,-0.09,35.0,14.0,2018 Vuelta Ciclista a la Provincia de San Juan Stage 3.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-24,2018,vuelta-ciclista-a-la-provincia-de-san-juan,stage_4,4.0,2.1,194.62,192.0,1.31,0.0,0.0,0.0,54.9,0.881,138.0,0.0,1.51,0.0,1.33,0.0,0.0,1125.0,1399.0,1508.0,776.0,1.0,0.0,0.0,1.0,0.0,0.5813,0.5813,0.5813,0.5813,0.0,-0.3,-0.47,-0.48,3.0,-0.48,167.0,14.0,2018 Vuelta Ciclista a la Provincia de San Juan Stage 4.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-24,2018,tour-of-sharjah,stage_1,1.0,2.1,10.19,9.73,0.226,0.0,0.0,0.0,9.95,0.0,0.0,0.0,0.0,0.0,0.0,0.117,0.0,56.0,55.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-0.03,0.0,55.0,0.01,56.0,14.0,2018 Sharjah International Cycling Tour Stage 1.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-25,2018,speedy-tour-d-indonesia,stage_1,1.0,2.1,124.56,122.0,0.987,0.0,0.0,0.0,2.25,0.833,120.0,0.594,1.43,0.0,1.89,0.256,0.0,293.0,406.0,175.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07,-0.04,59.0,-0.13,109.0,14.0,2018 Tour de Indonesia Stage 1.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-25,2018,trofeo-ses-salines-felanitx,result,,1.1,177.51,166.0,11.1,0.0,0.0,0.0,132.0,5.95,18.5,21.0,0.0,0.0,0.0,0.0,0.0,1030.0,1022.0,177.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6878,0.6878,0.0,0.0,0.0,0.4,0.2,0.68,81.0,0.03,366.0,125.0,2018 Trofeo Porreres-Felanitx-Ses Salines-Campos.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-25,2018,tour-of-sharjah,stage_2,2.0,2.1,151.44,39.8,8.05,0.0,2.13,0.0,20.3,3.14,25.4,0.0,102.0,0.0,103.0,2.36,0.0,599.0,532.0,188.0,28.0,0.0,1.0,0.0,0.0,0.0,0.5996,0.5996,0.0,0.0,0.0,0.1,0.0,-0.04,48.0,-0.03,200.0,14.0,2018 Sharjah International Cycling Tour Stage 2.gpx,0.0,0.0,0.0,0.0,0.0,0.0
