fichier_gpx,cobblestones_last_50km,compacted_gravel_last_50km,cobblestones_last_20km,compacted_gravel_last_20km,cobblestones_last_10km,compacted_gravel_last_10km
2018 Koga Slag om Norg.gpx,4.725,0.0,2.342,0.0,1.151,0.0
2018 Kuurne-Bruxelles-Kuurne.gpx,0.308,0.0,0.102,0.0,0.0,0.0
2018 La DH Famenne Ardenne Classic.gpx,0.299,0.0,0.1,0.0,0.1,0.0
2018 Le Samyn.gpx,6.72,0.0,2.73,0.0,0.751,0.0
2018 Le Tour De Langkawi Stage 8.gpx,1.197,0.0,0.626,0.0,0.313,0.0
2018 Le Tour de Bretagne Stage 7.gpx,4.045,0.0,3.168,0.0,1.584,0.0
2018 Liege - Bastogne - Liege.gpx,0.796,0.0,0.796,0.0,0.263,0.0
2018 Lillehammer GP.gpx,0.174,0.0,0.087,0.0,0.0,0.0
2018 Memorial Van Coningsloo.gpx,4.221,0.0,1.666,0.0,1.093,0.0
2018 Midden-Brabant Poort Omloop.gpx,4.061,0.0,1.88,0.0,1.163,0.0
2018 Milano - Sanremo.gpx,0.172,0.0,0.0,0.0,0.0,0.0
2018 Minsk Cup.gpx,3.448,0.0,3.448,0.0,3.448,0.0
2018 Nokere Koerse - Danilith Classic.gpx,5.392,0.0,2.442,0.0,2.442,0.0
2018 OVO Energy Tour of Britain Stage 8.gpx,0.844,0.0,0.39,0.0,0.195,0.0
2018 Oberoesterreichrundfahrt Stage 2.gpx,2.657,0.0,1.406,0.0,0.823,0.0
2018 Oberoesterreichrundfahrt Stage 3.gpx,0.0,1.147,0.0,0.574,0.0,0.0
2018 Oberoesterreichrundfahrt Stage 4.gpx,0.282,0.0,0.113,0.0,0.056,0.0
2018 Olympia's Tour Stage 1.gpx,15.072,0.025,1.232,0.004,1.032,0.0
2018 Olympia's Tour Stage 2.gpx,2.666,0.377,1.007,0.0,1.007,0.0
2018 Olympia's Tour Stage 3.gpx,4.144,0.0,1.655,0.0,1.027,0.0
2018 Olympia's Tour Stage 4.gpx,0.164,0.0,0.082,0.0,0.02,0.0
2018 Omloop Het Nieuwsblad.gpx,3.566,0.0,1.663,0.0,0.024,0.0
2018 Omloop van het Houtland Lichtervelde.gpx,2.702,0.0,0.993,0.0,0.497,0.0
2018 PWZ Zuidenveldtour.gpx,0.058,0.0,0.012,0.0,0.0,0.0
2018 Paris - Roubaix.gpx,14.071,0.0,6.17,0.0,1.409,0.0
2018 Paris - Tours.gpx,0.0,2.322,0.0,0.822,0.0,0.0
2018 Paris-Nice Stage 1.gpx,0.689,0.0,0.673,0.0,0.673,0.0
2018 PostNord Danmark Rundt - Tour of Denmark Stage 3.gpx,0.507,0.0,0.507,0.0,0.186,0.0
2018 Presidential Cycling Tour of Turkey Stage 3.gpx,1.358,0.0,1.358,0.0,1.358,0.0
2018 Presidential Cycling Tour of Turkey Stage 4.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Presidential Cycling Tour of Turkey Stage 6.gpx,0.627,0.0,0.558,0.0,0.558,0.0
2018 Primus Classic.gpx,0.951,0.0,0.83,0.0,0.0,0.0
2018 Prudential RideLondon-Surrey Classic.gpx,0.154,0.0,0.071,0.0,0.071,0.0
2018 Prueba Villafranca-Ordiziako Klasika.gpx,0.258,0.0,0.0,0.0,0.0,0.0
2018 Rabobank Dorpenomloop Rucphen.gpx,0.329,0.0,0.329,0.0,0.021,0.0
2018 Record Bank E3 Harelbeke.gpx,3.633,0.299,0.069,0.0,0.0,0.0
2018 Ringerike GP.gpx,1.221,0.0,0.794,0.0,0.366,0.0
2018 Ronde Van Vlaanderen.gpx,5.93,0.0,1.839,0.0,0.0,0.0
2018 Ronde van Drenthe.gpx,9.436,0.19,2.058,0.0,0.238,0.0
2018 Ronde van Limburg.gpx,1.257,0.0,0.0,0.0,0.0,0.0
2018 Ronde van Midden Nederland.gpx,1.559,0.121,0.933,0.121,0.467,0.0
2018 Ronde van Overijssel.gpx,8.39,0.0,0.0,0.0,0.0,0.0
2018 Route d'Occitaine Stage 3.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Rund um Koln.gpx,2.666,0.0,1.512,0.0,0.662,0.0
2018 Scandinavian Race.gpx,0.959,0.789,0.32,0.263,0.03,0.0
2018 Scheldeprijs.gpx,6.013,0.0,2.178,0.0,1.53,0.0
2018 Slovenian Road National Championships - ITT.gpx,0.0,3.904,0.0,1.952,0.0,1.952
2018 Sparkassen Muensterland Giro.gpx,7.886,0.0,7.712,0.0,4.432,0.0
2018 Strade Bianche.gpx,1.001,7.941,0.865,0.0,0.865,0.0
2018 Szlakiem Walk Majora Hubala Stage 1.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Tacx Pro Classic.gpx,0.577,0.0,0.577,0.0,0.0,0.0
2018 Tirreno-Adriatico Stage 5.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Toscana Terra di Ciclismo Eroica Stage 3.gpx,0.006,14.949,0.0,8.643,0.0,4.199
2018 Tour Des Fjords Stage 2.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Tour de France Stage 10.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Tour de France Stage 21.gpx,35.062,0.0,14.13,0.0,6.108,0.0
2018 Tour de France Stage 6.gpx,0.0,1.91,0.0,0.0,0.0,0.0
2018 Tour de France Stage 9.gpx,10.314,0.0,3.208,0.0,1.409,0.0
2018 Tour de Hongrie Stage 2.gpx,0.105,0.0,0.105,0.0,0.052,0.0
2018 Tour de Pologne Stage 1.gpx,0.0,0.184,0.0,0.184,0.0,0.123
2018 Tour de Pologne Stage 2.gpx,3.37,0.0,1.692,0.0,0.672,0.0
2018 Tour de Pologne Stage 3.gpx,0.0,3.846,0.0,2.884,0.0,1.326
2018 Tour de Pologne Stage 4.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Tour de Romandie Stage 1.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Tour de Suisse Stage 6.gpx,0.226,0.0,0.0,0.0,0.0,0.0
2018 Tour de Taiwan Stage 1.gpx,2.367,0.0,0.951,0.0,0.437,0.0
2018 Tour de Yorkshire Stage 3.gpx,0.841,0.0,0.59,0.0,0.59,0.0
2018 Tour du Faso Stage 4.gpx,0.0,4.769,0.0,4.769,0.0,4.769
2018 Tour du Faso Stage 6.gpx,0.0,2.134,0.0,2.134,0.0,2.134
2018 Grote Prijs Jef Scherens - Rondom Leuven.gpx,6.585,0.0,3.203,0.0,1.691,0.0
2018 Schaal Sels Merksem.gpx,2.92,0.0,1.378,0.0,0.75,0.0
2018 Tour du Loir et Cher E Provost Stage 5.gpx,1.013,0.0,0.338,0.0,0.169,0.0
2018 Tour du Rwanda Stage 6.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Tour of Albania Stage 1.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Tour of Albania Stage 2.gpx,0.522,0.0,0.522,0.0,0.522,0.0
2018 Tour of Albania Stage 4.gpx,0.009,0.0,0.009,0.0,0.009,0.0
2018 Tour of Iran (Azarbaijan) Stage 5.gpx,3.082,0.0,3.082,0.0,3.082,0.0
2018 Tour of Mediterranean Stage 3.gpx,0.0,0.005,0.0,0.0,0.0,0.0
2018 Tour of Norway Stage 4.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Tour of Norway Stage 5.gpx,0.121,1.569,0.0,0.716,0.0,0.0
2018 Tour of The Alps Stage 1.gpx,0.12,0.0,0.051,0.0,0.051,0.0
2018 Tour of The Alps Stage 3.gpx,0.103,0.0,0.103,0.0,0.103,0.0
2018 Tre Valli Varesine.gpx,0.12,0.0,0.04,0.0,0.0,0.0
2018 Tro-Bro Leon.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Trofeo Lloseta-Andratx.gpx,0.368,0.0,0.368,0.0,0.0,0.0
2018 UCI Road World Championships.gpx,0.968,0.0,0.484,0.0,0.484,0.0
2018 UEC European Championships.gpx,3.321,0.0,1.033,0.0,0.47,0.0
2018 VOO-Tour de Wallonie Stage 1.gpx,5.405,0.0,3.417,0.0,0.12,0.0
2018 VOO-Tour de Wallonie Stage 2.gpx,3.918,0.272,1.959,0.136,1.959,0.136
2018 Veenendaal-Veenendaal Classic.gpx,2.439,0.458,1.22,0.0,0.018,0.0
2018 Visegrad 4 Bicycle Race - GP Czech Republic.gpx,0.625,0.0,0.245,0.0,0.055,0.0
2018 Volta Ciclista a Catalunya Stage 2.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Volta Ciclista a Catalunya Stage 3.gpx,0.0,0.0,0.0,0.0,0.0,0.0
2018 Volta Limburg Classic.gpx,0.786,0.0,0.775,0.0,0.775,0.0
2018 Volta a Portugal em Bicicleta Santander Totta Stage 3.gpx,0.0,0.0,0.0,0.0,0.0,0.0
