course,pts_uci_rank1
horizon-park-classic,40.0
il-lombardia,800.0
in-the-footsteps-of-the-romans,7.0
int-raiffeisen-gp-judendorf-strassengel,40.0
int-wielertrofee-jong-maar-moedig-iwt,40.0
international-azerbaijan-tour,14.0
international-race-grand-prix-doliny-baryczy-milic,40.0
international-syrian-tour,7.0
istrian-spring-tour,7.0
itzulia-basque-country,50.0
jamaica-international-cycling-classic,7.0
japan-cup,200.0
joe-martin-stage-race-me,7.0
juegos-bolivarianos-me-itt,40.0
juegos-bolivarianos-me-road-race,40.0
juegos-centroamericanos-ordeca-me-irr,40.0
juegos-centroamericanos-ordeca-me-itt,40.0
juegos-suramericanos-itt,40.0
juegos-suramericanos-road-race,40.0
kahramanmaras-grand-prix-road-race-me,40.0
kampioenschap-van-vlaanderen1,125.0
kirikkale-road-race,7.0
kirschblutenrennen,40.0
klasika-primavera,125.0
korona-kocich-gor,40.0
kreiz-breizh-elites,7.0
kuurne-brussel-kuurne,200.0
la-drome-classic,200.0
la-fleche-wallonne,400.0
la-maurienne,40.0
la-poly-normande,125.0
la-roue-tourangelle,125.0
la-route-d-occitanie,14.0
la-tropicale-amissa-bongo,14.0
le-tour-de-bretagne,7.0
le-tour-de-filipinas,7.0
le-tour-des-100-communes,40.0
le-triptyque-des-monts-et-chateaux,5.0
liege-bastogne-liege,800.0
lillehammer-gp,40.0
malaysian-international-classic-race,125.0
maryland-cycling-classic,200.0
memorial-andrzeja-trochanowskiego,40.0
memorial-frank-vandenbroucke,125.0
memorial-henryka-lasaka,40.0
memorial-im-j.-grundmanna-j-wizowskiego,40.0
memorial-marco-pantani,125.0
memorial-philippe-van-coningsloo,40.0
memorial-rik-van-steenbergen,125.0
memorial-romana-sieminskiego,40.0
memorial_jana_magiery_2022,40.0
mercan-tour-classic-alpes-maritimes,125.0
midden-brabant-poort-omloop,40.0
milano-rapallo,40.0
milano-sanremo,800.0
milano-torino,200.0
mine-akiyoshi-dai-karst-international-road-race,40.0
minsk-cup,40.0
munsterland-giro,200.0
muscat-classic,125.0
muur-classic-geraardsbergen,125.0
national-championships-bahrain-me-itt,25.0
national-championships-bahrain-road-race,50.0
national-championships-benin-itt,25.0
national-championships-cameroon-road-race,50.0
national-championships-grenada-itt,25.0
national-championships-honduras-itt,30.0
national-championships-honduras-road-race,100.0
national-championships-indonesia-itt,25.0
national-championships-laos-me-itt,25.0
national-championships-laos-me-road-race,50.0
national-championships-malta-me-itt,50.0
national-championships-malta-me-road-race,100.0
national-championships-uganda-itt,25.0
nc-albania,100.0
nc-albania-itt,50.0
nc-algeria,100.0
nc-algeria-itt,50.0
nc-angola,50.0
nc-angola-itt,3.0
nc-argentina,30.0
nc-argentina-itt,15.0
nc-australia,100.0
nc-australia-itt,50.0
nc-austria-itt,50.0
nc-austria2,100.0
nc-azerbaijan,100.0
nc-azerbaijan-itt,50.0
nc-belarus,100.0
nc-belarus-itt,50.0
nc-belgium,100.0
nc-belgium-itt,50.0
nc-belize,100.0
nc-belize-itt,50.0
nc-benin,50.0
nc-bermuda,100.0
nc-bermuda-itt,30.0
nc-bolivia,50.0
nc-bolivia-itt,25.0
nc-brazil,100.0
nc-brazil-itt,50.0
nc-bulgaria,50.0
nc-bulgaria-itt,25.0
nc-burkina-faso,50.0
nc-canada-itt,50.0
nc-canada2,100.0
nc-chile,100.0
nc-chile-itt,50.0
nc-china,100.0
nc-china-itt,50.0
nc-colombia,100.0
nc-colombia-itt,50.0
nc-costa-rica,100.0
nc-costa-rica-itt,50.0
nc-croatia,100.0
nc-croatia-itt,50.0
nc-cyprus,100.0
nc-cyprus-itt,50.0
nc-czech-republic-itt,50.0
nc-czech-republic2,100.0
nc-denmark-itt,50.0
nc-dominican-republic,1.0
nc-dominican-republic-itt,10.0
nc-ecuador,100.0
nc-ecuador-itt,50.0
nc-el-salvador,50.0
nc-el-salvador-itt,25.0
nc-eritrea,100.0
nc-eritrea-itt,50.0
nc-estonia,100.0
nc-estonia-itt,50.0
nc-ethiopia,50.0
nc-ethiopia-itt,25.0
nc-finland,50.0
nc-finland-itt,25.0
nc-france,100.0
nc-france-itt,50.0
nc-germany,100.0
nc-germany-itt,50.0
nc-great-britain-itt,50.0
nc-greece,100.0
nc-greece-itt,50.0
nc-grenada-road-race,50.0
nc-guatemala,60.0
nc-guatemala-itt,50.0
nc-hong-kong,100.0
nc-hong-kong-itt,50.0
nc-hungary,100.0
nc-hungary-itt,50.0
nc-indonesia,50.0
nc-iran,100.0
nc-iran-itt,50.0
nc-ireland,100.0
nc-ireland-itt,50.0
nc-israel,100.0
nc-israel-itt,50.0
nc-italy,100.0
nc-italy-itt,50.0
nc-ivory-coast,50.0
nc-japan,100.0
nc-japan-itt,50.0
nc-kazakhstan,100.0
nc-kazakhstan-itt,50.0
nc-kuwait,50.0
nc-kuwait-itt,25.0
nc-latvia,100.0
nc-latvia-itt,50.0
nc-lithuania,100.0
nc-lithuania-itt,50.0
nc-luxembourg,100.0
nc-luxembourg-itt,50.0
nc-macau,50.0
nc-macedonia,50.0
nc-macedonia-itt,25.0
nc-malaysia,50.0
nc-malaysia-itt,25.0
nc-mauritius,100.0
nc-mauritius-itt,50.0
nc-mexico,100.0
nc-mexico-itt,50.0
nc-moldova,50.0
nc-moldova-itt,25.0
nc-mongolia,100.0
nc-mongolia-itt,50.0
nc-morocco,100.0
nc-morocco-itt,50.0
nc-namibia,100.0
nc-namibia-itt,5.0
nc-netherlands,100.0
nc-netherlands-itt,50.0
nc-new-zealand,100.0
nc-new-zealand-itt,50.0
nc-norway,100.0
nc-norway-itt,50.0
nc-panama,100.0
nc-panama-itt,50.0
nc-peru,10.0
nc-peru-itt,25.0
nc-philippines,50.0
nc-philippines-itt,25.0
nc-poland,100.0
nc-poland-itt,50.0
nc-portugal,50.0
nc-portugal2,100.0
nc-puerto-rico,50.0
nc-puerto-rico-itt,25.0
nc-romania,100.0
nc-romania-itt,50.0
nc-russia,100.0
nc-russia-itt,50.0
nc-rwanda,100.0
nc-rwanda-itt,50.0
nc-serbia,100.0
nc-serbia-itt,50.0
nc-singapore-itt,50.0
nc-singapore-itt2,25.0
nc-slovakia,100.0
nc-slovakia-itt,50.0
nc-slovenia,100.0
nc-slovenia-itt,50.0
nc-south-africa,100.0
nc-south-africa-itt,50.0
nc-south-korea,100.0
nc-south-korea-itt,15.0
nc-spain,100.0
nc-spain-itt,50.0
nc-sweden,100.0
nc-sweden-itt,50.0
nc-switserland,100.0
nc-switzerland-itt,50.0
nc-taiwan,50.0
nc-taiwan-itt,25.0
nc-thailand,100.0
nc-thailand-itt,50.0
nc-tunisia,50.0
nc-tunisia-itt,25.0
nc-turkey,100.0
nc-turkey-itt,50.0
nc-uganda,50.0
nc-ukraine,100.0
nc-ukraine-itt,50.0
nc-united-arab-emirates,100.0
nc-united-arab-emirates-itt,50.0
nc-united-states,100.0
nc-uruguay,100.0
nc-uruguay-itt,50.0
nc-usa-itt,50.0
nc-uzbekistan,100.0
nc-uzbekistan-itt,50.0
nc-venezuela,100.0
nc-venezuela-itt,50.0
ncgreat-britain,100.0
new-zealand-cycle-classic,7.0
nokere-koerse,200.0
oberosterreichrundfahrt,7.0
oceania-championships,250.0
oceania-continental-championships-itt,70.0
odessa-gp,40.0
oita-urban-classic,40.0
okolo-jiznich-cech,7.0
okolo-slovenska,14.0
olympias-tour,7.0
olympic-games,900.0
olympic-games-itt,455.0
omloop-der-kempen,40.0
omloop-het-nieuwsblad,300.0
omloop-het-nieuwsblad-beloften,40.0
omloop-mandel-leie-schelde-meulebeke,125.0
omloop-van-het-houtland-lichtervelde,125.0
omloop-van-het-waasland,40.0
pan-american-games,250.0
pan-american-games---tt,70.0
panamerican-champ-itt,70.0
panamerican-championships,250.0
paris-arras-tour,7.0
paris-bourges,125.0
paris-camembert,125.0
paris-chauny-classique,125.0
paris-mantes-en-yvelines,40.0
paris-nice,60.0
paris-roubaix,800.0
paris-roubaix-u23,30.0
paris-tours,200.0
paris-tours-espoirs,30.0
paris-troyes,40.0
per-sempre-alfredo,125.0
piccolo-giro-di-lombardia,30.0
popolarissima,40.0
porec-trophy,40.0
prueba-villafranca,125.0
pruride-ph,7.0
puchar-ministra-obrony-narodowej,40.0
