fichier_gpx,route_url,road_km,cycleway_km,street_km,unknown_km,state_road_km,off-grid_(unknown)_km,path_km,singletrack_km,asphalt_km,paved_km,cobblestones_km,unpaved_km,compacted_gravel_km,access_road_km
2025 La Vuelta Ciclista a Espana Stage 10.gpx,https://www.komoot.com/tour/2951395841,42.6,0.0,0.0,0.234,132.0,0.234,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0
2025 La Vuelta Ciclista a Espana Stage 11.gpx,https://www.komoot.com/tour/2951397927,111.0,1.56,1.72,0.0,43.4,0.0,0.0,0.0,143.0,14.6,0.425,0.0,0.0,0.0
2025 La Vuelta Ciclista a Espana Stage 12.gpx,https://www.komoot.com/tour/2951398414,89.7,0.265,0.68,0.121,54.8,0.0,0.0,0.0,138.0,7.66,0.0,0.0,0.0,0.0
2025 La Vuelta Ciclista a Espana Stage 13.gpx,https://www.komoot.com/tour/2951398933,107.0,0.0,0.528,8.07,87.9,7.79,0.105,0.261,194.0,0.724,0.0,0.366,0.0,0.0
2025 La Vuelta Ciclista a Espana Stage 14.gpx,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025 La Vuelta Ciclista a Espana Stage 15.gpx,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025 La Vuelta Ciclista a Espana Stage 16.gpx,https://www.komoot.com/tour/2951405496,139.0,0.0,0.899,0.0,20.3,0.0,0.0,0.0,156.0,4.61,0.0,0.0,0.0,0.0
2025 La Vuelta Ciclista a Espana Stage 17.gpx,https://www.komoot.com/tour/2951406047,106.0,0.0,2.57,0.793,34.3,0.365,0.0,0.0,141.0,1.95,0.0,0.0,0.0,0.0
2025 La Vuelta Ciclista a Espana Stage 18.gpx,https://www.komoot.com/tour/2951407892,0.757,0.161,2.0,0.0,8.89,0.0,0.356,0.0,12.1,0.0,0.0,0.0,0.0,0.0
2025 La Vuelta Ciclista a Espana Stage 19.gpx,https://www.komoot.com/tour/2951408371,67.7,0.0,0.279,0.854,92.9,0.992,0.212,0.0,158.0,2.22,0.267,0.0,0.0,0.0
2025 La Vuelta Ciclista a Espana Stage 2.gpx,https://www.komoot.com/tour/2951408808,104.0,2.25,1.55,0.0,52.5,0.0,0.348,0.0,158.0,1.6,0.898,0.0,0.0,0.0
2025 La Vuelta Ciclista a Espana Stage 20.gpx,https://www.komoot.com/tour/2951409375,27.7,3.46,0.188,0.881,118.0,0.0,10.5,0.0,156.0,3.42,0.0,0.164,0.0,0.0
2025 La Vuelta Ciclista a Espana Stage 3.gpx,https://www.komoot.com/tour/2951409787,126.0,1.13,0.213,0.0,7.51,0.0,0.3,0.0,133.0,1.11,0.63,0.0,0.0,0.0
2025 La Vuelta Ciclista a Espana Stage 4.gpx,https://www.komoot.com/tour/2951410389,23.7,55.1,0.0,2.99,125.0,2.99,0.153,0.0,204.0,0.32,0.472,0.201,0.0,0.0
2025 La Vuelta Ciclista a Espana Stage 5.gpx,https://www.komoot.com/tour/2951410869,20.8,0.205,2.35,0.18,0.0,0.18,0.556,0.0,15.6,8.34,0.0,0.0,0.0,0.0
2025 La Vuelta Ciclista a Espana Stage 6.gpx,https://www.komoot.com/tour/2951411510,59.4,2.89,0.325,0.0,108.0,0.424,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0
2025 La Vuelta Ciclista a Espana Stage 7.gpx,https://www.komoot.com/tour/2951412089,20.6,0.156,0.145,1.08,165.0,2.31,0.0,0.551,185.0,0.955,0.0,0.551,0.0,0.0
2025 La Vuelta Ciclista a Espana Stage 8.gpx,https://www.komoot.com/tour/2951412812,8.06,3.54,2.93,1.85,149.0,0.735,0.785,0.0,160.0,2.71,0.216,0.0,0.0,0.0
2025 La Vuelta Ciclista a Espana Stage 9.gpx,https://www.komoot.com/tour/2951413220,139.0,0.0,0.0,0.522,56.9,0.828,0.0,0.0,196.0,0.0,0.0,0.0,0.0,0.226
2025 Liege-Bastogne-Liege.gpx,https://www.komoot.com/tour/2951413783,135.0,11.2,4.7,0.502,101.0,0.368,0.129,0.0,248.0,3.09,0.668,0.0,0.0,0.0
2025 Milano-Sanremo.gpx,https://www.komoot.com/tour/2951414804,68.6,9.75,3.73,1.65,206.0,1.59,0.814,0.0,283.0,4.58,0.951,0.358,0.0,0.201
2025 Omloop Nieuwsblad.gpx,https://www.komoot.com/tour/2951415277,63.6,74.2,44.9,0.688,2.35,0.408,0.869,0.278,100.0,77.5,18.0,0.923,0.0,0.21
2025 Paris-Nice Stage 1.gpx,https://www.komoot.com/tour/2951415617,118.0,1.67,4.28,0.0,31.9,0.0,0.0,0.0,148.0,7.51,0.507,0.0,0.0,0.0
2025 Paris-Nice Stage 2.gpx,https://www.komoot.com/tour/2951416081,112.0,4.12,2.19,0.19,63.8,0.19,0.001,0.0,179.0,3.5,0.244,1.04,0.0,0.0
2025 Paris-Nice Stage 3.gpx,https://www.komoot.com/tour/2951416726,16.5,1.04,3.6,4.86,2.96,3.4,0.0,0.0,23.7,0.252,0.0,0.0,0.0,1.3
2025 Paris-Nice Stage 4.gpx,https://www.komoot.com/tour/2951417424,164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0
2025 Paris-Nice Stage 5.gpx,https://www.komoot.com/tour/2951417971,180.0,2.21,2.62,0.0,12.1,0.0,0.0,0.0,180.0,16.4,0.0,0.0,0.0,0.0
2025 Paris-Nice Stage 6.gpx,https://www.komoot.com/tour/2951418630,95.5,0.894,2.43,0.295,110.0,0.295,0.0,0.0,208.0,1.27,0.0,0.0,0.0,0.0
